source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	curation_effort
P0DP24	P48995	CALM2	TRPC1	True	False	True	True	False	True	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	3
P0DP23	P48995	CALM1	TRPC1	True	False	True	True	False	True	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	3
P0DP25	P48995	CALM3	TRPC1	True	False	True	True	False	True	TRIP	TRIP:11290752;TRIP:11983166;TRIP:12601176	3
Q03135	P48995	CAV1	TRPC1	True	True	False	True	True	False	DIP;IntAct;HINT;Lit-BM-17;HPRD;TRIP	IntAct:19897728;TRIP:18430726;TRIP:12732636;TRIP:19351713;TRIP:14551243;DIP:19897728;TRIP:16822931;Lit-BM-17:19897728;TRIP:19052258;TRIP:19897728;HINT:12732636;Lit-BM-17:19052258;HINT:19897728;Lit-BM-17:10980191;HPRD:12732636	15
P14416	P48995	DRD2	TRPC1	True	True	False	True	True	False	TRIP	TRIP:18261457	1
Q99750	P48995	MDFI	TRPC1	True	False	True	True	False	True	TRIP;HPRD	TRIP:14530267;HPRD:14530267;TRIP:23770672	3
Q14571	P48995	ITPR2	TRPC1	True	True	False	True	True	False	TRIP;HPRD	HPRD:11336651;TRIP:15121806;TRIP:17681754;TRIP:18191041;TRIP:18249094;TRIP:18068335;TRIP:23228564;TRIP:16905188;HPRD:10970773;TRIP:10970773;TRIP:16870612;TRIP:11336651;TRIP:12196544	13
P29966	P48995	MARCKS	TRPC1	True	False	True	True	False	True	TRIP	TRIP:24022404	1
Q13255	P48995	GRM1	TRPC1	True	True	False	True	True	False	TRIP	TRIP:14614461	1
Q13586	P48995	STIM1	TRPC1	True	True	False	True	True	False	HINT;IntAct;TRIP	TRIP:17224452;TRIP:18326500;TRIP:19332490;HINT:21408196;TRIP:19897728;TRIP:20194530;HINT:19897728;TRIP:25013939;TRIP:22446186;TRIP:18802022;TRIP:16906149;TRIP:18430726;TRIP:23686296;TRIP:23395841;TRIP:23034388;TRIP:16870612;TRIP:24464579;IntAct:19897728;TRIP:18644792;IntAct:21408196;TRIP:18249094;TRIP:20488539;TRIP:17892531;TRIP:22592407	24
P48995	Q13507	TRPC1	TRPC3	True	True	False	True	True	False	TRIP;HPRD;BioGRID	TRIP:19260825;TRIP:15834157;HPRD:12032305;BioGRID:9215637;TRIP:18215135;TRIP:19502552;TRIP:24613381;TRIP:9215637;TRIP:15972814;HPRD:9215637;BioGRID:10199829;TRIP:17486119;TRIP:21996795;TRIP:10882720;TRIP:12857742	15
Q13507	P48995	TRPC3	TRPC1	True	True	False	True	True	False	TRIP;HPRD;BioGRID	TRIP:19260825;TRIP:15834157;HPRD:12032305;BioGRID:9215637;TRIP:18215135;TRIP:19502552;TRIP:24613381;TRIP:9215637;TRIP:15972814;HPRD:9215637;BioGRID:10199829;TRIP:17486119;TRIP:21996795;TRIP:10882720;TRIP:12857742	15
P48995	Q9UBN4	TRPC1	TRPC4	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	TRIP:17416589;Lit-BM-17:12857742;TRIP:22144671;HPRD:12032305;TRIP:17892531;Lit-BM-17:12032305;TRIP:19812031;TRIP:12377790;TRIP:16418302;TRIP:16818374;TRIP:22534489;TRIP:19307462;TRIP:12857742;TRIP:11301024;TRIP:16270640	15
Q9UBN4	P48995	TRPC4	TRPC1	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	TRIP:17416589;Lit-BM-17:12857742;TRIP:22144671;HPRD:12032305;TRIP:17892531;Lit-BM-17:12032305;TRIP:19812031;TRIP:12377790;TRIP:16418302;TRIP:16818374;TRIP:22534489;TRIP:19307462;TRIP:12857742;TRIP:11301024;TRIP:16270640	15
P48995	Q9UL62	TRPC1	TRPC5	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	Lit-BM-17:12857742;TRIP:12857742;HPRD:12032305;Lit-BM-17:12032305;TRIP:12377790;TRIP:18356201;TRIP:21968068;TRIP:11301024;HPRD:12857742;TRIP:16270640;HPRD:11301024	11
Q9UL62	P48995	TRPC5	TRPC1	True	True	False	True	True	False	TRIP;Lit-BM-17;HPRD	Lit-BM-17:12857742;TRIP:12857742;HPRD:12032305;Lit-BM-17:12032305;TRIP:12377790;TRIP:18356201;TRIP:21968068;TRIP:11301024;HPRD:12857742;TRIP:16270640;HPRD:11301024	11
P48995	Q9Y210	TRPC1	TRPC6	True	False	True	True	False	True	TRIP	TRIP:20660561;TRIP:18191041;TRIP:12857742;TRIP:16418302	7
Q9NZU7	Q9UL62	CABP1	TRPC5	True	False	True	True	False	True	TRIP	TRIP:15895247	1
P48995	Q13563	TRPC1	PKD2	True	True	False	True	True	False	IntAct;HINT;Lit-BM-17;HPRD;TRIP	TRIP:14530267;TRIP:20682256;TRIP:19850920;HPRD:10097141;TRIP:18323855;TRIP:25114176;HINT:25114176;TRIP:10097141;HINT:10097141;Lit-BM-17:10097141;IntAct:10097141;IntAct:25114176;TRIP:19193631	13
Q13563	P48995	PKD2	TRPC1	True	True	False	True	True	False	IntAct;HINT;Lit-BM-17;HPRD;TRIP	TRIP:14530267;TRIP:20682256;TRIP:19850920;HPRD:10097141;TRIP:18323855;TRIP:25114176;HINT:25114176;TRIP:10097141;HINT:10097141;Lit-BM-17:10097141;IntAct:10097141;IntAct:25114176;TRIP:19193631	13
P48995	Q9HBA0	TRPC1	TRPV4	True	True	False	True	True	False	TRIP	TRIP:20093626;TRIP:25139746;TRIP:20705915;TRIP:21871867;TRIP:25114176	5
Q9HBA0	P48995	TRPV4	TRPC1	True	True	False	True	True	False	TRIP	TRIP:20093626;TRIP:25139746;TRIP:20705915;TRIP:21871867;TRIP:25114176	5
P48995	Q9H1D0	TRPC1	TRPV6	True	False	True	True	False	True	TRIP	TRIP:25172921;TRIP:22932896	3
P0DP24	Q13507	CALM2	TRPC3	True	False	True	True	False	True	TRIP	TRIP:11248050;TRIP:11290752;TRIP:18215135;TRIP:12601176	4
Q96H20	Q9Y210	SNF8	TRPC6	True	True	False	True	True	False	TRIP	TRIP:23171048	1
P0DP23	Q13507	CALM1	TRPC3	True	False	True	True	False	True	LRdb;iTALK;Fantom5_LRdb;HPRD_LRdb;TRIP;CellTalkDB;HPRD	CellTalkDB:11248050;TRIP:18215135;TRIP:12601176;TRIP:11248050;TRIP:11290752;HPRD:15104175	6
P0DP25	Q13507	CALM3	TRPC3	True	False	True	True	False	True	TRIP	TRIP:11248050;TRIP:11290752;TRIP:18215135;TRIP:12601176	4
P41180	Q13507	CASR	TRPC3	True	True	False	True	True	False	TRIP	TRIP:22778254	1
P19235	Q13507	EPOR	TRPC3	True	True	False	True	True	False	TRIP	TRIP:21757714;TRIP:19074769;TRIP:18276585	3
Q86YM7	Q13507	HOMER1	TRPC3	True	True	False	True	True	False	TRIP	TRIP:16887806	1
Q14643	Q13507	ITPR1	TRPC3	True	True	False	True	True	False	TRIP;HPRD	HPRD:9853757;TRIP:18205297;TRIP:20378853;HPRD:11524429;TRIP:23045459;TRIP:10518223;HPRD:12606542;HPRD:15104175;HPRD:15623527;TRIP:20022948	10
Q14573	Q13507	ITPR3	TRPC3	True	True	False	True	True	False	HINT;HPRD;TRIP	TRIP:16887806;HPRD:11524429;TRIP:10611319;HINT:11290752;TRIP:11248050;TRIP:11290752;HPRD:15623527;HINT:10611319	8
Q12797	Q13507	ASPH	TRPC3	True	True	False	True	True	False	TRIP	TRIP:15302852	1
Q96D31	Q13507	ORAI1	TRPC3	True	True	False	True	True	False	DIP;HPRD;TRIP	DIP:17360584;TRIP:17360584;HPRD:17360584;TRIP:18287061;TRIP:20022948	5
Q13976	Q13507	PRKG1	TRPC3	True	False	True	True	False	True	HPRD_KEA;iPTMnet;PhosphoPoint;PhosphoSite_ProtMapper;ProtMapper;HPRD_MIMP;TRIP;PhosphoSite_MIMP;PhosphoSite_KEA;KEA;MIMP;SIGNOR_ProtMapper;HPRD;SIGNOR;PhosphoSite_noref	TRIP:14983059;SIGNOR:14983059;ProtMapper:14983059;SIGNOR:16331690;HPRD:14983059;KEA:14983059;ProtMapper:16331690	7
Q9Y225	Q13507	RNF24	TRPC3	True	False	True	True	False	True	TRIP	TRIP:17850865	1
P12931	Q13507	SRC	TRPC3	True	True	False	True	True	False	TRIP	TRIP:16407161	1
Q8TD43	Q13507	TRPM4	TRPC3	True	False	True	True	False	True	TRIP	TRIP:18262493	2
