pair,locus_tag,gene,beril_call,deg_call
mtub/DEG1010,Rv0060,,1,0
mtub/DEG1010,Rv0098,fcot,1,0
mtub/DEG1010,Rv0099,fadd10,1,0
mtub/DEG1010,Rv0100,,1,0
mtub/DEG1010,Rv0101,nrp,1,0
mtub/DEG1010,Rv0102,,1,0
mtub/DEG1010,Rv0127,mak,1,0
mtub/DEG1010,Rv0169,mce1a,1,0
mtub/DEG1010,Rv0170,mce1b,1,0
mtub/DEG1010,Rv0171,mce1c,1,0
mtub/DEG1010,Rv0173,lprk,1,0
mtub/DEG1010,Rv0175,,1,0
mtub/DEG1010,Rv0176,,1,0
mtub/DEG1010,Rv0199,,1,0
mtub/DEG1010,Rv0204c,,1,0
mtub/DEG1010,Rv0205,,1,0
mtub/DEG1010,Rv0208c,,1,0
mtub/DEG1010,Rv0216,,1,0
mtub/DEG1010,Rv0218,,1,0
mtub/DEG1010,Rv0224c,,1,0
mtub/DEG1010,Rv0226c,,1,0
mtub/DEG1010,Rv0227c,,1,0
mtub/DEG1010,Rv0228,,1,0
mtub/DEG1010,Rv0236c,aftd,1,0
mtub/DEG1010,Rv0249c,,1,0
mtub/DEG1010,Rv0282,ecca3,1,0
mtub/DEG1010,Rv0283,eccb3,1,0
mtub/DEG1010,Rv0284,eccc3,1,0
mtub/DEG1010,Rv0289,espg3,1,0
mtub/DEG1010,Rv0290,eccd3,1,0
mtub/DEG1010,Rv0292,ecce3,1,0
mtub/DEG1010,Rv0311,,1,0
mtub/DEG1010,Rv0312,,1,0
mtub/DEG1010,Rv0326,,1,0
mtub/DEG1010,Rv0338c,,1,0
mtub/DEG1010,Rv0347,,1,0
mtub/DEG1010,Rv0352,dnaj1,1,0
mtub/DEG1010,Rv0372c,,1,0
mtub/DEG1010,Rv0383c,,1,0
mtub/DEG1010,Rv0412c,,1,0
mtub/DEG1010,Rv0414c,thie,1,0
mtub/DEG1010,Rv0427c,xtha,1,0
mtub/DEG1010,Rv0430,,1,0
mtub/DEG1010,Rv0462,lpdc,1,0
mtub/DEG1010,Rv0470c,pcaa,1,0
mtub/DEG1010,Rv0479c,,1,0
mtub/DEG1010,Rv0490,senx3,1,0
mtub/DEG1010,Rv0511,hemd,1,0
mtub/DEG1010,Rv0525,,1,0
mtub/DEG1010,Rv0526,,1,0
mtub/DEG1010,Rv0527,ccda,1,0
mtub/DEG1010,Rv0528,,1,0
mtub/DEG1010,Rv0529,ccsa,1,0
mtub/DEG1010,Rv0540,,1,0
mtub/DEG1010,Rv0541c,,1,0
mtub/DEG1010,Rv0556,,1,0
mtub/DEG1010,Rv0557,mgta,1,0
mtub/DEG1010,Rv0558,menh,1,0
mtub/DEG1010,Rv0566c,,1,0
mtub/DEG1010,Rv0588,,1,0
mtub/DEG1010,Rv0607,,1,0
mtub/DEG1010,Rv0627,vapc5,1,0
mtub/DEG1010,Rv0628c,,1,0
mtub/DEG1010,Rv0635,hada,1,0
mtub/DEG1010,Rv0636,hadb,1,0
mtub/DEG1010,Rv0638,sece1,1,0
mtub/DEG1010,Rv0643c,mmaa3,1,0
mtub/DEG1010,Rv0655,mkl,1,0
mtub/DEG1010,Rv0666,,1,0
mtub/DEG1010,Rv0674,,1,0
mtub/DEG1010,Rv0684,fusa1,1,0
mtub/DEG1010,Rv0687,,1,0
mtub/DEG1010,Rv0697,,1,0
mtub/DEG1010,Rv0736,rsla,1,0
mtub/DEG1010,Rv0744c,,1,0
mtub/DEG1010,Rv0780,purc,1,0
mtub/DEG1010,Rv0811c,,1,0
mtub/DEG1010,Rv0817c,,1,0
mtub/DEG1010,Rv0875c,,1,0
mtub/DEG1010,Rv0883c,,1,0
mtub/DEG1010,Rv0894,,1,0
mtub/DEG1010,Rv0900,arfb,1,0
mtub/DEG1010,Rv0949,uvrd1,1,0
mtub/DEG1010,Rv0950c,,1,0
mtub/DEG1010,Rv0955,,1,0
mtub/DEG1010,Rv1002c,,1,0
mtub/DEG1010,Rv1005c,,1,0
mtub/DEG1010,Rv1007c,mets,1,0
mtub/DEG1010,Rv1013,pks16,1,0
mtub/DEG1010,Rv1016c,lpqt,1,0
mtub/DEG1010,Rv1021,,1,0
mtub/DEG1010,Rv1024,,1,0
mtub/DEG1010,Rv1025,,1,0
mtub/DEG1010,Rv1026,,1,0
mtub/DEG1010,Rv1028c,kdpd,1,0
mtub/DEG1010,Rv1098c,fum,1,0
mtub/DEG1010,Rv1099c,glpx,1,0
mtub/DEG1010,Rv1109c,,1,0
mtub/DEG1010,Rv1111c,,1,0
mtub/DEG1010,Rv1126c,,1,0
mtub/DEG1010,Rv1128c,,1,0
mtub/DEG1010,Rv1144,,1,0
mtub/DEG1010,Rv1183,mmpl10,1,0
mtub/DEG1010,Rv1185c,fadd21,1,0
mtub/DEG1010,Rv1186c,,1,0
mtub/DEG1010,Rv1188,,1,0
mtub/DEG1010,Rv1192,,1,0
mtub/DEG1010,Rv1194c,,1,0
mtub/DEG1010,Rv1201c,dapd,1,0
mtub/DEG1010,Rv1204c,,1,0
mtub/DEG1010,Rv1208,gpgs,1,0
mtub/DEG1010,Rv1211,,1,0
mtub/DEG1010,Rv1215c,,1,0
mtub/DEG1010,Rv1224,tatb,1,0
mtub/DEG1010,Rv1232c,,1,0
mtub/DEG1010,Rv1235,lpqy,1,0
mtub/DEG1010,Rv1236,suga,1,0
mtub/DEG1010,Rv1237,sugb,1,0
mtub/DEG1010,Rv1238,sugc,1,0
mtub/DEG1010,Rv1244,lpqz,1,0
mtub/DEG1010,Rv1248c,,1,0
mtub/DEG1010,Rv1254,,1,0
mtub/DEG1010,Rv1272c,,1,0
mtub/DEG1010,Rv1278,,1,0
mtub/DEG1010,Rv1284,cana,1,0
mtub/DEG1010,Rv1286,,1,0
mtub/DEG1010,Rv1301,,1,0
mtub/DEG1010,Rv1303,,1,0
mtub/DEG1010,Rv1304,atpb,1,0
mtub/DEG1010,Rv1323,fada4,1,0
mtub/DEG1010,Rv1332,,1,0
mtub/DEG1010,Rv1333,,1,0
mtub/DEG1010,Rv1338,muri,1,0
mtub/DEG1010,Rv1339,,1,0
mtub/DEG1010,Rv1342c,,1,0
mtub/DEG1010,Rv1347c,mbtk,1,0
mtub/DEG1010,Rv1348,irta,1,0
mtub/DEG1010,Rv1349,irtb,1,0
mtub/DEG1010,Rv1350,fabg2,1,0
mtub/DEG1010,Rv1371,,1,0
mtub/DEG1010,Rv1382,,1,0
mtub/DEG1010,Rv1388,mihf,1,0
mtub/DEG1010,Rv1405c,,1,0
mtub/DEG1010,Rv1410c,,1,0
mtub/DEG1010,Rv1411c,lprg,1,0
mtub/DEG1010,Rv1422,,1,0
mtub/DEG1010,Rv1438,tpi,1,0
mtub/DEG1010,Rv1456c,,1,0
mtub/DEG1010,Rv1457c,,1,0
mtub/DEG1010,Rv1459c,,1,0
mtub/DEG1010,Rv1460,,1,0
mtub/DEG1010,Rv1462,,1,0
mtub/DEG1010,Rv1463,,1,0
mtub/DEG1010,Rv1465,,1,0
mtub/DEG1010,Rv1466,,1,0
mtub/DEG1010,Rv1469,ctpd,1,0
mtub/DEG1010,Rv1476,,1,0
mtub/DEG1010,Rv1477,ripa,1,0
mtub/DEG1010,Rv1479,moxr1,1,0
mtub/DEG1010,Rv1480,,1,0
mtub/DEG1010,Rv1485,hemz,1,0
mtub/DEG1010,Rv1490,,1,0
mtub/DEG1010,Rv1514c,,1,0
mtub/DEG1010,Rv1524,,1,0
mtub/DEG1010,Rv1547,dnae1,1,0
mtub/DEG1010,Rv1560,vapb11,1,0
mtub/DEG1010,Rv1568,bioa,1,0
mtub/DEG1010,Rv1569,biof1,1,0
mtub/DEG1010,Rv1589,biob,1,0
mtub/DEG1010,Rv1590,,1,0
mtub/DEG1010,Rv1600,hisc1,1,0
mtub/DEG1010,Rv1606,hisi,1,0
mtub/DEG1010,Rv1610,,1,0
mtub/DEG1010,Rv1626,,1,0
mtub/DEG1010,Rv1640c,lysx,1,0
mtub/DEG1010,Rv1683,,1,0
mtub/DEG1010,Rv1696,recn,1,0
mtub/DEG1010,Rv1697,,1,0
mtub/DEG1010,Rv1701,,1,0
mtub/DEG1010,Rv1708,,1,0
mtub/DEG1010,Rv1710,scpb,1,0
mtub/DEG1010,Rv1711,,1,0
mtub/DEG1010,Rv1714,,1,0
mtub/DEG1010,Rv1730c,,1,0
mtub/DEG1010,Rv1738,,1,0
mtub/DEG1010,Rv1821,seca2,1,0
mtub/DEG1010,Rv1828,,1,0
