organism,locus_tag,fba_essential,fba_n_rxns,fba_in_model
beril_Keio,b1094,1,26,1
beril_Keio,b0485,0,1,1
beril_Keio,b1483,0,1,1
beril_Keio,b3748,0,1,1
beril_Keio,b3917,0,5,1
beril_Keio,b0149,0,4,1
beril_Keio,b2523,0,2,1
beril_Keio,b2827,1,1,1
beril_Keio,b4088,0,2,1
beril_Keio,b2032,0,1,1
beril_Keio,b1337,0,1,1
beril_Keio,b2963,0,4,1
beril_Keio,b0831,0,1,1
beril_Keio,b0935,0,5,1
beril_Keio,b3564,0,2,1
beril_Keio,b0033,0,1,1
beril_Keio,b1623,0,2,1
beril_Keio,b1732,0,1,1
beril_Keio,b2425,0,5,1
beril_Keio,b2038,0,1,1
beril_Keio,b1601,0,1,1
beril_Keio,b3452,0,7,1
beril_Keio,b0306,0,2,1
beril_Keio,b3011,0,3,1
beril_Keio,b2919,0,1,1
beril_Keio,b3654,0,3,1
beril_Keio,b1400,0,1,1
beril_Keio,b2551,0,6,1
beril_Keio,b3117,0,2,1
beril_Keio,b3600,0,1,1
beril_Keio,b0674,0,2,1
beril_Keio,b1854,0,5,1
beril_Keio,b1870,0,1,1
beril_Keio,b0635,1,2,1
beril_Keio,b2041,0,1,1
beril_Keio,b2428,0,1,1
beril_Keio,b0764,0,3,1
beril_Keio,b0756,0,1,1
beril_Keio,b0655,0,2,1
beril_Keio,b0596,0,1,1
beril_Keio,b0973,0,3,1
beril_Keio,b2762,1,2,1
beril_Keio,b0049,0,3,1
beril_Keio,b3543,0,3,1
beril_Keio,b3612,0,1,1
beril_Keio,b0681,0,1,1
beril_Keio,b3919,0,1,1
beril_Keio,b4084,0,1,1
beril_Keio,b0595,0,1,1
beril_Keio,b4100,0,1,1
beril_Keio,b0972,0,3,1
beril_Keio,b0415,1,1,1
beril_Keio,b3632,0,1,1
beril_Keio,b3018,1,7,1
beril_Keio,b0103,1,1,1
beril_Keio,b0131,1,1,1
beril_Keio,b0979,0,2,1
beril_Keio,b2242,0,3,1
beril_Keio,b3476,0,1,1
beril_Keio,b1779,0,6,1
beril_Keio,b0997,0,2,1
beril_Keio,b2323,1,13,1
beril_Keio,b2286,0,3,1
beril_Keio,b2277,0,3,1
beril_Keio,b4040,1,1,1
beril_Keio,b2232,0,2,1
beril_Keio,b2488,0,1,1
beril_Keio,b1006,0,1,1
beril_Keio,b1662,1,1,1
beril_Keio,b1493,0,1,1
beril_Keio,b2906,0,1,1
beril_Keio,b2893,0,2,1
beril_Keio,b0933,0,5,1
beril_Keio,b3877,0,1,1
beril_Keio,b4392,0,4,1
beril_Keio,b2485,0,1,1
beril_Keio,b2500,0,1,1
beril_Keio,b2175,0,6,1
beril_Keio,b3199,1,9,1
beril_Keio,b3197,0,1,1
beril_Keio,b0784,0,2,1
beril_Keio,b1300,0,2,1
beril_Keio,b0116,0,3,1
beril_Keio,b2541,0,2,1
beril_Keio,b2303,0,1,1
beril_Keio,b3997,1,1,1
beril_Keio,b3752,0,1,1
beril_Keio,b0159,1,3,1
beril_Keio,b2290,0,1,1
beril_Keio,b1387,0,1,1
beril_Keio,b4467,0,3,1
beril_Keio,b1982,0,1,1
beril_Keio,b1592,0,1,1
beril_Keio,b3360,1,1,1
beril_Keio,b1123,0,2,1
beril_Keio,b2092,0,1,1
beril_Keio,b2310,0,3,1
beril_Keio,b2480,0,1,1
beril_Keio,b0822,0,7,1
beril_Keio,b0099,0,3,1
beril_Keio,b4042,0,7,1
beril_Keio,b3907,0,2,1
beril_Keio,b1059,0,2,1
beril_Keio,b4321,0,2,1
beril_Keio,b3008,0,2,1
beril_Keio,b4240,0,1,1
beril_Keio,b2039,0,1,1
beril_Keio,b4035,0,6,1
beril_Keio,b1488,0,1,1
beril_Keio,b1007,0,1,1
beril_Keio,b2515,1,1,1
beril_Keio,b0494,0,21,1
beril_Keio,b1640,0,1,1
beril_Keio,b1008,0,1,1
beril_Keio,b3962,0,1,1
beril_Keio,b1693,1,1,1
beril_Keio,b0759,0,1,1
beril_Keio,b2763,1,4,1
beril_Keio,b3939,1,1,1
beril_Keio,b1302,0,3,1
beril_Keio,b2285,0,3,1
beril_Keio,b4471,0,1,1
beril_Keio,b4265,0,3,1
beril_Keio,b3041,1,1,1
beril_Keio,b2600,1,2,1
beril_Keio,b0401,0,3,1
beril_Keio,b3455,0,5,1
beril_Keio,b0197,0,2,1
beril_Keio,b3189,1,1,1
beril_Keio,b3957,1,1,1
beril_Keio,b0811,0,1,1
beril_Keio,b4093,0,1,1
beril_Keio,b3736,0,1,1
beril_Keio,b0752,0,5,1
beril_Keio,b0886,0,2,1
beril_Keio,b2320,0,1,1
beril_Keio,b2917,0,1,1
beril_Keio,b2393,0,8,1
beril_Keio,b0312,0,2,1
beril_Keio,b4122,0,2,1
beril_Keio,b3715,0,1,1
beril_Keio,b2704,0,2,1
beril_Keio,b2014,0,1,1
beril_Keio,b2150,0,2,1
beril_Keio,b2198,0,1,1
beril_Keio,b0585,0,2,1
beril_Keio,b0222,0,1,1
beril_Keio,b2964,0,11,1
beril_Keio,b1054,0,1,1
beril_Keio,b0954,0,13,1
beril_Keio,b0331,0,1,1
beril_Keio,b3622,0,2,1
beril_Keio,b2530,1,6,1
beril_Keio,b3784,0,1,1
beril_Keio,b1918,0,1,1
beril_Keio,b4237,0,4,1
beril_Keio,b1291,0,1,1
beril_Keio,b3915,0,7,1
beril_Keio,b4086,0,2,1
beril_Keio,b1684,0,2,1
beril_Keio,b4054,0,4,1
beril_Keio,b3792,0,1,1
beril_Keio,b1692,0,3,1
beril_Keio,b2035,0,3,1
beril_Keio,b1927,0,1,1
beril_Keio,b1250,0,1,1
beril_Keio,b0180,1,14,1
beril_Keio,b2702,0,2,1
beril_Keio,b0855,0,1,1
beril_Keio,b0459,0,2,1
beril_Keio,b3816,0,3,1
beril_Keio,b3967,1,1,1
beril_Keio,b3553,0,10,1
beril_Keio,b0839,0,5,1
beril_Keio,b2784,0,2,1
beril_Keio,b3590,0,1,1
beril_Keio,b2288,0,3,1
beril_Keio,b0974,0,3,1
beril_Keio,b3721,0,2,1
beril_Keio,b4192,0,1,1
beril_Keio,b2206,0,2,1
beril_Keio,b0632,0,5,1
beril_Keio,b1912,0,7,1
beril_Keio,b3870,1,1,1
beril_Keio,b2662,0,3,1
beril_Keio,b3567,0,1,1
beril_Keio,b3804,1,1,1
beril_Keio,b2937,0,1,1
beril_Keio,b2895,0,7,1
beril_Keio,b4290,0,1,1
beril_Keio,b1097,0,4,1
beril_Keio,b2557,1,1,1
beril_Keio,b2519,0,2,1
beril_Keio,b0417,1,1,1
beril_Keio,b2048,0,1,1
beril_Keio,b2202,0,2,1
beril_Keio,b2023,1,1,1
beril_Keio,b3417,0,5,1
beril_Keio,b3732,0,1,1
beril_Keio,b4298,0,1,1
beril_Keio,b2465,0,2,1
beril_Keio,b1539,0,4,1
beril_Keio,b3182,0,9,1
beril_Keio,b1317,0,1,1
beril_Keio,b0475,0,1,1
beril_Keio,b2154,0,1,1
beril_Keio,b3671,0,2,1
beril_Keio,b3058,1,2,1
beril_Keio,b3198,1,1,1
beril_Keio,b1821,0,1,1
beril_Keio,b1341,0,1,1
beril_Keio,b4032,0,6,1
beril_Keio,b4267,0,2,1
beril_Keio,b0731,0,1,1
beril_Keio,b0766,0,2,1
beril_Keio,b4067,0,2,1
beril_Keio,b1012,0,1,1
beril_Keio,b0733,0,1,1
beril_Keio,b3624,0,1,1
beril_Keio,b0622,0,2,1
beril_Keio,b1900,0,1,1
beril_Keio,b1781,0,1,1
beril_Keio,b4214,1,1,1
beril_Keio,b2174,0,1,1
beril_Keio,b3735,0,1,1
beril_Keio,b3426,0,1,1
beril_Keio,b2278,0,3,1
beril_Keio,b2424,0,5,1
beril_Keio,b0577,0,1,1
beril_Keio,b3831,0,1,1
beril_Keio,b2221,0,3,1
beril_Keio,b3572,0,1,1
beril_Keio,b2803,0,1,1
beril_Keio,b1654,0,6,1
beril_Keio,b4544,0,1,1
beril_Keio,b2094,0,1,1
beril_Keio,b2245,0,1,1
beril_Keio,b2051,0,1,1
beril_Keio,b0830,0,1,1
beril_Keio,b4384,0,7,1
beril_Keio,b3619,0,1,1
beril_Keio,b1386,0,3,1
beril_Keio,b0980,0,2,1
beril_Keio,b1490,0,1,1
beril_Keio,b1603,0,1,1
beril_Keio,b1336,0,1,1
beril_Keio,b1225,0,2,1
beril_Keio,b2251,0,3,1
beril_Keio,b3991,1,1,1
beril_Keio,b1832,0,1,1
beril_Keio,b1319,0,1,1
beril_Keio,b2727,0,1,1
beril_Keio,b0615,0,1,1
beril_Keio,b4288,0,1,1
beril_Keio,b3040,1,6,1
beril_Keio,b2302,0,1,1
beril_Keio,b1805,0,10,1
beril_Keio,b1990,0,5,1
beril_Keio,b0037,0,3,1
beril_Keio,b2131,0,2,1
beril_Keio,b0757,0,1,1
beril_Keio,b0030,0,5,1
beril_Keio,b2297,0,2,1
beril_Keio,b1252,0,10,1
beril_Keio,b3223,0,1,1
beril_Keio,b4291,0,1,1
beril_Keio,b1993,0,2,1
beril_Keio,b0120,0,1,1
beril_Keio,b2204,0,1,1
beril_Keio,b2797,0,1,1
beril_Keio,b0594,0,1,1
beril_Keio,b3281,0,1,1
beril_Keio,b2841,0,1,1
beril_Keio,b3416,0,4,1
beril_Keio,b2536,0,1,1
beril_Keio,b2677,0,5,1
beril_Keio,b2927,0,1,1
beril_Keio,b0511,0,1,1
beril_Keio,b1243,0,2,1
beril_Keio,b0857,0,1,1
beril_Keio,b4070,0,2,1
beril_Keio,b4230,0,2,1
beril_Keio,b3544,0,3,1
beril_Keio,b1390,0,1,1
beril_Keio,b2366,0,1,1
beril_Keio,b0242,1,1,1
beril_Keio,b0366,0,3,1
beril_Keio,b0047,0,1,1
beril_Keio,b1584,0,2,1
beril_Keio,b0597,0,1,1
beril_Keio,b3224,0,1,1
beril_Keio,b1467,0,2,1
beril_Keio,b1131,1,2,1
beril_Keio,b2283,0,3,1
beril_Keio,b1759,0,2,1
beril_Keio,b2578,0,2,1
beril_Keio,b0957,0,1,1
beril_Keio,b4245,1,1,1
beril_Keio,b0929,0,285,1
beril_Keio,b0543,0,2,1
beril_Keio,b3966,0,3,1
beril_Keio,b3566,0,1,1
beril_Keio,b1518,0,1,1
beril_Keio,b2558,0,4,1
beril_Keio,b4079,0,1,1
beril_Keio,b1033,0,4,1
beril_Keio,b0462,0,7,1
beril_Keio,b3883,0,1,1
beril_Keio,b1817,0,6,1
beril_Keio,b2744,0,14,1
beril_Keio,b2306,0,4,1
beril_Keio,b3747,0,1,1
beril_Keio,b0381,0,1,1
beril_Keio,b0173,1,1,1
beril_Keio,b1091,1,3,1
beril_Keio,b0038,0,2,1
beril_Keio,b2924,0,1,1
beril_Keio,b4231,0,2,1
beril_Keio,b2675,0,4,1
beril_Keio,b0734,0,1,1
beril_Keio,b2423,0,5,1
beril_Keio,b1710,0,2,1
beril_Keio,b2312,1,1,1
beril_Keio,b0325,0,2,1
beril_Keio,b4196,0,1,1
beril_Keio,b1761,0,1,1
beril_Keio,b2918,0,1,1
beril_Keio,b3005,0,10,1
beril_Keio,b4132,0,1,1
beril_Keio,b2263,0,1,1
beril_Keio,b3581,0,1,1
beril_Keio,b2873,0,1,1
beril_Keio,b3477,0,1,1
beril_Keio,b1394,0,2,1
beril_Keio,b0029,1,2,1
beril_Keio,b1415,0,2,1
beril_Keio,b0638,0,1,1
beril_Keio,b4123,0,9,1
beril_Keio,b0721,0,1,1
beril_Keio,b0121,0,2,1
beril_Keio,b2164,0,1,1
beril_Keio,b3336,0,1,1
beril_Keio,b2579,0,2,1
beril_Keio,b0844,0,2,1
beril_Keio,b0025,1,2,1
beril_Keio,b0777,1,1,1
beril_Keio,b4152,0,2,1
beril_Keio,b3616,0,1,1
beril_Keio,b1701,0,10,1
beril_Keio,b1486,0,1,1
beril_Keio,b2458,0,1,1
beril_Keio,b2688,0,1,1
beril_Keio,b4146,0,1,1
beril_Keio,b2720,0,2,1
beril_Keio,b2926,0,1,1
beril_Keio,b2975,0,3,1
beril_Keio,b0429,0,1,1
beril_Keio,b0068,0,1,1
beril_Keio,b0583,0,1,1
beril_Keio,b3788,0,1,1
beril_Keio,b2498,0,1,1
beril_Keio,b4468,0,3,1
beril_Keio,b0368,0,1,1
beril_Keio,b0452,0,10,1
beril_Keio,b0928,0,4,1
beril_Keio,b3875,0,3,1
beril_Keio,b2708,0,1,1
beril_Keio,b1651,0,1,1
beril_Keio,b1192,0,4,1
beril_Keio,b2676,0,4,1
beril_Keio,b2156,0,1,1
beril_Keio,b1469,0,1,1
beril_Keio,b3809,1,1,1
beril_Keio,b3057,0,2,1
beril_Keio,b0446,0,4,1
beril_Keio,b2407,0,5,1
beril_Keio,b0781,0,1,1
beril_Keio,b2254,0,1,1
beril_Keio,b3751,0,1,1
beril_Keio,b0726,0,1,1
beril_Keio,b3603,0,3,1
beril_Keio,b3876,0,1,1
beril_Keio,b0087,1,1,1
beril_Keio,b3731,0,1,1
beril_Keio,b3633,1,2,1
beril_Keio,b1599,0,1,1
beril_Keio,b3943,0,1,1
beril_Keio,b3787,0,1,1
beril_Keio,b3993,1,1,1
beril_Keio,b0657,0,2,1
beril_Keio,b3617,0,1,1
beril_Keio,b4197,0,1,1
beril_Keio,b2279,0,3,1
beril_Keio,b1190,0,1,1
beril_Keio,b0066,0,1,1
beril_Keio,b1124,0,2,1
beril_Keio,b3996,0,1,1
beril_Keio,b2284,0,3,1
beril_Keio,b0842,0,2,1
beril_Keio,b2341,0,16,1
beril_Keio,b3540,0,3,1
beril_Keio,b1107,0,3,1
beril_Keio,b2679,0,5,1
beril_Keio,b1011,0,1,1
beril_Keio,b3664,0,1,1
beril_Keio,b2701,0,4,1
beril_Keio,b0521,0,1,1
beril_Keio,b1985,0,2,1
beril_Keio,b0009,0,1,1
beril_Keio,b2416,0,21,1
beril_Keio,b3994,1,1,1
beril_Keio,b0584,0,1,1
beril_Keio,b3882,0,2,1
beril_Keio,b1226,0,2,1
beril_Keio,b3093,0,2,1
beril_Keio,b3930,0,1,1
beril_Keio,b3786,0,1,1
beril_Keio,b4194,0,1,1
beril_Keio,b1277,1,1,1
beril_Keio,b2787,0,1,1
beril_Keio,b0237,0,3,1
beril_Keio,b2920,0,1,1
beril_Keio,b1208,1,1,1
beril_Keio,b4226,0,1,1
beril_Keio,b2308,0,4,1
beril_Keio,b1285,0,2,1
beril_Keio,b3370,0,2,1
beril_Keio,b3365,0,1,1
beril_Keio,b3059,0,7,1
beril_Keio,b0509,0,1,1
beril_Keio,b0679,0,1,1
beril_Keio,b0837,0,1,1
beril_Keio,b1227,0,2,1
beril_Keio,b2418,0,4,1
beril_Keio,b3708,0,3,1
beril_Keio,b0493,0,1,1
beril_Keio,b3580,0,2,1
beril_Keio,b2563,0,1,1
beril_Keio,b2501,0,2,1
beril_Keio,b2670,0,1,1
beril_Keio,b2029,0,1,1
beril_Keio,b1363,0,1,1
beril_Keio,b4101,0,1,1
beril_Keio,b3028,0,3,1
beril_Keio,b2747,1,1,1
beril_Keio,b3739,0,1,1
beril_Keio,b0755,0,1,1
beril_Keio,b4297,0,1,1
beril_Keio,b0617,0,1,1
beril_Keio,b3843,1,1,1
beril_Keio,b1448,0,1,1
beril_Keio,b2235,0,4,1
beril_Keio,b0207,0,2,1
beril_Keio,b0388,0,1,1
beril_Keio,b2796,0,1,1
beril_Keio,b3447,0,1,1
beril_Keio,b3519,0,1,1
beril_Keio,b2472,1,1,1
beril_Keio,b0630,0,1,1
beril_Keio,b0908,1,1,1
beril_Keio,b1897,0,1,1
beril_Keio,b1378,0,1,1
beril_Keio,b1616,0,1,1
beril_Keio,b3458,0,1,1
beril_Keio,b2260,0,1,1
beril_Keio,b2965,0,1,1
beril_Keio,b1197,0,1,1
beril_Keio,b4356,0,1,1
beril_Keio,b1681,0,6,1
beril_Keio,b0185,1,1,1
beril_Keio,b2750,1,1,1
beril_Keio,b2723,0,2,1
beril_Keio,b3785,0,3,1
beril_Keio,b1025,0,1,1
beril_Keio,b1778,0,1,1
beril_Keio,b1771,0,1,1
beril_Keio,b0150,0,3,1
beril_Keio,b0641,1,9,1
beril_Keio,b1600,0,1,1
beril_Keio,b2788,0,1,1
beril_Keio,b0589,0,2,1
beril_Keio,b3697,0,6,1
beril_Keio,b3542,0,3,1
beril_Keio,b3806,0,1,1
beril_Keio,b2417,0,6,1
beril_Keio,b1244,0,2,1
beril_Keio,b2738,0,1,1
beril_Keio,b0090,1,1,1
beril_Keio,b4073,0,2,1
beril_Keio,b1474,0,2,1
beril_Keio,b1185,0,2,1
beril_Keio,b2019,1,1,1
beril_Keio,b0032,0,1,1
beril_Keio,b2987,0,1,1
beril_Keio,b1746,0,1,1
beril_Keio,b1606,0,2,1
beril_Keio,b0517,0,1,1
beril_Keio,b1392,0,1,1
beril_Keio,b0158,0,3,1
beril_Keio,b3433,1,1,1
beril_Keio,b2168,0,1,1
beril_Keio,b2025,1,1,1
beril_Keio,b1288,1,26,1
beril_Keio,b1661,0,4,1
beril_Keio,b2257,0,1,1
beril_Keio,b3568,0,1,1
beril_Keio,b0089,1,2,1
beril_Keio,b4287,0,1,1
beril_Keio,b2097,0,1,1
beril_Keio,b3607,1,1,1
beril_Keio,b1109,0,3,1
beril_Keio,b1200,0,1,1
beril_Keio,b4092,0,1,1
beril_Keio,b0114,0,1,1
beril_Keio,b0894,0,4,1
beril_Keio,b4006,1,2,1
beril_Keio,b3551,0,3,1
beril_Keio,b1858,0,1,1
beril_Keio,b0142,1,1,1
beril_Keio,b0813,0,2,1
beril_Keio,b2997,0,3,1
beril_Keio,b4034,0,6,1
beril_Keio,b1813,0,1,1
beril_Keio,b3172,1,1,1
beril_Keio,b0576,0,1,1
beril_Keio,b3779,0,1,1
beril_Keio,b4115,0,1,1
beril_Keio,b1297,0,1,1
beril_Keio,b1981,0,1,1
beril_Keio,b3627,0,1,1
beril_Keio,b2431,0,1,1
beril_Keio,b1186,0,1,1
