organism,locus_tag,product,source
syn3a,JCVISYN3A_0001,,none
syn3a,JCVISYN3A_0002,,none
syn3a,JCVISYN3A_0003,,none
syn3a,JCVISYN3A_0004,,none
syn3a,JCVISYN3A_0005,,none
syn3a,JCVISYN3A_0006,,none
syn3a,JCVISYN3A_0007,,none
syn3a,JCVISYN3A_0008,,none
syn3a,JCVISYN3A_0009,,none
syn3a,JCVISYN3A_0010,,none
syn3a,JCVISYN3A_0011,,none
syn3a,JCVISYN3A_0012,,none
syn3a,JCVISYN3A_0918,,none
syn3a,JCVISYN3A_0913,,none
syn3a,JCVISYN3A_0025,,none
syn3a,JCVISYN3A_0026,,none
syn3a,JCVISYN3A_0027,,none
syn3a,JCVISYN3A_0029,,none
syn3a,JCVISYN3A_0030,,none
syn3a,JCVISYN3A_0033,,none
syn3a,JCVISYN3A_0034,,none
syn3a,JCVISYN3A_0039,,none
syn3a,JCVISYN3A_0040,,none
syn3a,JCVISYN3A_0042,,none
syn3a,JCVISYN3A_0043,,none
syn3a,JCVISYN3A_0044,,none
syn3a,JCVISYN3A_0045,,none
syn3a,JCVISYN3A_0046,,none
syn3a,JCVISYN3A_0047,,none
syn3a,JCVISYN3A_0054,,none
syn3a,JCVISYN3A_0060,,none
syn3a,JCVISYN3A_0061,,none
syn3a,JCVISYN3A_0063,,none
syn3a,JCVISYN3A_0064,,none
syn3a,JCVISYN3A_0065,,none
syn3a,JCVISYN3A_0066,,none
syn3a,JCVISYN3A_0076,,none
syn3a,JCVISYN3A_0077,,none
syn3a,JCVISYN3A_0079,,none
syn3a,JCVISYN3A_0080,,none
syn3a,JCVISYN3A_0081,,none
syn3a,JCVISYN3A_0082,,none
syn3a,JCVISYN3A_0094,,none
syn3a,JCVISYN3A_0095,,none
syn3a,JCVISYN3A_0097,,none
syn3a,JCVISYN3A_0105,,none
syn3a,JCVISYN3A_0106,,none
syn3a,JCVISYN3A_0107,,none
syn3a,JCVISYN3A_0108,,none
syn3a,JCVISYN3A_0109,,none
syn3a,JCVISYN3A_0113,,none
syn3a,JCVISYN3A_0114,,none
syn3a,JCVISYN3A_0115,,none
syn3a,JCVISYN3A_0116,,none
syn3a,JCVISYN3A_0117,,none
syn3a,JCVISYN3A_0126,,none
syn3a,JCVISYN3A_0127,,none
syn3a,JCVISYN3A_0128,,none
syn3a,JCVISYN3A_0129,,none
syn3a,JCVISYN3A_0131,,none
syn3a,JCVISYN3A_0132,,none
syn3a,JCVISYN3A_0133,,none
syn3a,JCVISYN3A_0137,,none
syn3a,JCVISYN3A_0138,,none
syn3a,JCVISYN3A_0139,,none
syn3a,JCVISYN3A_0140,,none
syn3a,JCVISYN3A_0141,,none
syn3a,JCVISYN3A_0142,,none
syn3a,JCVISYN3A_0143,,none
syn3a,JCVISYN3A_0144,,none
syn3a,JCVISYN3A_0145,,none
syn3a,JCVISYN3A_0146,,none
syn3a,JCVISYN3A_0147,,none
syn3a,JCVISYN3A_0148,,none
syn3a,JCVISYN3A_0149,,none
syn3a,JCVISYN3A_0150,,none
syn3a,JCVISYN3A_0151,,none
syn3a,JCVISYN3A_0163,,none
syn3a,JCVISYN3A_0164,,none
syn3a,JCVISYN3A_0165,,none
syn3a,JCVISYN3A_0166,,none
syn3a,JCVISYN3A_0167,,none
syn3a,JCVISYN3A_0168,,none
syn3a,JCVISYN3A_0169,,none
syn3a,JCVISYN3A_0195,,none
syn3a,JCVISYN3A_0196,,none
syn3a,JCVISYN3A_0197,,none
syn3a,JCVISYN3A_0198,,none
syn3a,JCVISYN3A_0199,,none
syn3a,JCVISYN3A_0200,,none
syn3a,JCVISYN3A_0201,,none
syn3a,JCVISYN3A_0202,,none
syn3a,JCVISYN3A_0203,,none
syn3a,JCVISYN3A_0213,,none
syn3a,JCVISYN3A_0214,,none
syn3a,JCVISYN3A_0215,,none
syn3a,JCVISYN3A_0216,,none
syn3a,JCVISYN3A_0218,,none
syn3a,JCVISYN3A_0220,,none
syn3a,JCVISYN3A_0221,,none
syn3a,JCVISYN3A_0222,,none
syn3a,JCVISYN3A_0227,,none
syn3a,JCVISYN3A_0228,,none
syn3a,JCVISYN3A_0229,,none
syn3a,JCVISYN3A_0230,,none
syn3a,JCVISYN3A_0233,,none
syn3a,JCVISYN3A_0234,,none
syn3a,JCVISYN3A_0235,,none
syn3a,JCVISYN3A_0238,,none
syn3a,JCVISYN3A_0239,,none
syn3a,JCVISYN3A_0240,,none
syn3a,JCVISYN3A_0247,,none
syn3a,JCVISYN3A_0248,,none
syn3a,JCVISYN3A_0249,,none
syn3a,JCVISYN3A_0250,,none
syn3a,JCVISYN3A_0253,,none
syn3a,JCVISYN3A_0254,,none
syn3a,JCVISYN3A_0257,,none
syn3a,JCVISYN3A_0259,,none
syn3a,JCVISYN3A_0260,,none
syn3a,JCVISYN3A_0262,,none
syn3a,JCVISYN3A_0263,,none
syn3a,JCVISYN3A_0264,,none
syn3a,JCVISYN3A_0270,,none
syn3a,JCVISYN3A_0271,,none
syn3a,JCVISYN3A_0281,,none
syn3a,JCVISYN3A_0282,,none
syn3a,JCVISYN3A_0283,,none
syn3a,JCVISYN3A_0285,,none
syn3a,JCVISYN3A_0286,,none
syn3a,JCVISYN3A_0287,,none
syn3a,JCVISYN3A_0288,,none
syn3a,JCVISYN3A_0289,,none
syn3a,JCVISYN3A_0290,,none
syn3a,JCVISYN3A_0291,,none
syn3a,JCVISYN3A_0294,,none
syn3a,JCVISYN3A_0296,,none
syn3a,JCVISYN3A_0297,,none
syn3a,JCVISYN3A_0298,,none
syn3a,JCVISYN3A_0299,,none
syn3a,JCVISYN3A_0300,,none
syn3a,JCVISYN3A_0301,,none
syn3a,JCVISYN3A_0302,,none
syn3a,JCVISYN3A_0303,,none
syn3a,JCVISYN3A_0304,,none
syn3a,JCVISYN3A_0305,,none
syn3a,JCVISYN3A_0308,,none
syn3a,JCVISYN3A_0314,,none
syn3a,JCVISYN3A_0315,,none
syn3a,JCVISYN3A_0316,,none
syn3a,JCVISYN3A_0317,,none
syn3a,JCVISYN3A_0325,,none
syn3a,JCVISYN3A_0326,,none
syn3a,JCVISYN3A_0327,,none
syn3a,JCVISYN3A_0328,,none
syn3a,JCVISYN3A_0329,,none
syn3a,JCVISYN3A_0330,,none
syn3a,JCVISYN3A_0332,,none
syn3a,JCVISYN3A_0338,,none
syn3a,JCVISYN3A_0344,,none
syn3a,JCVISYN3A_0345,,none
syn3a,JCVISYN3A_0346,,none
syn3a,JCVISYN3A_0347,,none
syn3a,JCVISYN3A_0348,,none
syn3a,JCVISYN3A_0350,,none
syn3a,JCVISYN3A_0352,,none
syn3a,JCVISYN3A_0353,,none
syn3a,JCVISYN3A_0359,,none
syn3a,JCVISYN3A_0360,,none
syn3a,JCVISYN3A_0361,,none
syn3a,JCVISYN3A_0362,,none
syn3a,JCVISYN3A_0363,,none
syn3a,JCVISYN3A_0364,,none
syn3a,JCVISYN3A_0365,,none
syn3a,JCVISYN3A_0366,,none
syn3a,JCVISYN3A_0371,,none
syn3a,JCVISYN3A_0372,,none
syn3a,JCVISYN3A_0373,,none
syn3a,JCVISYN3A_0375,,none
syn3a,JCVISYN3A_0376,,none
syn3a,JCVISYN3A_0377,,none
syn3a,JCVISYN3A_0378,,none
syn3a,JCVISYN3A_0379,,none
syn3a,JCVISYN3A_0380,,none
syn3a,JCVISYN3A_0381,,none
syn3a,JCVISYN3A_0382,,none
syn3a,JCVISYN3A_0387,,none
syn3a,JCVISYN3A_0388,,none
syn3a,JCVISYN3A_0389,,none
syn3a,JCVISYN3A_0390,,none
syn3a,JCVISYN3A_0391,,none
syn3a,JCVISYN3A_0392,,none
syn3a,JCVISYN3A_0394,,none
syn3a,JCVISYN3A_0398,,none
syn3a,JCVISYN3A_0399,,none
syn3a,JCVISYN3A_0400,,none
syn3a,JCVISYN3A_0401,,none
syn3a,JCVISYN3A_0402,,none
syn3a,JCVISYN3A_0403,,none
syn3a,JCVISYN3A_0404,,none
syn3a,JCVISYN3A_0405,,none
syn3a,JCVISYN3A_0406,,none
syn3a,JCVISYN3A_0407,,none
syn3a,JCVISYN3A_0408,,none
syn3a,JCVISYN3A_0409,,none
syn3a,JCVISYN3A_0410,,none
syn3a,JCVISYN3A_0411,,none
syn3a,JCVISYN3A_0412,,none
syn3a,JCVISYN3A_0413,,none
syn3a,JCVISYN3A_0414,,none
syn3a,JCVISYN3A_0415,,none
syn3a,JCVISYN3A_0416,,none
syn3a,JCVISYN3A_0418,,none
syn3a,JCVISYN3A_0419,,none
syn3a,JCVISYN3A_0420,,none
syn3a,JCVISYN3A_0421,,none
syn3a,JCVISYN3A_0422,,none
syn3a,JCVISYN3A_0424,,none
syn3a,JCVISYN3A_0425,,none
syn3a,JCVISYN3A_0426,,none
syn3a,JCVISYN3A_0427,,none
syn3a,JCVISYN3A_0428,,none
syn3a,JCVISYN3A_0429,,none
syn3a,JCVISYN3A_0430,,none
syn3a,JCVISYN3A_0431,,none
syn3a,JCVISYN3A_0432,,none
syn3a,JCVISYN3A_0433,,none
syn3a,JCVISYN3A_0434,,none
syn3a,JCVISYN3A_0435,,none
syn3a,JCVISYN3A_0437,,none
syn3a,JCVISYN3A_0438,,none
syn3a,JCVISYN3A_0439,,none
syn3a,JCVISYN3A_0440,,none
syn3a,JCVISYN3A_0441,,none
syn3a,JCVISYN3A_0442,,none
syn3a,JCVISYN3A_0443,,none
syn3a,JCVISYN3A_0444,,none
syn3a,JCVISYN3A_0445,,none
syn3a,JCVISYN3A_0447,,none
syn3a,JCVISYN3A_0448,,none
syn3a,JCVISYN3A_0451,,none
syn3a,JCVISYN3A_0452,,none
syn3a,JCVISYN3A_0453,,none
syn3a,JCVISYN3A_0475,,none
syn3a,JCVISYN3A_0478,,none
syn3a,JCVISYN3A_0479,,none
syn3a,JCVISYN3A_0481,,none
syn3a,JCVISYN3A_0482,,none
syn3a,JCVISYN3A_0154,,none
syn3a,JCVISYN3A_0493,,none
syn3a,JCVISYN3A_0494,,none
syn3a,JCVISYN3A_0495,,none
syn3a,JCVISYN3A_0499,,none
syn3a,JCVISYN3A_0500,,none
syn3a,JCVISYN3A_0501,,none
syn3a,JCVISYN3A_0503,,none
