clade,n_orgs_evaluated,clade_n_orgs_total,mean_MCC,std_MCC,min_MCC,max_MCC,mean_precision,mean_recall,total_genes,total_essential
pedobacter,1,1,0.6699518976209884,0.0,0.6699518976209884,0.6699518976209884,0.6188340807174888,0.9034369885433715,2981,611
beril_cola_unknown,1,1,0.6445800502614695,0.0,0.6445800502614695,0.6445800502614695,0.6098654708520179,0.8760064412238325,2941,621
beril_korea_unknown,1,1,0.6416206543387208,0.0,0.6416206543387208,0.6416206543387208,0.6464250734573947,0.868421052631579,2850,760
marinobacter,1,1,0.6312356831927254,0.0,0.6312356831927254,0.6312356831927254,0.6385321100917432,0.8571428571428571,3110,812
ralstonia,5,7,0.6259448843073507,0.02533010209248804,0.6023858495422085,0.6695541055297003,0.6633851482262898,0.8355928425296819,23347,6683
acidovorax,1,1,0.6242332699170665,0.0,0.6242332699170665,0.6242332699170665,0.7110754414125201,0.7861579414374446,3596,1127
beril_ponti_unknown,1,1,0.6222490841565358,0.0,0.6222490841565358,0.6222490841565358,0.6050884955752213,0.8614173228346457,2768,635
shewanella,3,3,0.6221282464594082,0.012107420127097968,0.6105677918381746,0.6388469997179709,0.5723029912202008,0.8816884148353789,10817,2140
desulfovibrio,1,1,0.6219625283888147,0.0,0.6219625283888147,0.6219625283888147,0.6247002398081535,0.8457792207792207,2514,616
kangiella,1,1,0.6109378358443134,0.0,0.6109378358443134,0.6109378358443134,0.5964912280701754,0.8893360160965795,1918,497
caulobacter,1,1,0.608469266603092,0.0,0.608469266603092,0.608469266603092,0.5618199802176064,0.9161290322580645,2654,620
pseudomonas,10,10,0.603048666225148,0.042987007670349395,0.5230484749046789,0.667752984790804,0.6273314169270184,0.8202188094754176,49459,12366
dickeya,3,3,0.5891933385062599,0.015743395988355904,0.5763421944554242,0.6113643177448232,0.5354335469269482,0.8780806728756079,11683,2270
pseudovibrio,1,1,0.5845933425204257,0.0,0.5845933425204257,0.5845933425204257,0.7074363992172211,0.7074363992172211,3456,1022
bacteroides,1,1,0.5829911855357022,0.0,0.5829911855357022,0.5829911855357022,0.6225425950196593,0.7956448911222781,2295,597
phaeobacter,1,1,0.5795624571487132,0.0,0.5795624571487132,0.5795624571487132,0.6649076517150396,0.7858627858627859,3046,962
azotobacter,1,1,0.572268457001009,0.0,0.572268457001009,0.572268457001009,0.7109433962264151,0.7325038880248833,3737,1286
beril_PS_unknown,1,1,0.5632017149574958,0.0,0.5632017149574958,0.5632017149574958,0.7207920792079208,0.7368421052631579,2635,988
herbaspirillum,1,1,0.5582906634962642,0.0,0.5582906634962642,0.5582906634962642,0.6542591267000716,0.762301918265221,3843,1199
beril_miya_unknown,1,1,0.5569849618556206,0.0,0.5569849618556206,0.5569849618556206,0.6259259259259259,0.75,2539,676
dyella,1,1,0.5562931787533324,0.0,0.5562931787533324,0.5562931787533324,0.554820415879017,0.8279266572637518,3052,709
dinoroseobacter,1,1,0.5470256179588823,0.0,0.5470256179588823,0.5470256179588823,0.6759425493716338,0.7332035053554041,3082,1027
magnetospirillum,1,1,0.5434767019396401,0.0,0.5434767019396401,0.5434767019396401,0.7790585975024016,0.6902127659574468,2650,1175
burkholderia,2,2,0.5366915994921935,0.01371933048575441,0.522972269006439,0.5504109299779478,0.7380362731302443,0.7025787367546076,11513,4681
klebsiella,1,1,0.5236027131424442,0.0,0.5236027131424442,0.5236027131424442,0.610041265474553,0.7246732026143791,4472,1224
escherichia,1,2,0.5196461673451495,0.0,0.5196461673451495,0.5196461673451495,0.4443478260869565,0.8690476190476191,3568,588
synechococcus,1,1,0.5110220951717603,0.0,0.5110220951717603,0.5110220951717603,0.7283737024221453,0.7184300341296929,1340,586
sinorhizobium,1,1,0.4777913013596112,0.0,0.4777913013596112,0.4777913013596112,0.5443188578227246,0.7793867120954003,4132,1174
