organism,clade,clade_n_orgs,n_genes,n_essential,ess_rate,MCC,precision,recall,tp,fp,tn,fn
beril_ANA3,shewanella,3,3887,816,0.20993053768973502,0.6105677918381746,0.5954465849387041,0.8333333333333334,680,462,2609,136
beril_BFirm,burkholderia,2,5964,2541,0.426056338028169,0.522972269006439,0.7557218309859155,0.6757182211727666,1717,555,2868,824
beril_Btheta,bacteroides,1,2295,597,0.2601307189542484,0.5829911855357022,0.6225425950196593,0.7956448911222781,475,288,1410,122
beril_Burk376,burkholderia,2,5549,2140,0.3856550729861236,0.5504109299779478,0.7203507152745732,0.7294392523364486,1561,606,2803,579
beril_Caulo,caulobacter,1,2654,620,0.23360964581763377,0.608469266603092,0.5618199802176064,0.9161290322580645,568,443,1591,52
beril_Cola,beril_cola_unknown,1,2941,621,0.2111526691601496,0.6445800502614695,0.6098654708520179,0.8760064412238325,544,348,1972,77
beril_Cup4G11,ralstonia,7,5483,1589,0.28980485135874523,0.6146823284899517,0.6208260105448155,0.8892385147891756,1413,863,3031,176
beril_Dda3937,dickeya,3,3943,759,0.19249302561501394,0.6113643177448232,0.5454545454545454,0.9011857707509882,684,570,2614,75
beril_Ddia6719,dickeya,3,3876,832,0.21465428276573786,0.5798735033185323,0.5648979591836735,0.8317307692307693,692,533,2511,140
beril_DdiaME23,dickeya,3,3864,679,0.17572463768115942,0.5763421944554242,0.4959481361426256,0.9013254786450663,612,622,2563,67
beril_Dino,dinoroseobacter,1,3082,1027,0.33322517845554833,0.5470256179588823,0.6759425493716338,0.7332035053554041,753,361,1694,274
beril_DvH,desulfovibrio,1,2514,616,0.24502784407319014,0.6219625283888147,0.6247002398081535,0.8457792207792207,521,313,1585,95
beril_Dyella79,dyella,1,3052,709,0.23230668414154654,0.5562931787533324,0.554820415879017,0.8279266572637518,587,471,1872,122
beril_HerbieS,herbaspirillum,1,3843,1199,0.3119958365860005,0.5582906634962642,0.6542591267000716,0.762301918265221,914,483,2161,285
beril_Kang,kangiella,1,1918,497,0.2591240875912409,0.6109378358443134,0.5964912280701754,0.8893360160965795,442,299,1122,55
beril_Keio,escherichia,2,3568,588,0.1647982062780269,0.5196461673451495,0.4443478260869565,0.8690476190476191,511,639,2341,77
beril_Korea,beril_korea_unknown,1,2850,760,0.26666666666666666,0.6416206543387208,0.6464250734573947,0.868421052631579,660,361,1729,100
beril_Koxy,klebsiella,1,4472,1224,0.2737030411449016,0.5236027131424442,0.610041265474553,0.7246732026143791,887,567,2681,337
beril_MR1,shewanella,3,3579,647,0.18077675328303996,0.6169699478220794,0.5346534653465347,0.9180834621329211,594,517,2415,53
beril_Magneto,magnetospirillum,1,2650,1175,0.44339622641509435,0.5434767019396401,0.7790585975024016,0.6902127659574468,811,230,1245,364
beril_Marino,marinobacter,1,3110,812,0.26109324758842445,0.6312356831927254,0.6385321100917432,0.8571428571428571,696,394,1904,116
beril_Miya,beril_miya_unknown,1,2539,676,0.26624655376132333,0.5569849618556206,0.6259259259259259,0.75,507,303,1560,169
beril_PS,beril_PS_unknown,1,2635,988,0.3749525616698292,0.5632017149574958,0.7207920792079208,0.7368421052631579,728,282,1365,260
beril_PV4,pseudovibrio,1,3456,1022,0.2957175925925926,0.5845933425204257,0.7074363992172211,0.7074363992172211,723,299,2135,299
beril_Pedo557,pedobacter,1,2981,611,0.20496477692049647,0.6699518976209884,0.6188340807174888,0.9034369885433715,552,340,2030,59
beril_Phaeo,phaeobacter,1,3046,962,0.31582403151674326,0.5795624571487132,0.6649076517150396,0.7858627858627859,756,381,1703,206
beril_Ponti,beril_ponti_unknown,1,2768,635,0.22940751445086704,0.6222490841565358,0.6050884955752213,0.8614173228346457,547,357,1776,88
beril_Putida,pseudomonas,10,4715,917,0.19448568398727464,0.5752808778777672,0.5214285714285715,0.8756815703380589,803,737,3061,114
beril_RalstoniaBSBF1503,ralstonia,7,4557,1307,0.2868114987930656,0.6386657071040335,0.683111954459203,0.8263198163733741,1080,501,2749,227
beril_RalstoniaGMI1000,ralstonia,7,4445,1361,0.30618672665916763,0.6044364308708597,0.690150032615786,0.7773695811903012,1058,475,2609,303
beril_RalstoniaPSI07,ralstonia,7,4343,1033,0.23785401795993552,0.6023858495422085,0.5856209150326798,0.8673765730880929,896,634,2676,137
beril_RalstoniaUW163,ralstonia,7,4519,1393,0.30825403850409383,0.6695541055297003,0.7372168284789644,0.8176597272074659,1139,406,2720,254
beril_SB2B,shewanella,3,3351,677,0.20202924500149208,0.6388469997179709,0.5868089233753637,0.8936484490398818,605,426,2248,72
beril_Smeli,sinorhizobium,1,4132,1174,0.28412391093901257,0.4777913013596112,0.5443188578227246,0.7793867120954003,915,766,2192,259
beril_SynE,synechococcus,1,1340,586,0.4373134328358209,0.5110220951717603,0.7283737024221453,0.7184300341296929,421,157,597,165
beril_SyringaeB728a,pseudomonas,10,5069,1111,0.21917537975932136,0.667752984790804,0.6499661475964793,0.8640864086408641,960,517,3441,151
beril_SyringaeB728a_mexBdelta,pseudomonas,10,5069,1176,0.2319984217794437,0.6646958635831123,0.668918918918919,0.8418367346938775,990,490,3403,186
beril_WCS417,pseudomonas,10,5051,1705,0.33755691942189664,0.5230484749046789,0.7039848197343453,0.6527859237536657,1113,468,2878,592
beril_acidovorax_3H11,acidovorax,1,3596,1127,0.31340378197997776,0.6242332699170665,0.7110754414125201,0.7861579414374446,886,360,2109,241
beril_azobra,azotobacter,1,3737,1286,0.3441263045223441,0.572268457001009,0.7109433962264151,0.7325038880248833,942,383,2068,344
beril_psRCH2,pseudomonas,10,3670,1039,0.28310626702997277,0.6325507502085155,0.6994022203245089,0.7882579403272377,819,352,2279,220
beril_pseudo13_GW456_L13,pseudomonas,10,4639,1023,0.22052166415175684,0.613996216535203,0.5764331210191083,0.884652981427175,905,665,2951,118
beril_pseudo1_N1B4,pseudomonas,10,4997,1990,0.3982389433660196,0.5730173075450259,0.8107594936708861,0.6437185929648241,1281,299,2708,709
beril_pseudo3_N2E3,pseudomonas,10,5200,912,0.1753846153846154,0.5659491117409305,0.47538200339558573,0.9210526315789473,840,927,3361,72
beril_pseudo5_N2C3_1,pseudomonas,10,5640,1328,0.23546099290780143,0.6039787366118965,0.5890834191555098,0.8614457831325302,1144,798,3514,184
beril_pseudo6_N2E2,pseudomonas,10,5409,1165,0.21538177112220375,0.6102163384535465,0.5779554540262707,0.8686695278969957,1012,739,3505,153
