our_organism,bigg_id,organism,file_basename
beril_Putida,iJN1463,Pseudomonas putida KT2440,iJN1463.xml.gz
beril_Putida,iJN746,Pseudomonas putida KT2440,iJN746.xml.gz
beril_Keio,e_coli_core,Escherichia coli str. K-12 substr. MG1655,e_coli_core.xml.gz
beril_Keio,iAF1260,Escherichia coli str. K-12 substr. MG1655,iAF1260.xml.gz
beril_Keio,iAF1260b,Escherichia coli str. K-12 substr. MG1655,iAF1260b.xml.gz
beril_Keio,iAPECO1_1312,Escherichia coli APEC O1,iAPECO1_1312.xml.gz
beril_Keio,iB21_1397,Escherichia coli BL21(DE3),iB21_1397.xml.gz
beril_Keio,iBWG_1329,Escherichia coli BW2952,iBWG_1329.xml.gz
beril_Keio,ic_1306,Escherichia coli CFT073,ic_1306.xml.gz
beril_Keio,iE2348C_1286,Escherichia coli O127:H6 str. E2348/69,iE2348C_1286.xml.gz
beril_Keio,iEC042_1314,Escherichia coli 042,iEC042_1314.xml.gz
beril_Keio,iEC1344_C,Escherichia coli C,iEC1344_C.xml.gz
beril_Keio,iEC1349_Crooks,Escherichia coli ATCC 8739,iEC1349_Crooks.xml.gz
beril_Keio,iEC1356_Bl21DE3,Escherichia coli BL21(DE3),iEC1356_Bl21DE3.xml.gz
beril_Keio,iEC1364_W,Escherichia coli W,iEC1364_W.xml.gz
beril_Keio,iEC1368_DH5a,Escherichia coli DH5[alpha],iEC1368_DH5a.xml.gz
beril_Keio,iEC1372_W3110,Escherichia coli str. K-12 substr. W3110,iEC1372_W3110.xml.gz
beril_Keio,iEC55989_1330,Escherichia coli 55989,iEC55989_1330.xml.gz
beril_Keio,iECABU_c1320,Escherichia coli ABU 83972,iECABU_c1320.xml.gz
beril_Keio,iECB_1328,Escherichia coli B str. REL606,iECB_1328.xml.gz
beril_Keio,iECBD_1354,Escherichia coli 'BL21-Gold(DE3)pLysS AG',iECBD_1354.xml.gz
beril_Keio,iECD_1391,Escherichia coli BL21(DE3),iECD_1391.xml.gz
beril_Keio,iECDH10B_1368,Escherichia coli str. K-12 substr. DH10B,iECDH10B_1368.xml.gz
beril_Keio,iEcDH1_1363,Escherichia coli DH1,iEcDH1_1363.xml.gz
beril_Keio,iECDH1ME8569_1439,Escherichia coli DH1,iECDH1ME8569_1439.xml.gz
beril_Keio,iEcE24377_1341,Escherichia coli O139:H28 str. E24377A,iEcE24377_1341.xml.gz
beril_Keio,iECED1_1282,Escherichia coli ED1a,iECED1_1282.xml.gz
beril_Keio,iECH74115_1262,Escherichia coli O157:H7 str. EC4115,iECH74115_1262.xml.gz
beril_Keio,iEcHS_1320,Escherichia coli HS,iEcHS_1320.xml.gz
