source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources
P84022	P05412	SMAD3	JUN	True	True	False	True	True	False	CollecTRI;TFactS_DoRothEA;TRRUST_DoRothEA;ExTRI2_CollecTRI2;DoRothEA;TFactS_CollecTRI;TfactS_CollecTRI2;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_CollecTRI2;DoRothEA-A_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;TRED_DoRothEA;RegNetwork_DoRothEA;TRRUST;ExTRI_CollecTRI
P01106	O14746	MYC	TERT	True	True	False	True	True	False	TFactS_DoRothEA;TFactS_CollecTRI;TfactS_CollecTRI2;DoRothEA-A_CollecTRI2;ExTRI_CollecTRI;TRRUST_CollecTRI;TRED_DoRothEA;TRRUST;Pavlidis_CollecTRI2;HTRIdb_DoRothEA;HTRIdb_CollecTRI2;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;TRRUST_CollecTRI2;NTNUcuration_CollecTRI2;HTRIdb;RegNetwork_DoRothEA;CollecTRI;TRRUST_DoRothEA;DoRothEA;HTRI_CollecTRI;KEGG-MEDICUS;GOA_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;Pavlidis2021_CollecTRI
P17947	P02818	SPI1	BGLAP	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275_P17535	P05412	JUNB_JUND	JUN	True	True	False	True	True	False	CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412	P05412	JUN	JUN	True	True	False	True	True	False	CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
Q15466	P29466	NR0B2	CASP1	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q04206	P01375	RELA	TNF	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;IntAct_CollecTRI;GEREDB_CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI
COMPLEX:P15408_P17275	P05412	FOSL2_JUNB	JUN	True	True	False	True	True	False	CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P15407	P05412	FOSL1_JUN	JUN	True	True	False	True	True	False	CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17535_P53539	P05412	FOSB_JUND	JUN	True	True	False	True	True	False	CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
