source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P84022	P05412	SMAD3	JUN	True	True	False	True	True	False	A
P01106	O14746	MYC	TERT	True	True	False	True	True	False	A
P05412	P84022	JUN	SMAD3	True	True	False	False	False	False	D
P05412	Q13485	JUN	SMAD4	True	True	False	False	False	False	D
Q13485	P05412	SMAD4	JUN	True	True	False	True	True	False	A
Q04206	P25445	RELA	FAS	True	True	True	True	True	False	D
P08047	P04075	SP1	ALDOA	True	True	False	True	True	False	A
P04637	P08069	TP53	IGF1R	True	False	True	True	False	True	A
Q05516	P20248	ZBTB16	CCNA2	True	False	True	True	False	True	A
Q01196	P08700	RUNX1	IL3	True	False	True	True	False	True	A
P42224	P38936	STAT1	CDKN1A	True	True	False	True	True	False	A
P40763	P38936	STAT3	CDKN1A	True	True	False	True	True	False	A
Q14872	Q8IVS2	MTF1	MCAT	True	True	False	True	True	False	D
Q9Y261	P01275	FOXA2	GCG	True	True	False	True	True	False	D
P04637	P06400	TP53	RB1	True	True	True	True	True	False	A
P01100	P08183	FOS	ABCB1	True	True	False	True	True	False	D
Q04206	P08183	RELA	ABCB1	True	True	False	True	True	False	A
P04637	P38936	TP53	CDKN1A	True	True	True	True	True	False	A
Q01094	P38936	E2F1	CDKN1A	True	True	False	True	True	False	A
O00716	P38936	E2F3	CDKN1A	True	True	False	True	True	False	A
O60381	P38936	HBP1	CDKN1A	True	False	True	True	False	True	D
P25490	P04150	YY1	NR3C1	True	True	False	True	True	False	A
P03372	P45983	ESR1	MAPK8	True	True	False	True	True	False	D
P05412	P45983	JUN	MAPK8	True	True	False	False	False	False	D
Q14994	P20813	NR1I3	CYP2B6	True	True	False	True	True	False	D
P04637	P10415	TP53	BCL2	True	False	True	True	False	True	A
O14813	P09172	PHOX2A	DBH	True	True	False	True	True	False	D
Q14765	P10914	STAT4	IRF1	True	True	False	True	True	False	A
P19544	P11926	WT1	ODC1	True	True	False	True	True	False	A
Q14653	P01562	IRF3	IFNA1	True	True	False	True	True	False	A
P20823	P05019	HNF1A	IGF1	True	True	False	True	True	False	A
P42229	P05019	STAT5A	IGF1	True	True	False	True	True	False	A
P27540	Q16678	ARNT	CYP1B1	True	True	False	True	True	False	A
P14921	P01033	ETS1	TIMP1	True	True	True	True	True	False	A
P43268	P01033	ETV4	TIMP1	True	True	False	True	True	False	D
P35869	Q16678	AHR	CYP1B1	True	True	False	True	True	False	A
P04637	P14635	TP53	CCNB1	True	False	True	True	False	True	A
