system,model,n_train,n_params,traj_mse,energy_drift,final_pos_error,steps,wall_s
harmonic,MLP,100,33666,0.0006126008627628969,0.03141550697995674,0.011244119784037623,2000,6.524562358856201
harmonic,HNN,100,33537,0.001900997110924076,0.007945833999224269,0.017372323480523023,2000,12.106394052505493
harmonic,MLP,1000,33666,0.00038499355823439684,0.03908439852188395,0.010120920076434673,2000,6.224955797195435
harmonic,HNN,1000,33537,0.00017368005160895843,0.020069754402679628,0.008575200258484086,2000,14.40995717048645
harmonic,MLP,10000,33666,0.00037871836939962255,0.05930822976795024,0.01750644636481611,2000,6.396016359329224
harmonic,HNN,10000,33537,0.0004660110803247526,0.035082393451764934,0.019057151752405257,2000,15.013867378234863
harmonic,MLP,100000,33666,0.00028426527709353997,0.02404549361906147,0.010130192594784669,2000,6.755309581756592
harmonic,HNN,100000,33537,9.35069828234977e-05,0.01235494932525065,0.006118518990633596,2000,14.098905801773071
damped,MLP,100,33666,0.0002891548663220612,0.9936356657673626,0.004340143005325375,2000,5.563788175582886
damped,HNN,100,33537,0.3212483691313258,0.40338153319399234,0.6901820280053025,2000,11.62460207939148
damped,MLP,1000,33666,2.288320749590378e-05,0.9927477243075733,0.002004937709196634,2000,5.9307920932769775
damped,HNN,1000,33537,0.19028680086608674,0.11901685641562101,0.35804222688751164,2000,13.102771997451782
damped,MLP,10000,33666,2.2922709707002603e-05,0.993169276826085,0.000981373959255806,2000,5.923031330108643
damped,HNN,10000,33537,0.19213845840815985,0.09045817392754633,0.3758521497612547,2000,13.543726921081543
damped,MLP,100000,33666,0.00012578241466932574,0.9937879128585417,0.014988090164683651,2000,6.342844009399414
damped,HNN,100000,33537,0.18890829557153127,0.06578556698265292,0.3748929028650065,2000,13.22640323638916
