model,n_train,n_params,train_mse,test_mse,test_r2,grad_cosine,steps,wall_s
MLP-ReLU,500,33665,0.0010612125042825937,0.004937999881803989,0.876473773678229,0.12140337377786636,3000,6.721104621887207
Fourier-MLP,500,39425,4.091674972726459e-16,0.007092582527548075,0.8225759366418073,0.03104776330292225,3000,6.0906476974487305
SIREN-w10,500,33665,7.429792458424345e-05,0.007062576245516539,0.8233265601001473,0.09839580208063126,3000,5.716169118881226
SIREN-w30,500,33665,0.039625830948352814,0.040388889610767365,-0.01034574025672419,-0.009238370694220066,3000,5.983864784240723
MLP-ReLU,5000,33665,0.002868490293622017,0.003536798059940338,0.9115254462688346,0.17151226103305817,3000,12.756017923355103
Fourier-MLP,5000,39425,4.765957157815137e-07,0.006499020382761955,0.8374241580211054,0.05122643709182739,3000,17.192636251449585
SIREN-w10,5000,33665,0.0005980005953460932,0.0062700598500669,0.843151703195736,0.05723363533616066,3000,18.956484079360962
SIREN-w30,5000,33665,0.001843523932620883,0.005395089276134968,0.8650394767247945,0.08592906594276428,3000,48.55259609222412
MLP-ReLU,50000,33665,0.0029137451201677322,0.003115968080237508,0.9220526921636132,0.17824573814868927,3000,13.20023798942566
Fourier-MLP,50000,39425,0.001139035914093256,0.0046860044822096825,0.882777541162908,0.07330383360385895,3000,9.629395484924316
SIREN-w10,50000,33665,0.0028831714298576117,0.0031755841337144375,0.9205613743558627,0.1626175045967102,3000,9.448326349258423
SIREN-w30,50000,33665,0.0027870098128914833,0.0033474331721663475,0.9162624948364817,0.1842394322156906,3000,9.445971965789795
MLP-ReLU,500000,33665,0.0029516026843339205,0.0031200635712593794,0.921950242463019,0.1848900020122528,3000,9.472549438476562
Fourier-MLP,500000,39425,0.0003675792831927538,0.00039864645805209875,0.9900276844169044,0.7083063721656799,3000,9.999511003494263
SIREN-w10,500000,33665,0.0029785307124257088,0.0031098402105271816,0.9222059850092117,0.166713684797287,3000,10.609971046447754
SIREN-w30,500000,33665,0.0014073936035856605,0.0014526641461998224,0.9636609714392068,0.6942467093467712,3000,10.602319478988647
