R00004	3.6.1.1
R00086	3.6.1.15,3.6.1.5,3.6.1.8,7.1.2.2
R00104	2.7.1.23
R00105	2.7.1.86
R00127	2.7.4.3
R00130	2.7.1.24
R00150	2.7.2.2
R00158	2.7.4.14,2.7.4.22,2.7.4.4
R00161	2.7.7.2
R00174	2.7.1.35
R00177	2.5.1.6
R00183	3.1.3.5
R00188	3.1.3.7,3.1.3.97
R00189	6.3.1.5,6.3.5.1
R00190	2.4.2.7
R00192	3.13.2.1
R00200	2.7.1.40
R00228	1.2.1.10
R00230	2.3.1.8
R00289	2.7.7.64,2.7.7.9
R00291	5.1.3.2
R00315	2.7.2.1,2.7.2.15
R00332	2.7.4.8
R00430	2.7.1.40
R00511	3.1.3.5,3.1.3.91
R00512	2.7.4.14,2.7.4.25
R00513	2.7.1.213,2.7.1.48
R00549	2.7.1.26
R00552	3.5.3.6
R00572	2.7.1.40
R00617	2.7.4.16
R00658	4.2.1.11
R00659	2.7.1.40
R00703	1.1.1.27
R00756	2.7.1.11
R00758	1.1.1.17
R00846	1.1.3.21
R00847	2.7.1.30
R00851	2.3.1.15
R00936	1.5.1.3
R00943	6.3.4.3
R00945	2.1.2.1
R00959	5.4.2.2,5.4.2.5
R00963	3.1.3.5
R00964	2.7.1.213,2.7.1.48
R00966	2.4.2.9
R01010	3.1.3.1,3.1.3.2
R01011	2.7.1.29
R01015	5.3.1.1
R01021	2.7.1.32
R01030	3.1.4.2,3.1.4.46
R01041	1.1.1.2,1.1.1.21,1.1.1.372,1.1.1.72
R01049	2.7.6.1
R01051	2.7.1.15
R01056	5.3.1.6
R01057	5.4.2.2,5.4.2.7
R01061	1.2.1.12,1.2.1.59
R01066	4.1.2.4
R01067	2.2.1.1
R01068	4.1.2.13
R01138	2.7.1.40
R01220	1.5.1.5
R01227	3.1.3.5
R01229	2.4.2.22,2.4.2.8
R01309	3.1.1.5
R01398	2.1.3.3
R01406	6.2.1.20
R01512	2.7.2.3
R01517	2.7.2.10
R01518	5.4.2.11,5.4.2.12
R01529	5.1.3.1
R01547	2.7.4.11,2.7.4.3
R01561	2.4.2.1
R01567	2.7.1.145,2.7.1.21
R01569	3.1.3.35,3.1.3.5,3.1.3.89
R01570	2.4.2.2,2.4.2.4
R01623	3.1.4.14
R01625	2.7.8.7
R01641	2.2.1.1
R01655	3.5.4.9
R01664	3.1.3.5,3.1.3.89
R01665	2.7.4.14,2.7.4.25
R01666	2.7.1.145,2.7.1.213,2.7.1.74
R01698	1.8.1.4
R01699	1.2.4.1
R01724	6.3.4.21
R01799	2.7.7.41
R01801	2.7.8.5
R01819	5.3.1.8
R01858	2.7.1.40
R01876	2.4.2.2,2.4.2.3
R01878	3.5.4.5
R01890	2.7.7.15
R01967	2.7.1.113,2.7.1.145
R01969	2.4.2.1,2.4.2.4
R02016	1.8.1.9
R02017	1.17.4.1
R02018	1.17.4.1
R02019	1.17.4.1
R02024	1.17.4.1
R02029	3.1.3.27
R02030	2.7.8.41
R02071	2.7.1.56
R02089	2.7.1.145,2.7.1.76
R02090	2.7.4.12,2.7.4.8
R02094	2.7.4.12,2.7.4.9
R02098	2.7.4.4,2.7.4.9
R02099	2.7.1.145,2.7.1.21
R02101	2.1.1.45
R02134	2.7.1.89
R02147	2.4.2.1,2.4.2.15
R02235	1.5.1.3
R02239	3.1.3.4
R02241	2.3.1.51
R02301	6.3.3.2
R02320	2.7.1.40
R02484	2.4.2.2,2.4.2.3,2.4.2.4
R02557	2.4.2.1
R02568	4.1.2.13
R02569	2.3.1.12
R02628	2.7.3.9
R02630	2.7.1.191
R02704	2.7.1.197
R02738	2.7.1.199
R02740	5.3.1.9
R02749	5.4.2.7
R02918	6.1.1.1
R02971	2.7.1.33,2.7.1.34
R03005	2.7.7.1,2.7.7.18
R03035	2.7.7.3
R03038	6.1.1.7
R03244	5.1.3.22
R03646	6.1.1.19
R03648	6.1.1.22
R03650	6.1.1.16
R03651	6.1.1.24
R03654	6.1.1.14
R03655	6.1.1.21
R03656	6.1.1.5
R03658	6.1.1.6
R03659	6.1.1.10
R03660	6.1.1.20
R03661	6.1.1.15
R03662	6.1.1.11
R03663	6.1.1.3
R03664	6.1.1.2
R03665	6.1.1.9
R03905	6.3.5.7
R03940	2.1.2.9
R04858	2.1.1.37
R05577	6.1.1.12,6.1.1.23
R05578	6.1.1.17,6.1.1.24
R05850	5.1.3.4
R07125	4.1.1.85
R07297	3.1.3.5
R08575	2.2.1.2
R11519	1.3.7.13
