ec_number	km_value	km_unit	km_substrate	km_organism	km_organism_rank	km_n_at_rank	km_n_total	kcat_value	kcat_unit	kcat_organism	kcat_organism_rank	kcat_n_at_rank	kcat_n_total
1.1.1.17	6e-05	M	NAD+	Streptococcus mutans	5	18	18	125.0	s^(-1)	Aspergillus fumigatus	5	4	4
1.1.1.2	0.009	M	1-Pentanol	Escherichia coli	3	11	371	0.003333333	s^(-1)	Escherichia coli	3	11	127
1.1.1.21	0.0026	M	D-Glucuronate	Oryctolagus cuniculus	5	286	469	10.2	s^(-1)	Candida intermedia	5	178	351
1.1.1.27	0.001	M	Pyruvate	Lactococcus lactis subsp. lactis	4	81	500	30.0	s^(-1)	Toxoplasma gondii	5	175	193
1.1.1.372	1.8e-05	M	Glyceraldehyde	Homo sapiens	6	3	3	3.06	s^(-1)	Homo sapiens	6	2	2
1.1.1.72	0.0009	M	Diacetyl	Trichoderma reesei	5	14	14	11.0	s^(-1)	Trichoderma reesei	5	10	10
1.1.3.21	0.0055	M	sn-Glycerol 3-phosphate	Mycoplasma pneumoniae	0	4	7	4.2	s^(-1)	Mycoplasma pneumoniae	0	3	5
1.17.4.1	3.5e-07	M	Reduced glutaredoxin	Escherichia coli	3	2	9						0
1.2.1.10	0.000561	M	NADP+	Burkholderia xenovorans LB400	5	25	25	11.2	s^(-1)	Burkholderia xenovorans LB400	5	11	11
1.2.1.12	0.00089	M	D-Glyceraldehyde 3-phosphate	Escherichia coli	3	30	251	0.1	s^(-1)	Escherichia coli	3	19	64
1.2.1.59	0.0057	M	NAD+	Bacillus subtilis	4	2	18	8.0	s^(-1)	Bacillus subtilis	4	2	2
1.2.4.1	0.000321	M	Pyruvate	Escherichia coli	3	4	43	0.91	s^(-1)	Geobacillus stearothermophilus	5	24	24
1.2.4.1 2.3.1.12 1.8.1.4	0.000531	M	Pyruvate	Escherichia coli	3	15	105	28.89	s^(-1)	Escherichia coli	3	12	12
1.2.4.1 2.3.1.61 1.8.1.4	0.000308	M	2-Keto-4-hydroxyglutarate	Escherichia coli	3	2	4						0
1.2.4.2 2.3.1.61 1.8.1.4	1.05e-05	M	2-Oxoglutarate	Escherichia coli	3	3	79	30.0	s^(-1)	Homo sapiens	6	1	1
1.2.4.4 2.3.1.168 1.8.1.4	2.5e-05	M	Coenzyme A	Homo sapiens	6	20	20						0
1.4.4.2 1.8.1.4 2.1.2.10	0.003	M	Glycine	Canis familiaris	5	2	4						0
1.4.4.2 2.1.2.10 1.8.1.4	2.2e-06	M	H protein	Pisum sativum	5	1	1						0
1.5.1.3	3e-06	M	NADPH	Escherichia coli	3	130	330	4.5	s^(-1)	Escherichia coli	3	104	233
