rxn_id	kegg_rid	rxn_name	ec_number	km_value	km_unit	km_substrate	km_organism	kcat_value	kcat_unit	kcat_organism	source
RR00106	R00150	ATP:carbamate phosphotransferase	2.7.2.2	0.0002	M	ADP	Mycoplasma arthritidis	730.0	s^(-1)	Enterococcus faecalis	SABIO-RK
RR00111	R00158	ATP:UMP phosphotransferase	2.7.4.14	0.00036	M	1-beta-D-Arabinofuranosylcytosine 5'-monophosphate	Escherichia coli	217.0	s^(-1)	Dictyostelium discoideum	SABIO-RK
RR00111	R00158	ATP:UMP phosphotransferase	2.7.4.22	0.00024	M	ATP	Escherichia coli	175.0	s^(-1)	Streptococcus pneumoniae	SABIO-RK
RR00111	R00158	ATP:UMP phosphotransferase	2.7.4.4	0.00094	M	CMP	Homo sapiens				SABIO-RK
RR00146	R00289	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	2.7.7.64	0.00043	M	alpha-D-Galactose 1-phosphate	Cucumis melo				SABIO-RK
RR00146	R00289	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	2.7.7.9	7e-05	M	UTP	Escherichia coli				SABIO-RK
RR00147	R00291	UDPglucose 4-epimerase	5.1.3.2	0.00014	M	UDP-D-galactose	Escherichia coli	23.9	s^(-1)	Escherichia coli	SABIO-RK
RR00157	R00315	ATP:acetate phosphotransferase	2.7.2.1	6e-05	M	GTP	Escherichia coli	216.0	s^(-1)	Methanosarcina thermophila	SABIO-RK
RR00157	R00315	ATP:acetate phosphotransferase	2.7.2.15	0.00233	M	Propanoate	Salmonella typhimurium	125.0	s^(-1)	Salmonella typhimurium	SABIO-RK
RR00171	R00332	ATP:GMP phosphotransferase	2.7.4.8	5.06e-05	M	ATP	Arabidopsis thaliana	3.9	s^(-1)	Arabidopsis thaliana	SABIO-RK
RR00268	R00512	ATP:CMP phosphotransferase	2.7.4.14	0.00036	M	1-beta-D-Arabinofuranosylcytosine 5'-monophosphate	Escherichia coli	217.0	s^(-1)	Dictyostelium discoideum	SABIO-RK
RR00268	R00512	ATP:CMP phosphotransferase	2.7.4.25	0.0019	M	UMP	Escherichia coli	0.73	s^(-1)	Escherichia coli	SABIO-RK
RR00275	R11519	Formate:NAD+ oxidoreductase	1.3.7.13								SABIO-RK_no_data
RR00362	R00658	2-Phospho-D-glycerate hydro-lyase	4.2.1.11	0.0001	M	2-Phospho-D-glycerate	Escherichia coli	107.5	s^(-1)	Bacillus subtilis	SABIO-RK
RR00404	R00703	(S)-Lactate:NAD+ oxidoreductase	1.1.1.27	0.001	M	Pyruvate	Lactococcus lactis subsp. lactis	30.0	s^(-1)	Toxoplasma gondii	SABIO-RK
RR00452	R00758	D-Mannitol-1-phosphate:NAD+ 5-oxidoreductase	1.1.1.17	6e-05	M	NAD+	Streptococcus mutans	125.0	s^(-1)	Aspergillus fumigatus	SABIO-RK
RR00464	R02740	D-Glucose-6-phosphate ketol-isomerase	5.3.1.9	0.003	M	D-Glucose 6-phosphate	Escherichia coli	16.0	s^(-1)	Geobacillus stearothermophilus	SABIO-RK
RR00465	R01819	D-Mannose-6-phosphate ketol-isomerase	5.3.1.8	0.0021	M	D-Mannose 6-phosphate	Pseudomonas aeruginosa	0.076	s^(-1)	Pseudomonas aeruginosa	SABIO-RK
RR00521	R00846	sn-Glycerol-3-phosphate:oxygen 2-oxidoreductase	1.1.3.21	0.0055	M	sn-Glycerol 3-phosphate	Mycoplasma pneumoniae	4.2	s^(-1)	Mycoplasma pneumoniae	SABIO-RK
RR00590	R00936	5,6,7,8-Tetrahydrofolate:NAD+ oxidoreductase	1.5.1.3	3e-06	M	NADPH	Escherichia coli	4.5	s^(-1)	Escherichia coli	SABIO-RK
RR00598	R00945	5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	2.1.2.1	0.00015	M	L-Serine	Escherichia coli	4.296667	s^(-1)	Escherichia coli	SABIO-RK
RR00617	R00966	UMP:pyrophosphate phosphoribosyltransferase	2.4.2.9	2e-05	M	5-Phospho-alpha-D-ribose 1-diphosphate	Escherichia coli	0.05	s^(-1)	Escherichia coli	SABIO-RK
