EntryID	ECNumber	Organism	parameter.name	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
10653	1.1.1.17	Caloglossa continua	Vmax	Vmax		0.002146667		-	mol*s^(-1)*g^(-1)
10653	1.1.1.17	Caloglossa continua	B	concentration	NADH	2.0E-4		-	M
10653	1.1.1.17	Caloglossa continua	A	concentration	D-Fructose 6-phosphate	0.0	0.005	-	M
10653	1.1.1.17	Caloglossa continua	Km	Km	D-Fructose 6-phosphate	1.888E-4		-	M
10654	1.1.1.17	Caloglossa continua	Km	Km	D-Fructose 6-phosphate	0.001458		-	M
10654	1.1.1.17	Caloglossa continua	A	concentration	D-Fructose 6-phosphate	0.0	0.005	-	M
10654	1.1.1.17	Caloglossa continua	B	concentration	NADH	2.0E-4		-	M
10654	1.1.1.17	Caloglossa continua	Vmax	Vmax		0.00274		-	mol*s^(-1)*g^(-1)
10655	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	0.005		-	M
10655	1.1.1.17	Caloglossa continua	Km	Km	NADH	3.1E-6		-	M
10655	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10655	1.1.1.17	Caloglossa continua	Vmax	Vmax		3.75E-4		-	mol*s^(-1)*g^(-1)
10656	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	0.005		-	M
10656	1.1.1.17	Caloglossa continua	Km	Km	NADH	1.78E-5		-	M
10656	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10656	1.1.1.17	Caloglossa continua	Vmax	Vmax		0.0016		-	mol*s^(-1)*g^(-1)
10657	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10657	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	5.0E-4		-	M
10657	1.1.1.17	Caloglossa continua	Km	Km	NADH	3.5E-6		-	M
10657	1.1.1.17	Caloglossa continua	Vmax	Vmax		7.916667E-4		-	mol*s^(-1)*g^(-1)
10658	1.1.1.17	Caloglossa continua	A	concentration	NADH	0.0	2.0E-4	-	M
10658	1.1.1.17	Caloglossa continua	B	concentration	D-Fructose 6-phosphate	5.0E-4		-	M
10658	1.1.1.17	Caloglossa continua	Km	Km	NADH	5.4E-6		-	M
10658	1.1.1.17	Caloglossa continua	Vmax	Vmax		2.533333E-4		-	mol*s^(-1)*g^(-1)
10659	1.1.1.17	Caloglossa continua	Vmax	Vmax		5.533333E-4		-	mol*s^(-1)*g^(-1)
10659	1.1.1.17	Caloglossa continua	B	concentration	NAD+	2.0E-4		-	M
10659	1.1.1.17	Caloglossa continua	Km	Km	D-Mannitol 1-phosphate	4.89E-5		-	M
10659	1.1.1.17	Caloglossa continua	A	concentration	D-Mannitol 1-phosphate	0.0	0.004	-	M
10660	1.1.1.17	Caloglossa continua	A	concentration	D-Mannitol 1-phosphate	0.0	0.004	-	M
10660	1.1.1.17	Caloglossa continua	B	concentration	NAD+	2.0E-4		-	M
10660	1.1.1.17	Caloglossa continua	Km	Km	D-Mannitol 1-phosphate	1.38E-4		-	M
10660	1.1.1.17	Caloglossa continua	Vmax	Vmax		6.7E-4		-	mol*s^(-1)*g^(-1)
10661	1.1.1.17	Caloglossa continua	A	concentration	NAD+	0.0	2.0E-4	-	M
10661	1.1.1.17	Caloglossa continua	Km	Km	NAD+	3.2E-5		-	M
10661	1.1.1.17	Caloglossa continua	Vmax	Vmax		5.666667E-4		-	mol*s^(-1)*g^(-1)
10661	1.1.1.17	Caloglossa continua	B	concentration	D-Mannitol 1-phosphate	5.0E-4		-	M
10662	1.1.1.17	Caloglossa continua	Vmax	Vmax		6.383333E-4		-	mol*s^(-1)*g^(-1)
10662	1.1.1.17	Caloglossa continua	B	concentration	D-Mannitol 1-phosphate	5.0E-4		-	M
10662	1.1.1.17	Caloglossa continua	Km	Km	NAD+	5.69E-5		-	M
10662	1.1.1.17	Caloglossa continua	A	concentration	NAD+	0.0	2.0E-4	-	M
19929	1.1.1.17	Streptococcus mutans	B	concentration	D-Mannitol 1-phosphate	5.0E-5	0.001	-	M
19929	1.1.1.17	Streptococcus mutans	A	concentration	NAD+	2.5E-5	0.001	-	M
19929	1.1.1.17	Streptococcus mutans	Km	Km	D-Mannitol 1-phosphate	1.5E-4		-	M
19929	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.4E-4		-	mg/ml
19929	1.1.1.17	Streptococcus mutans	Vmax	Vmax				-	-
19930	1.1.1.17	Streptococcus mutans	Vmax	Vmax				-	-
19930	1.1.1.17	Streptococcus mutans	E	concentration	Enzyme	2.4E-4		-	mg/ml
19930	1.1.1.17	Streptococcus mutans	B	concentration	D-Mannitol 1-phosphate	5.0E-5	0.001	-	M
19930	1.1.1.17	Streptococcus mutans	A	concentration	NAD+	5.0E-5	4.0E-4	-	M
19930	1.1.1.17	Streptococcus mutans	Km	Km	NAD+	6.0E-5		-	M
19931	1.1.1.17	Streptococcus mutans	B	concentration	D-Fructose 6-phosphate	5.0E-4	0.005	-	M
19931	1.1.1.17	Streptococcus mutans	Vmax	Vmax				-	-
