locus_tag,gene_name,gene_product,essentiality,primary_function
JCVISYN3A_0001,dnaA,Chromosomal replication initiator protein,Essential,Genetic Information Processing
JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,Essential,Genetic Information Processing
JCVISYN3A_0003,rnmV,Ribonuclease M5,Quasiessential,Genetic Information Processing
JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,Nonessential,Genetic Information Processing
JCVISYN3A_0005,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0006,gyrB,DNA gyrase subunit B,Essential,Genetic Information Processing
JCVISYN3A_0007,gyrA,DNA gyrase subunit A,Essential,Genetic Information Processing
JCVISYN3A_0008,rnsD; uptD,Nucleoside ABC transporter permease,Essential,Metabolism
JCVISYN3A_0009,rnsC; uptD,Nucleoside ABC transporter permease,Essential,Metabolism
JCVISYN3A_0010,rnsA; uptA,Nucleoside ABC transporter ATP-binding protein,Essential,Metabolism
JCVISYN3A_0011,rnsB; uptB,Nucleoside ABC transporter substrate-binding protein,Essential,Metabolism
JCVISYN3A_0012,metRS,Methionine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0918,hisB,Imidazoleglycerol-phosphate dehydratase,Nonessential,Metabolism
JCVISYN3A_0913,tetM,Tetracycline resistance ribosomal protection protein,Nonessential,Human Diseases
JCVISYN3A_0025,rpsR,30S ribosomal protein S18,Essential,Genetic Information Processing
JCVISYN3A_0026,priB,Single-stranded DNA-binding protein,Essential,Genetic Information Processing
JCVISYN3A_0027,rpsF,30S ribosomal protein S6,Essential,Genetic Information Processing
JCVISYN3A_0029,acpD; azoR,FMN reductase/NADH-azoreductase,Essential,Metabolism
JCVISYN3A_0030,,Uncharacterized ABC transporter ATP-binding protein,Essential,Metabolism
JCVISYN3A_0033,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0034,,Uncharacterized efflux ABC transporter permease,Nonessential,Metabolism
JCVISYN3A_0039,ftsH,Membrane anchored AAA+ protease,Essential,Cellular Processes
JCVISYN3A_0040,tilS,tRNA lysidine(34) synthetase,Essential,Genetic Information Processing
JCVISYN3A_0042,,Uncharacterized transcriptional regulator,Quasiessential,Genetic Information Processing
JCVISYN3A_0043,yabD,Uncharacterized methyltransferase,Nonessential,Unclear
JCVISYN3A_0044,holA,DNA polymerase III subunit delta,Essential,Genetic Information Processing
JCVISYN3A_0045,tmk,dTMP kinase,Essential,Metabolism
JCVISYN3A_0046,recR,Recombination protein,Quasiessential,Genetic Information Processing
JCVISYN3A_0047,dnaX,DNA polymerase III subunit gamma and tau,Essential,Genetic Information Processing
JCVISYN3A_0054,ahpC,Uncharacterized peroxiredoxin,Nonessential,Metabolism
JCVISYN3A_0060,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0061,serRS,Serine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0063,dusB,Uncharacterized tRNA dihydrouridine synthase,Nonessential,Genetic Information Processing
JCVISYN3A_0064,lysRS,Lysine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0065,trxA,Thioredoxin,Essential,Metabolism
JCVISYN3A_0066,dumP,dUMP phosphatase ,Quasiessential,Metabolism
