gene_n,cond_n,n_orgs,organisms,n_entries,median_fit,worst_fit,example_locus,example_org,example_condition,description,score
uvrc,cisplatin,4,"beril_Keio,beril_MR1,beril_PV4,beril_SB2B",4,-4.57707335758572,-8.14758902724152,16027,beril_Keio,Cisplatin,"excinuclease ABC, subunit C; repair of UV damage to DNA (VIMSS)",18.30829343034288
recr,cisplatin,3,"beril_Keio,beril_MR1,beril_SB2B",3,-5.45582688071761,-6.66348784690888,14609,beril_Keio,Cisplatin,recombination protein RecR (NCBI),16.36748064215283
envz,bacitracin,2,"beril_PV4,beril_SB2B",2,-4.649888406506864,-5.19913688130821,5211222,beril_PV4,Bacitracin,osmolarity sensor protein (RefSeq),9.299776813013729
ompr,bacitracin,2,"beril_PV4,beril_SB2B",2,-4.599423761143595,-5.17000941078615,5211221,beril_PV4,Bacitracin,osmolarity response regulator (RefSeq),9.19884752228719
reco,cisplatin,2,"beril_Keio,beril_MR1",2,-4.580091471739729,-5.03693418535945,16664,beril_Keio,Cisplatin,DNA repair protein RecO (NCBI),9.160182943479459
pspb,bacitracin,2,"beril_MR1,beril_SB2B",2,-4.45929661992665,-5.79999591478881,200970,beril_MR1,Bacitracin,phage shock protein B (NCBI ptt file),8.9185932398533
uvrb,cisplatin,2,"beril_Keio,beril_MR1",2,-4.4029371813315645,-4.62529324415884,14904,beril_Keio,Cisplatin,excinuclease ABC subunit B (NCBI),8.805874362663129
uvra,cisplatin,2,"beril_Keio,beril_MR1",2,-4.259356197273865,-4.28022863290243,18086,beril_Keio,Cisplatin,excinuclease ABC subunit A (NCBI),8.51871239454773
recf,cisplatin,2,"beril_Keio,beril_SB2B",2,-4.23720090203282,-4.28773159051489,17759,beril_Keio,Cisplatin,recombination protein F (NCBI),8.47440180406564
uvrd,cisplatin,2,"beril_Keio,beril_MR1",2,-4.14554556242355,-4.40082139152288,17862,beril_Keio,Cisplatin,DNA-dependent ATPase I and helicase II (NCBI),8.2910911248471
gmha,fusidic acid,1,beril_MR1,1,-7.67251891327838,-7.67251891327838,199493,beril_MR1,Fusidic acid sodium salt,phosphoheptose isomerase (NCBI ptt file),7.67251891327838
rfae,fusidic acid,1,beril_MR1,1,-7.48699355077958,-7.48699355077958,202838,beril_MR1,Fusidic acid sodium salt,ADP-heptose synthase (NCBI ptt file),7.48699355077958
tolc,fusidic acid,1,beril_ANA3,1,-7.22526742919499,-7.22526742919499,7023495,beril_ANA3,Fusidic acid sodium salt,outer membrane channel protein (RefSeq),7.22526742919499
hflx,gentamicin,1,beril_MR1,1,-6.20440651185205,-6.20440651185205,199792,beril_MR1,Gentamicin sulfate salt,GTP-binding protein HflX (NCBI ptt file),6.20440651185205
ispz,carbenicillin disodium,1,beril_MR1,1,-5.96895600157541,-5.96895600157541,202157,beril_MR1,Carbenicillin disodium salt,intracellular septation protein A (NCBI ptt file),5.96895600157541
tig,polymyxin b,1,beril_PV4,1,-5.92566218326455,-5.92566218326455,5210062,beril_PV4,Polymyxin B sulfate,trigger factor (RefSeq),5.92566218326455
amib,bacitracin,1,beril_MR1,1,-5.82802018659281,-5.82802018659281,199788,beril_MR1,Bacitracin,N-acetylmuramoyl-L-alanine amidase (NCBI ptt file),5.82802018659281
dps,d-cycloserine,1,beril_Keio,1,-5.70535955975893,-5.70535955975893,14937,beril_Keio,D-Cycloserine,DNA protection during starvation conditions (NCBI),5.70535955975893
bioh,benzalkonium,1,beril_MR1,1,-5.57125508959094,-5.57125508959094,203696,beril_MR1,Benzalkonium Chloride,bioH protein (NCBI ptt file),5.57125508959094
hflc,gentamicin,1,beril_MR1,1,-5.48172071490414,-5.48172071490414,199794,beril_MR1,Gentamicin sulfate salt,hflC protein (NCBI ptt file),5.48172071490414
smpa,nalidixic acid,1,beril_Keio,1,-5.36561119321612,-5.36561119321612,16711,beril_Keio,Nalidixic acid sodium salt,small membrane protein A (VIMSS),5.36561119321612
trna-arg-9,benzalkonium,1,beril_MR1,1,-5.26570306022327,-5.26570306022327,401142,beril_MR1,Benzalkonium Chloride,tRNA-Arg (RefSeq),5.26570306022327
sixa,benzalkonium,1,beril_MR1,1,-5.26075346448572,-5.26075346448572,202199,beril_MR1,Benzalkonium Chloride,phosphohistidine phosphatase SixA (NCBI ptt file),5.26075346448572
mrcb,d-cycloserine,1,beril_Keio,1,-5.18317758002952,-5.18317758002952,14295,beril_Keio,D-Cycloserine,penicillin-binding protein 1b (NCBI),5.18317758002952
pola,d-cycloserine,1,beril_Keio,1,-5.09447837720569,-5.09447837720569,17904,beril_Keio,D-Cycloserine,DNA polymerase I (NCBI),5.09447837720569
prc,nalidixic acid,1,beril_Keio,1,-5.08175084751123,-5.08175084751123,15948,beril_Keio,Nalidixic acid sodium salt,carboxy-terminal protease for penicillin-binding protein 3 (NCBI),5.08175084751123
dgka,carbenicillin disodium,1,beril_MR1,1,-4.98411717422836,-4.98411717422836,201355,beril_MR1,Carbenicillin disodium salt,diacylglycerol kinase (NCBI ptt file),4.98411717422836
yfgl,nalidixic acid,1,beril_Keio,1,-4.94024662029695,-4.94024662029695,16611,beril_Keio,Nalidixic acid sodium salt,"protein assembly complex, lipoprotein component (NCBI)",4.94024662029695
lpxm,bacitracin,1,beril_Keio,1,-4.93126126691831,-4.93126126691831,15973,beril_Keio,Bacitracin,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase (NCBI),4.93126126691831
acra,fusidic acid,1,beril_Keio,1,-4.92670895457845,-4.92670895457845,14600,beril_Keio,Fusidic acid sodium salt,multidrug efflux system (NCBI),4.92670895457845
mara,benzalkonium,1,beril_Keio,1,-4.89561451019935,-4.89561451019935,15652,beril_Keio,Benzalkonium Chloride,multiple antibiotic resistance; transcriptional activator of defense systems (VIMSS),4.89561451019935
lpp,nalidixic acid,1,beril_Keio,1,-4.89065276223899,-4.89065276223899,15796,beril_Keio,Nalidixic acid sodium salt,murein lipoprotein (NCBI),4.89065276223899
sapf,gentamicin,1,beril_MR1,1,-4.79608623923855,-4.79608623923855,200963,beril_MR1,Gentamicin sulfate salt,"peptide ABC transporter, ATP-binding protein (NCBI ptt file)",4.79608623923855
dsbc,bacitracin,1,beril_Keio,1,-4.79427640967193,-4.79427640967193,16973,beril_Keio,Bacitracin,protein disulfide isomerase II (NCBI),4.79427640967193
