gene_n,cond_n,n_orgs,organisms,n_entries,median_fit,worst_fit,example_locus,example_org,example_condition,description,score
zntr,zinc heptahydrate,2,"beril_PV4,beril_SB2B",2,-5.3463122957951,-7.55833680224076,5210985,beril_PV4,Zinc sulfate heptahydrate,zinc-responsive transcriptional regulator (RefSeq),10.6926245915902
hflk,paraquat dichloride,1,beril_MR1,1,-6.81780967534506,-6.81780967534506,199793,beril_MR1,Paraquat dichloride,hflK protein (NCBI ptt file),6.81780967534506
galu,paraquat dichloride,1,beril_MR1,1,-6.49761934380029,-6.49761934380029,200830,beril_MR1,Paraquat dichloride,UTP-glucose-1-phosphate uridylyltransferase (NCBI ptt file),6.49761934380029
fabf-1,paraquat dichloride,1,beril_MR1,1,-6.38613719435186,-6.38613719435186,201909,beril_MR1,Paraquat dichloride,3-oxoacyl-(acyl-carrier-protein) synthase II (NCBI ptt file),6.38613719435186
clpp,zinc heptahydrate,1,beril_PV4,1,-6.11890914393859,-6.11890914393859,5210061,beril_PV4,Zinc sulfate heptahydrate,ATP-dependent Clp protease proteolytic subunit (RefSeq),6.11890914393859
pyka,paraquat dichloride,1,beril_MR1,1,-5.78435588788444,-5.78435588788444,201632,beril_MR1,Paraquat dichloride,pyruvate kinase II (NCBI ptt file),5.78435588788444
grea,nickel (ii),1,beril_MR1,1,-5.57207377151663,-5.57207377151663,200371,beril_MR1,Nickel (II) chloride hexahydrate,transcription elongation factor GreA (NCBI ptt file),5.57207377151663
lepb,paraquat dichloride,1,beril_MR1,1,-5.37806781895868,-5.37806781895868,200522,beril_MR1,Paraquat dichloride,signal peptidase I (NCBI ptt file),5.37806781895868
yajc,paraquat dichloride,1,beril_MR1,1,-5.02177439702804,-5.02177439702804,202228,beril_MR1,Paraquat dichloride,"preprotein translocase, YajC subunit (NCBI ptt file)",5.02177439702804
sapc,paraquat dichloride,1,beril_MR1,1,-4.82713870594626,-4.82713870594626,200965,beril_MR1,Paraquat dichloride,"peptide ABC transporter, permease protein (NCBI ptt file)",4.82713870594626
