locusId,expName,fit,t,expGroup,condition_1,media,gene,desc,organism
Echvi_4104,set1IT048,-4.38755801248968,-2.92906998445019,marine broth,,marine_broth_2216,,hypothetical protein,beril_Cola
Echvi_0641,set1IT079,-4.12000220531352,-1.50308242420627,marine broth,,marine_broth_2216,,Transposase and inactivated derivatives,beril_Cola
Echvi_3764,set1IT079,-3.88361247108675,-2.48263427775004,marine broth,,marine_broth_2216,,Predicted transcriptional regulators,beril_Cola
Echvi_2401,set1IT048,-3.8718001828178,-2.6576379672442,marine broth,,marine_broth_2216,,hypothetical protein,beril_Cola
Echvi_2186,set1IT048,-3.19637332446931,-4.3545417300886,marine broth,,marine_broth_2216,,"rRNA methylase, putative, group 3",beril_Cola
Echvi_4549,set1IT035,-3.05152168609286,-2.92546878437396,marine broth,,marine_broth_2216,,"Histidine kinase./Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",beril_Cola
Echvi_1227,set1IT035,-3.00332968665142,-1.88946420303229,marine broth,,marine_broth_2216,,hypothetical protein,beril_Cola
DDA3937_RS13495,set11TCH514,-5.75691644709707,-3.96812003490948,plant,,,,flagellar export chaperone FlgN,beril_Dda3937
DDA3937_RS13480,set11TCH530,-5.60529746343988,-11.2056816526126,plant,,,,flagellar basal body rod protein FlgB,beril_Dda3937
DDA3937_RS13360,set11TCH534,-5.55383699002745,-2.12272153571836,plant,,,,flagellar hook-basal body complex protein FliE,beril_Dda3937
DDA3937_RS13420,set11TCH530,-5.2538667953508,-8.75034517589875,plant,,,,flagellar biosynthesis protein FliQ,beril_Dda3937
DDA3937_RS13565,set11TCH530,-4.93870228866521,-15.2429976388611,plant,,,,flagellar transcriptional regulator FlhD,beril_Dda3937
DDA3937_RS10980,set11TCH529,-4.80400380384947,-9.16954303862001,plant,,,,tetratricopeptide repeat-containing protein,beril_Dda3937
DDA3937_RS15705,set11TCH530,-4.75613984474959,-11.4430386872748,plant,,,,cyclic-guanylate-specific phosphodiesterase,beril_Dda3937
DDA3937_RS13455,set11TCH530,-4.71335113994412,-10.0284671873266,plant,,,,flagellar basal-body rod protein FlgG,beril_Dda3937
DDA3937_RS13505,set11TCH530,-4.68979465727533,-18.303961200513,plant,,,,flagellar biosynthesis protein FlhA,beril_Dda3937
DDA3937_RS13385,set11TCH518,-4.62140929864816,-6.31317023863416,plant,,,,flagella biosynthesis chaperone FliJ,beril_Dda3937
DDA3937_RS09770,set11TCH529,-4.55669942678882,-1.57629393434566,plant,,,,fumarylacetoacetate hydrolase family protein,beril_Dda3937
DDA3937_RS18670,set11TCH513,-4.51188901298789,-5.26482586168464,plant,,,,ABC transporter permease,beril_Dda3937
DDA3937_RS13515,set11TCH530,-4.45478939346928,-12.1032627896511,plant,,,,protein phosphatase CheZ,beril_Dda3937
DDA3937_RS18685,set11TCH530,-4.44525216838011,-16.1518874961582,plant,,,,WbeA,beril_Dda3937
DDA3937_RS01495,set11TCH530,-4.39651222260158,-9.75699262783671,plant,,,,ribosome-associated protein,beril_Dda3937
DDA3937_RS13470,set11TCH530,-4.39596366785436,-15.4928842178557,plant,,,,flagellar hook assembly protein FlgD,beril_Dda3937
DDA3937_RS13340,set11TCH530,-4.37530600579056,-9.23956000841082,plant,,,,flagellin FliC,beril_Dda3937
DDA3937_RS10840,set11TCH518,-4.33775328500653,-16.7366826420121,plant,,,,hypothetical protein,beril_Dda3937
DDA3937_RS13510,set11TCH534,-4.33135038516145,-14.3714974736437,plant,,,,flagellar type III secretion system protein FlhB,beril_Dda3937
DDA3937_RS00640,setATCH154,-4.2720562572442,-3.07143136898497,plant,cv.Norland,Potato tuber,,cell division ATP-binding protein FtsE,beril_Dda3937
DDA3937_RS13365,set11TCH530,-4.23827012401398,-18.9752531434394,plant,,,,flagellar M-ring protein FliF,beril_Dda3937
DDA3937_RS13490,set11TCH529,-4.23032172534631,-1.19666237828519,plant,,,,anti-sigma-28 factor FlgM,beril_Dda3937
DDA3937_RS18680,set11TCH518,-4.09086314493453,-3.97201242143521,plant,,,,GDP-L-fucose synthase,beril_Dda3937
DDA3937_RS13375,set11TCH518,-4.08260382633816,-2.80991158501907,plant,,,,flagellar assembly protein FliH,beril_Dda3937
DDA3937_RS10845,set11TCH530,-4.07734958577649,-19.3812336628437,plant,,,,virulence factor SrfB,beril_Dda3937
DDA3937_RS13425,set11TCH530,-4.05888616399444,-13.2353799568046,plant,,,,flagellar type III secretion system protein FliR,beril_Dda3937
DDA3937_RS13485,set11TCH530,-4.01605875777939,-9.60529534740217,plant,,,,flagellar basal body P-ring formation protein FlgA,beril_Dda3937
DDA3937_RS20475,setATCH161,-4.00741382255811,-3.55987838774065,plant,cv.Upstate,Potato tuber,,glycosyltransferase family 4 protein,beril_Dda3937
DDA3937_RS09370,set11TCH513,-4.00738210003335,-1.92172070524023,plant,,,,GTP cyclohydrolase I FolE,beril_Dda3937
DDA3937_RS02855,set11TCH529,-3.99278897734645,-1.15405804260154,plant,,,,hypothetical protein,beril_Dda3937
DDA3937_RS07750,set11TCH518,-3.97216608189003,-2.73390119783768,plant,,,,iron-siderophore ABC transporter substrate-binding protein,beril_Dda3937
DDA3937_RS13405,set11TCH530,-3.95577526932463,-10.077817339876,plant,,,,flagellar motor switch protein FliN,beril_Dda3937
DDA3937_RS13555,set11TCH530,-3.94583794761721,-14.8148713856371,plant,,,,flagellar motor stator protein MotA,beril_Dda3937
DDA3937_RS11365,set11TCH516,-3.93095571751009,-2.27290250656895,plant,,,,oligogalacturonate-specific porin KdgM,beril_Dda3937
DDA3937_RS18665,set11TCH530,-3.92618052344171,-18.2228938181202,plant,,,,"GDP-mannose 4,6-dehydratase",beril_Dda3937
DDA3937_RS13415,set11TCH530,-3.91276737040568,-12.0728143983912,plant,,,,flagellar type III secretion system pore protein FliP,beril_Dda3937
DDA3937_RS13395,set11TCH530,-3.91148236624711,-10.5402552777365,plant,,,,flagellar basal body-associated protein FliL,beril_Dda3937
DDA3937_RS15545,set11TCH534,-3.89922914689303,-1.63302589565396,plant,,,,cysteine desulfurase,beril_Dda3937
DDA3937_RS20455,set11TCH513,-3.88913737436986,-2.67811648651832,plant,,,,putative lipopolysaccharide heptosyltransferase III,beril_Dda3937
DDA3937_RS13380,set11TCH534,-3.84335197191005,-17.7809349873968,plant,,,,flagellum-specific ATP synthase FliI,beril_Dda3937
DDA3937_RS13465,set11TCH530,-3.82654515337669,-20.1345280333767,plant,,,,flagellar hook protein FlgE,beril_Dda3937
DDA3937_RS06755,setATCH152,-3.82043117212175,-8.07020104870848,plant,cv.Atlantic,Potato tuber,,glycosyltransferase family 2 protein,beril_Dda3937
DDA3937_RS13400,set11TCH530,-3.80946869010809,-12.2848651973,plant,,,,flagellar motor switch protein FliM,beril_Dda3937
DDA3937_RS00580,set11TCH530,-3.79528889507936,-13.4935546874374,plant,,,,2-dehydro-3-deoxygluconokinase,beril_Dda3937
DDA3937_RS13410,set11TCH515,-3.79308551408572,-10.0296580683729,plant,,,,flagellar biosynthetic protein FliO,beril_Dda3937
DDA3937_RS06770,setATCH149,-3.79291040632939,-2.59358454154444,plant,cv.Atlantic,Potato tuber,,oligosaccharide flippase family protein,beril_Dda3937
DDA3937_RS06270,set11TCH516,-3.79058061262112,-1.97730443376442,plant,,,,tRNA-Met,beril_Dda3937
DDA3937_RS15910,set11TCH513,-3.76426099200171,-1.78736228844747,plant,,,,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC,beril_Dda3937
DDA3937_RS13530,set11TCH518,-3.7447115034058,-9.32188808023686,plant,,,,protein-glutamate O-methyltransferase CheR,beril_Dda3937
DDA3937_RS21965,set11TCH518,-3.74278568768234,-1.25688053488534,plant,,,,helix-turn-helix domain-containing protein,beril_Dda3937
