n,mcc,precision,recall,tp,fp,tn,fn,prevalence,organism,component,bucket_type,bucket_value
253,0.3055794291036105,0.945,0.8325991189427313,189,11,15,38,0.8972332015810277,syn3a,ortholog_prior,kw_replication,0
433,0.058606197144440576,0.8870967741935484,0.1523545706371191,55,7,65,306,0.8337182448036952,syn3a,PPI,kw_replication,0
433,0.533600471545232,0.9888475836431226,0.7368421052631579,266,3,69,95,0.8337182448036952,syn3a,v15_simulator,kw_replication,0
16,,,,14,0,0,2,1.0,syn3a,ortholog_prior,kw_replication,1
22,,,,3,0,0,19,1.0,syn3a,PPI,kw_replication,1
22,,,,21,0,0,1,1.0,syn3a,v15_simulator,kw_replication,1
261,0.3106653062663098,0.9514563106796117,0.8305084745762712,196,10,15,40,0.9042145593869731,syn3a,ortholog_prior,kw_transcription,0
443,0.04988954439691419,0.8870967741935484,0.14745308310991956,55,7,63,318,0.8419864559819413,syn3a,PPI,kw_transcription,0
443,0.5347323392472128,0.9893617021276596,0.7479892761394102,279,3,67,94,0.8419864559819413,syn3a,v15_simulator,kw_transcription,0
12,0.25819888974716115,1.0,0.3,3,0,2,7,0.8333333333333334,syn3a,PPI,kw_transcription,1
12,0.6324555320336759,1.0,0.8,8,0,2,2,0.8333333333333334,syn3a,v15_simulator,kw_transcription,1
180,0.23108952131999694,0.9153846153846154,0.7628205128205128,119,11,13,37,0.8666666666666667,syn3a,ortholog_prior,kw_translation,0
356,-0.029988856934611927,0.7619047619047619,0.05555555555555555,16,5,63,272,0.8089887640449438,syn3a,PPI,kw_translation,0
356,0.5030434666119425,0.9896907216494846,0.6666666666666666,192,2,66,96,0.8089887640449438,syn3a,v15_simulator,kw_translation,0
89,0.6214554662658653,1.0,0.9655172413793104,84,0,2,3,0.9775280898876404,syn3a,ortholog_prior,kw_translation,1
99,-0.02294157338705618,0.9545454545454546,0.4421052631578947,42,2,2,53,0.9595959595959596,syn3a,PPI,kw_translation,1
99,0.8615030470056388,0.9895833333333334,1.0,95,1,3,0,0.9595959595959596,syn3a,v15_simulator,kw_translation,1
264,0.2999790192144046,0.9473684210526315,0.8319327731092437,198,11,15,40,0.9015151515151515,syn3a,ortholog_prior,kw_atp,0
447,0.059902032159517296,0.8923076923076924,0.15466666666666667,58,7,65,317,0.8389261744966443,syn3a,PPI,kw_atp,0
447,0.5350059804313934,0.9893617021276596,0.744,279,3,69,96,0.8389261744966443,syn3a,v15_simulator,kw_atp,0
252,0.346289313758991,0.9466019417475728,0.8628318584070797,195,11,15,31,0.8968253968253969,syn3a,ortholog_prior,kw_membrane,0
411,0.06701253524529086,0.8888888888888888,0.16422287390029325,56,7,63,285,0.829683698296837,syn3a,PPI,kw_membrane,0
411,0.5392548017965505,0.9882352941176471,0.7390029325513197,252,3,67,89,0.829683698296837,syn3a,v15_simulator,kw_membrane,0
17,,,,8,0,0,9,1.0,syn3a,ortholog_prior,kw_membrane,1
44,0.047619047619047616,1.0,0.047619047619047616,2,0,2,40,0.9545454545454546,syn3a,PPI,kw_membrane,1
44,0.4303314829119352,1.0,0.8333333333333334,35,0,2,7,0.9545454545454546,syn3a,v15_simulator,kw_membrane,1
252,0.2739814724290972,0.945273631840796,0.8333333333333334,190,11,13,38,0.9047619047619048,syn3a,ortholog_prior,kw_synthase,0
