feature,ess_mean,non_mean,cohen_d,p_mannwhitney,auc,n_ess,n_non
aa_R,0.033887747488591524,0.02071199059542914,0.5889921022116246,7.71498877162732e-20,0.681167275216796,672,313
aa_V,0.05940514241360221,0.044521539661536304,0.5542297756467124,3.5819636244882067e-10,0.6223090673969268,672,313
aa_K,0.09664735491338627,0.07290940252126375,0.5497669802135403,5.0077561781933685e-09,0.6143313555454131,672,313
aa_P,0.026816300773774653,0.019095496306194507,0.513065449009997,4.471187044020058e-12,0.6352930549216491,672,313
aa_T,0.05000052780318241,0.0386487510770391,0.5017310119146636,1.5199263220449426e-09,0.6217765860337745,672,313
aa_G,0.04590609666586543,0.033425478686051786,0.49370675992220214,2.684005195596513e-12,0.6385069602921041,672,313
aa_A,0.05327488694716158,0.04026482110425362,0.46997481135699704,2.51077983027157e-10,0.6290411532024951,672,313
aa_Q,0.04143940614897871,0.03134638010083789,0.46062049027154367,5.3440131940098655e-09,0.6151966377605356,672,313
aa_E,0.05407652271842579,0.0412345041448652,0.43859427316508326,7.795269234526546e-09,0.6176498554693444,672,313
aa_I,0.08331953773260821,0.06754351460716292,0.4110068262301164,0.00033916255124031956,0.5761828693138598,672,313
aa_M,0.017829909536684955,0.013299458362509434,0.40162935414529277,7.668263416815116e-11,0.6281283280085197,672,313
aa_L,0.09449307875700644,0.07857300402410565,0.3847629308352879,0.0062018339154079945,0.5540421040620721,672,313
aa_D,0.04669882551632749,0.037818144221041496,0.3612725298147929,8.253843937163087e-06,0.590336414118363,672,313
aa_S,0.05658008581134453,0.04669933404321617,0.36050841996337407,0.00010010982017704528,0.5771384831888027,672,313
aa_H,0.015605775102216116,0.011778036804785386,0.33902434523858493,5.818320237816434e-09,0.6172742659364066,672,313
aa_F,0.04961147201113606,0.040638733560661104,0.31237414925430407,1.0811137667247196e-05,0.5815362087326943,672,313
aa_N,0.06520877228931157,0.05577210744012151,0.29436257013076217,0.024783485673920212,0.5459170089761144,672,313
operon_prev,0.6309523809523809,0.5159235668789809,0.2354321948970493,0.20959273415138768,0.5292453366696998,672,314
aa_Y,0.03024049957122798,0.026580839556473067,0.2143180006253147,0.024126781643623463,0.547295755362848,672,313
same_strand_next,0.8748137108792846,0.7987220447284346,0.21430178037654948,1.2666033370879044e-20,0.6047099603376773,671,313
aromaticity,0.09382225547854584,0.10090590478938315,-0.21020160293195314,0.0024276353955508465,0.4324982746721877,630,230
gravy,-0.23509931412857474,-0.17328408268240672,-0.16316960020176596,0.0892729170789669,0.4621877156659765,630,230
aa_W,0.008106392928772636,0.00692853583353081,0.14363204162994844,0.0004545944176258987,0.5627044348090674,672,313
length_nt,1129.4955357142858,1016.1019108280254,0.14262829753013265,0.10761977536318862,0.531742872308159,672,314
length_aa,375.4985119047619,337.70063694267515,0.14262829753013262,0.10761977536318862,0.531742872308159,672,314
intergenic_prev,89.13303437967114,146.21656050955414,-0.13892098699373084,0.0011843712258712657,0.43764340731008344,669,314
aa_C,0.008351664870395622,0.00703420849908094,0.12701727486850978,0.006709356057968615,0.5635411912368782,672,313
same_strand_prev,0.8639760837070254,0.8248407643312102,0.1100812731448077,1.8231564864079468e-28,0.6002446850037607,669,314
pI,8.573705503675672,8.401836461606234,0.0897808090958808,0.05913488554742925,0.5419944789510007,630,230
intergenic_next,92.7973174366617,129.31309904153355,-0.08964429851257386,6.132771891560504e-06,0.410688353180366,671,313
rel_position,0.5046075073882562,0.5233388361205029,-0.06522588772522167,0.3166119591524872,0.480228237791932,672,314
strand,0.02976190476190476,0.025477707006369428,0.004281585783602922,0.007005073982068375,0.47553173339399457,672,314
