feature,ess_mean,non_mean,cohen_d,p_mannwhitney,auc,n_ess,n_non
ff_mean,0.6491092575802826,0.11005160589964731,2.4888912590193035,0.0,0.9373517006248344,7633,19129
family_n_organisms,33.813834665269226,21.995765591510274,0.7159583792891387,0.0,0.7004088721491599,7633,19129
aromaticity,0.06658704595735242,0.07782406619851716,-0.38656214327543137,1.8684096118735995e-224,0.3844591452798918,8747,23650
n_paralogs_in_genome,4.6060526660552865,1.6057295206231377,0.36443262440560203,1.9462507977354646e-189,0.5803962967148575,7633,19129
aa_Y,0.022130843125993765,0.027387990593564636,-0.35510744685364415,2.9022190731490038e-161,0.40232199937592616,8747,23650
aa_W,0.010755104959679799,0.01373661999720486,-0.27898713195699676,8.78991680370081e-146,0.4089265809286228,8747,23650
aa_E,0.06082702707748695,0.05397365741410081,0.2681652034351622,1.4442959723918499e-120,0.5843549525044044,8747,23650
aa_S,0.0508201365787654,0.0555881971928218,-0.24189392153085348,3.453450149182643e-80,0.43150060268322743,8747,23650
aa_K,0.04654316608315217,0.03923152981455674,0.22621045735803577,4.411717600612742e-103,0.5778854290362555,8747,23650
aa_V,0.0794274720718179,0.07460872857760241,0.21200550198318827,1.1382050297052182e-69,0.5637378348505353,8747,23650
aa_F,0.03370109787167896,0.03669945560774783,-0.16707616081723395,2.0646921762354762e-42,0.450709193922362,8747,23650
length_aa,298.99874328801553,337.54672916930616,-0.16125881510647422,2.8198732603770242e-42,0.4508125783635689,8753,23679
length_nt,899.997372329487,1015.6407365175894,-0.16125800876852847,2.823901677601809e-42,0.4508129016254655,8753,23679
aa_L,0.09999052513257228,0.10458771001972088,-0.1499100965530289,2.9294809600180625e-29,0.459436660977814,8747,23650
same_strand_prev,0.757548032936871,0.6953032606859266,0.1377222283592124,2.696323159749522e-54,0.5265513275668614,8744,23676
same_strand_next,0.7561728395061729,0.6954171066525872,0.13437649967402185,4.250689237761988e-53,0.5226230162006558,8748,23675
aa_G,0.07983590010077739,0.0770938764861825,0.10755274383977181,9.801931711947069e-18,0.5309835350374432,8747,23650
aa_P,0.04746780218225812,0.04967119462724076,-0.10564536798526428,1.8816979593971495e-24,0.4631367855267079,8747,23650
gravy,-0.07246145088457559,-0.03017031583067377,-0.10506175471288162,0.0075813651720372565,0.4903536893712396,8747,23650
aa_N,0.02947865045169217,0.03152498362925188,-0.10327682097228966,0.001801384370655375,0.4887143378182698,8747,23650
aa_T,0.051547495883222764,0.053426487349346935,-0.10202645279604747,5.38326726870897e-13,0.4739443665493527,8747,23650
aa_R,0.06681499596036701,0.06397187155647116,0.10128317906451201,1.5766663748945215e-12,0.5255357282267239,8747,23650
operon_prev,0.41300125671198445,0.3660205245153934,0.09694151752376104,2.997098594074844e-63,0.5449968522252193,8753,23679
aa_M,0.02671018855470893,0.025564582998019614,0.09269743138266845,8.102700231559733e-16,0.5290857028359588,8747,23650
aa_D,0.05535037611300738,0.05370030371523516,0.08265949009258225,1.799971926068388e-09,0.5217169474716913,8747,23650
intergenic_prev,111.91205397987191,129.2194205102213,-0.07074067441039239,4.1493253043149557e-07,0.48125097670333583,8744,23676
pI,7.084760954819694,7.224829523638993,-0.06734870957496739,4.571434670662387e-10,0.47748170982693916,8747,23650
aa_Q,0.03567069005460919,0.03693445204338761,-0.0670900395488705,1.220451455664871e-07,0.48087013584361515,8747,23650
aa_C,0.010132983652730812,0.010812654436302457,-0.05888936862790844,2.6238107186559824e-18,0.4697213735135043,8747,23650
aa_H,0.022166760696200775,0.02288847168686593,-0.05376386722667375,0.0001280163509046454,0.48600186932106715,8747,23650
aa_A,0.11609640329072486,0.11380605385670842,0.05332838522232818,0.13574455449569028,0.5053966627277344,8747,23650
intergenic_next,116.34956561499772,128.29427666314677,-0.047281412308670855,3.275818425094866e-08,0.479962227601035,8748,23675
rel_position,0.5098411541779021,0.5016211037016943,0.02828871822200489,0.021273505862600166,0.5083167686941523,8753,23679
aa_I,0.054532380158556944,0.05479117839765404,-0.009554170580881023,7.254047286319617e-12,0.524758159306084,8747,23650
strand,0.003998629041471496,0.008910849275729549,-0.004912221759668526,0.13210008595155867,0.5001970522500314,8753,23679
