feature,ess_mean,non_mean,cohen_d,p_mannwhitney,auc
first_in_operon,0.46033379058070417,0.525951264833819,-0.13147204493187478,5.879071058380911e-27,0.46191751577207985
up_gc,0.5832164423297381,0.5667451948963305,0.11897998775746363,2.0040561497815025e-10,0.5229784810647471
up_at_run,6.961133973479653,7.48642256852063,-0.10993733015865452,0.0009937475243754815,0.4850236810265205
down_gc,0.5950693784952958,0.581519408104895,0.097482361669764,2.692818703386873e-05,0.5151445739949696
intergenic_prev,111.93456874857011,129.2194205102213,-0.07064683393044816,6.146429061612881e-07,0.4809918649731414
sd_score,0.6480528882792259,0.6588608753184984,-0.06671779325358052,0.22512529798203082,0.48741262426410337
minus35_score,0.637078951379377,0.6415811478524348,-0.041820081733783994,1.6959299498086543e-40,0.4700425393185139
polyT_run,2.594650205761317,2.5813167785801765,0.009114391853419486,2.484842725996814e-07,0.5078702779225563
sd_spacing,7.908550525834476,7.899066683559272,0.0028269374125700704,0.9042782575314735,0.5022001952150248
has_hairpin,0.7769775948788294,0.7775666202120022,-0.0014159280636105492,1.7885147886450667e-84,0.49013807754466643
minus10_score,0.5913542142966032,0.5911426439742534,0.001391672576308057,4.249539610365864e-84,0.501182627195206
