tax_id	scientific_name	clade	human_genes_with_ortholog
9598	Pan troglodytes	primate	17869
9597	Pan paniscus	primate	17758
9595	Gorilla gorilla gorilla	primate	17736
9601	Pongo abelii	primate	17625
9544	Macaca mulatta	primate	17580
9600	Pongo pygmaeus	primate	17562
9541	Macaca fascicularis	primate	17496
60711	Chlorocebus sabaeus	primate	17451
9590	Symphalangus syndactylus	primate	17395
257877	Macaca thibetana thibetana	primate	17369
9483	Callithrix jacchus	primate	17280
61622	Rhinopithecus roxellana	primate	17274
61853	Nomascus leucogenys	primate	17266
9531	Cercocebus atys	primate	17235
9545	Macaca nemestrina	primate	17203
27679	Saimiri boliviensis	primate	17189
54180	Trachypithecus francoisi	primate	17100
81572	Hylobates moloch	primate	17096
37293	Aotus nancymaae	primate	17093
9565	Theropithecus gelada	primate	17041
9515	Sapajus apella	primate	17012
2715852	Cebus imitator	primate	16979
591936	Piliocolobus tephrosceles	primate	16968
336983	Colobus angolensis palliatus	primate	16961
9568	Mandrillus leucophaeus	primate	16914
9555	Papio anubis	primate	16908
10116	Rattus norvegicus	rodent	16891
9796	Equus caballus	other_mammal	16859
10090	Mus musculus	rodent	16853
9711	Halichoerus grypus	other_mammal	16733
61621	Rhinopithecus bieti	primate	16721
9470	Nycticebus coucang	primate	16712
9823	Sus scrofa	other_mammal	16704
68724	Canis aureus	other_mammal	16704
9690	Panthera onca	other_mammal	16699
9708	Odobenus rosmarus divergens	other_mammal	16688
61452	Neofelis nebulosa	other_mammal	16683
32536	Acinonyx jubatus	other_mammal	16682
9685	Felis catus	other_mammal	16679
9691	Panthera pardus	other_mammal	16667
34884	Callorhinus ursinus	other_mammal	16663
46844	Leopardus geoffroyi	other_mammal	16660
9837	Camelus bactrianus	other_mammal	16651
286419	Canis lupus dingo	other_mammal	16651
9662	Meles meles	other_mammal	16649
9793	Equus asinus	other_mammal	16649
9666	Mustela lutreola	other_mammal	16648
9913	Bos taurus	other_mammal	16639
9798	Equus przewalskii	other_mammal	16634
9704	Zalophus californianus	other_mammal	16627
43179	Ictidomys tridecemlineatus	rodent	16627
9694	Panthera tigris	other_mammal	16615
30608	Microcebus murinus	primate	16613
61388	Prionailurus viverrinus	other_mammal	16613
9669	Mustela putorius furo	other_mammal	16609
37029	Prionailurus bengalensis	other_mammal	16608
77932	Diceros bicornis minor	other_mammal	16601
9447	Lemur catta	primate	16599
30640	Sciurus carolinensis	rodent	16598
9643	Ursus americanus	other_mammal	16595
61384	Lynx rufus	other_mammal	16594
9995	Marmota monax	rodent	16591
9615	Canis lupus familiaris	other_mammal	16577
30538	Vicugna pacos	other_mammal	16571
575201	Hippopotamus amphibius kiboko	other_mammal	16564
9657	Lutra lutra	other_mammal	16562
143281	Canis lupus baileyi	other_mammal	16560
41426	Phacochoerus africanus	other_mammal	16556
9940	Ovis aries	other_mammal	16552
439328	Giraffa tippelskirchi	other_mammal	16547
9906	Bos javanicus	other_mammal	16541
452646	Neogale vison	other_mammal	16540
110931	Cynocephalus volans	other_mammal	16537
379532	Propithecus coquereli	primate	16537
36239	Mustela nivalis	other_mammal	16535
9716	Mirounga angustirostris	other_mammal	16533
859984	Eulemur rufifrons	primate	16531
9915	Bos indicus	other_mammal	16529
9986	Oryctolagus cuniculus	other_mammal	16522
93162	Marmota flaviventris	rodent	16522
59479	Rhinolophus ferrumequinum	other_mammal	16518
9860	Cervus elaphus	other_mammal	16516
29065	Martes martes	other_mammal	16515
72004	Bos mutus	other_mammal	16515
51338	Castor canadensis	rodent	16514
37174	Ovis canadensis	other_mammal	16512
36723	Mustela erminea	other_mammal	16511
34880	Nyctereutes procyonoides	other_mammal	16509
30532	Dama dama	other_mammal	16508
77151	Mustela nigripes	other_mammal	16508
494514	Vulpes lagopus	other_mammal	16507
1608482	Herpailurus yagouaroundi	other_mammal	16493
95912	Hyaena hyaena	other_mammal	16493
9886	Muntiacus reevesi	other_mammal	16488
29088	Neomonachus schauinslandi	other_mammal	16482
30521	Bos grunniens	other_mammal	16481
419612	Camelus ferus	other_mammal	16474
9764	Eschrichtius robustus	other_mammal	16467
9767	Balaenoptera acutorostrata	other_mammal	16467
9646	Ailuropoda melanoleuca	other_mammal	16465
55149	Sciurus vulgaris	rodent	16465
9720	Phoca vitulina	other_mammal	16464
9627	Vulpes vulpes	other_mammal	16462
30611	Otolemur garnettii	primate	16456
34865	Capricornis sumatraensis	other_mammal	16456
3119969	Bubalus kerabau	other_mammal	16454
99487	Elephas maximus indicus	other_mammal	16449
9838	Camelus dromedarius	other_mammal	16444
230844	Peromyscus maniculatus bairdii	rodent	16443
27606	Eubalaena glacialis	other_mammal	16440
29073	Ursus maritimus	other_mammal	16438
9785	Loxodonta africana	other_mammal	16434
48850	Tamandua tetradactyla	other_mammal	16433
76717	Lontra canadensis	other_mammal	16410
76772	Callospermophilus lateralis	rodent	16401
9644	Ursus arctos	other_mammal	16398
89462	Bubalus bubalis	other_mammal	16398
77218	Rhinolophus hipposideros	other_mammal	16390
1884717	Pteronotus mesoamericanus	other_mammal	16384
61383	Lynx canadensis	other_mammal	16381
9423	Phyllostomus hastatus	other_mammal	16380
2746895	Balaenoptera ricei	other_mammal	16380
9997	Spermophilus citellus	rodent	16378
9770	Balaenoptera physalus	other_mammal	16372
10089	Mus caroli	rodent	16369
9771	Balaenoptera musculus	other_mammal	16368
9768	Balaenoptera borealis	other_mammal	16366
9713	Leptonychotes weddellii	other_mammal	16364
29078	Eptesicus fuscus	other_mammal	16362
30522	Bos indicus x Bos taurus	other_mammal	16360
9407	Rousettus aegyptiacus	other_mammal	16356
9417	Artibeus jamaicensis	other_mammal	16355
10058	Microtus pennsylvanicus	rodent	16355
61156	Arvicanthis niloticus	rodent	16354
