organism,locus_tag,true_essential,meta_proba,meta_pred,best_threshold
syn3a,JCVISYN3A_0001,1,0.9864653047154045,1,0.95
syn3a,JCVISYN3A_0002,1,0.86175557805196,0,0.95
syn3a,JCVISYN3A_0003,1,0.9457134091973785,0,0.95
syn3a,JCVISYN3A_0004,0,0.9365009382566395,0,0.95
syn3a,JCVISYN3A_0005,0,0.7327084814188827,0,0.95
syn3a,JCVISYN3A_0006,1,0.9987398723002415,1,0.95
syn3a,JCVISYN3A_0007,1,0.9987980510602613,1,0.95
syn3a,JCVISYN3A_0008,1,0.879013296449606,0,0.95
syn3a,JCVISYN3A_0009,1,0.7625297032843393,0,0.95
syn3a,JCVISYN3A_0010,1,0.974618009132111,1,0.95
syn3a,JCVISYN3A_0011,1,0.696669412458192,0,0.95
syn3a,JCVISYN3A_0012,1,0.9904793741177185,1,0.95
syn3a,JCVISYN3A_0025,1,0.9845801144010111,1,0.95
syn3a,JCVISYN3A_0026,1,0.7128473604161985,0,0.95
syn3a,JCVISYN3A_0027,1,0.9499039260755422,0,0.95
syn3a,JCVISYN3A_0029,1,0.8636838033062422,0,0.95
syn3a,JCVISYN3A_0030,1,0.9810044746637981,1,0.95
syn3a,JCVISYN3A_0033,1,0.7371066173365503,0,0.95
syn3a,JCVISYN3A_0034,0,0.7276869288308456,0,0.95
syn3a,JCVISYN3A_0039,1,0.9785609853257963,1,0.95
syn3a,JCVISYN3A_0040,1,0.9241314653719291,0,0.95
syn3a,JCVISYN3A_0042,1,0.673608329031008,0,0.95
syn3a,JCVISYN3A_0043,0,0.7767598734766425,0,0.95
syn3a,JCVISYN3A_0044,1,0.8923282376357184,0,0.95
syn3a,JCVISYN3A_0045,1,0.995875820336095,1,0.95
syn3a,JCVISYN3A_0046,1,0.8041576866635443,0,0.95
syn3a,JCVISYN3A_0047,1,0.8821759963688534,0,0.95
syn3a,JCVISYN3A_0054,0,0.6299850807670465,0,0.95
syn3a,JCVISYN3A_0060,1,0.7163110496315798,0,0.95
syn3a,JCVISYN3A_0061,1,0.9983773948865808,1,0.95
syn3a,JCVISYN3A_0063,0,0.9239404520025433,0,0.95
syn3a,JCVISYN3A_0064,1,0.994549298115135,1,0.95
syn3a,JCVISYN3A_0065,1,0.9809653677078385,1,0.95
syn3a,JCVISYN3A_0066,1,0.6999432379433755,0,0.95
syn3a,JCVISYN3A_0076,1,0.9846992721622028,1,0.95
syn3a,JCVISYN3A_0077,1,0.7406687325849578,0,0.95
syn3a,JCVISYN3A_0079,1,0.996034865813641,1,0.95
syn3a,JCVISYN3A_0080,0,0.6385084036185505,0,0.95
syn3a,JCVISYN3A_0081,1,0.9826723210812403,1,0.95
