pattern_a,pattern_b,modality,weight,count
40,100,know,0.6319421183091043,9433
10,40,know,0.5656863401889194,8444
10,100,know,0.5506799758826288,8220
10,28,know,0.46874790647819387,6997
28,40,know,0.38681583707375894,5774
28,100,know,0.3662490788504053,5467
10,40,static,0.8987740336303343,13416
10,28,static,0.8749246332149796,13060
28,40,static,0.8046492932270383,12011
28,91,static,0.7611040396596771,11361
10,91,static,0.748911368660816,11179
40,91,static,0.6795069337442219,10143
28,119,static,0.4290212366852013,6404
91,119,static,0.4186373685268306,6249
10,119,static,0.418168419642259,6242
40,119,static,0.3655791518724459,5457
10,96,static,0.352046626917666,5255
40,96,static,0.3289341461780666,4910
10,11,traj,1.0,1583
10,28,traj,1.0,1583
10,40,traj,1.0,1583
10,96,traj,1.0,1583
11,28,traj,1.0,1583
11,40,traj,1.0,1583
11,96,traj,1.0,1583
28,40,traj,1.0,1583
28,96,traj,1.0,1583
40,96,traj,1.0,1583
