organism,locus_tag,gene_name,true_essential,predicted_prob,static_top_patterns,traj_top_patterns,know_top_patterns,has_traj_signal
styphimurium,thrL,thrL,0,0.049075085669755936,"p28:0.34,p91:0.34,p119:0.32",,"p41:0.34,p96:0.34,p28:0.33",0
styphimurium,thrA,thrA,0,0.05718447268009186,"p28:0.34,p91:0.33,p119:0.33",,"p41:0.34,p96:0.34,p28:0.33",0
styphimurium,thrB,thrB,0,0.028910210356116295,"p28:0.34,p91:0.33,p119:0.33",,"p100:0.34,p10:0.34,p40:0.33",0
styphimurium,thrC,thrC,0,0.09951154887676239,"p28:0.34,p91:0.33,p119:0.33",,"p96:0.34,p41:0.33,p28:0.33",0
styphimurium,yaaA,yaaA,0,0.044393062591552734,"p28:0.34,p91:0.34,p119:0.32",,"p100:0.34,p96:0.33,p122:0.32",0
styphimurium,yaaJ,yaaJ,0,0.031665921211242676,"p28:0.34,p91:0.34,p119:0.33",,"p100:0.35,p122:0.32,p40:0.32",0
styphimurium,talB,talB,0,0.07584228366613388,"p28:0.34,p119:0.33,p91:0.33",,"p41:0.34,p96:0.34,p28:0.33",0
styphimurium,mog,mog,0,0.03318989276885986,"p28:0.34,p119:0.33,p91:0.33",,"p100:0.35,p122:0.32,p40:0.32",0
styphimurium,yaaH,yaaH,0,0.029302125796675682,"p28:0.34,p119:0.33,p91:0.33",,"p100:0.34,p10:0.34,p40:0.33",0
styphimurium,htgA,htgA,0,0.019394557923078537,"p28:0.34,p91:0.33,p119:0.32",,"p100:0.34,p10:0.34,p40:0.33",0
styphimurium,yaaI,yaaI,0,0.036759983748197556,"p28:0.34,p91:0.33,p119:0.33",,"p41:0.34,p96:0.34,p28:0.33",0
styphimurium,dnaK,dnaK,0,0.2684800922870636,"p28:0.34,p91:0.33,p119:0.33","p96:0.35,p10:0.33,p40:0.32","p41:0.34,p96:0.34,p28:0.33",1
styphimurium,dnaJ,dnaJ,0,0.2758758068084717,"p28:0.34,p91:0.34,p119:0.32","p96:0.35,p10:0.33,p40:0.32","p96:0.35,p11:0.34,p100:0.31",1
styphimurium,bcfA,bcfA,0,0.03037557378411293,"p28:0.34,p100:0.33,p119:0.33",,"p10:0.34,p100:0.34,p40:0.33",0
styphimurium,bcfB,bcfB,0,0.033921267837285995,"p28:0.34,p119:0.33,p91:0.33",,"p100:0.35,p122:0.32,p40:0.32",0
styphimurium,bcfC,bcfC,0,0.02588394656777382,"p28:0.34,p119:0.33,p91:0.33",,"p10:0.34,p100:0.33,p40:0.33",0
styphimurium,bcfD,bcfD,0,0.06127879396080971,"p28:0.34,p119:0.33,p10:0.33",,"p41:0.34,p96:0.34,p28:0.33",0
styphimurium,bcfE,bcfE,0,0.030709387734532356,"p28:0.34,p91:0.33,p119:0.33",,"p100:0.34,p10:0.34,p40:0.33",0
styphimurium,bcfF,bcfF,0,0.028698936104774475,"p28:0.34,p119:0.33,p91:0.33",,"p100:0.34,p10:0.34,p40:0.33",0
styphimurium,bcfG,bcfG,0,0.02453049272298813,"p28:0.34,p91:0.33,p119:0.33",,"p10:0.34,p100:0.33,p40:0.33",0
styphimurium,bcfH,bcfH,0,0.05507299304008484,"p28:0.34,p91:0.33,p119:0.33",,"p41:0.34,p96:0.34,p28:0.33",0
styphimurium,nhaA,nhaA,0,0.027692588046193123,"p28:0.34,p91:0.34,p119:0.32",,"p100:0.34,p10:0.34,p40:0.33",0
