gene,b,product,essential,metabolic,is_TF,tf_class,regulon_size,autoreg
thrl,b0001,b0001,,0,0,,0,
thra,b0002,b0002,0,1,0,,0,
thrb,b0003,b0003,0,1,0,,0,
thrc,b0004,b0004,0,1,0,,0,
yaax,b0005,b0005,0,0,0,,0,
yaaa,,b0006,,0,0,,0,
yaaj,,b0007,,0,0,,0,
talb,,b0008,,0,0,,0,
mog,,b0009,,0,0,,0,
satp,b0010,b0010,0,0,0,,0,
yaaw,,b0011,,0,0,,0,
mbia,b0012,b0012,,0,0,,0,
yaai,,b0013,,0,0,,0,
dnak,b0014,b0014,,0,0,,0,
tpke11,,None,,0,0,,0,
dnaj,b0015,b0015,,0,0,,0,
insl-1,b0016,b0016,,0,0,,0,
phantom gene,,b4250,,0,0,,0,
hokc,b4412,b4412,,0,0,,0,
mokc,b0018,b0018,,0,0,,0,
sokc,b4413,b4413,,0,0,,0,
nhaa,b0019,b0019,0,1,0,,0,
nhar,b0020,b0020,0,0,1,minor,7,pos
insab-1,,None,,0,0,,0,
insb-1,,b0021,,0,0,,0,
insa-1,b0022,b0022,0,0,0,,0,
rpst,b0023,b0023,1,0,0,,0,
yaay,,b0024,,0,0,,0,
ribf,b0025,b0025,1,1,0,,0,
iles,b0026,b0026,1,1,0,,0,
lspa,b0027,b0027,1,0,0,,0,
fkpb,b0028,b0028,0,0,0,,0,
isph,b0029,b0029,1,1,0,,0,
rihc,,b0030,,0,0,,0,
dapb,b0031,b0031,1,1,0,,0,
nc9,,,,0,0,,0,
cara,b0032,b0032,0,1,0,,0,
carb,b0033,b0033,0,1,0,,0,
caif,b0034,b0034,0,0,1,minor,10,
caie,b0035,b0035,1,0,0,,0,
caid,b0036,b0036,0,1,0,,0,
caic,b0037,b0037,0,1,0,,0,
caib,b0038,b0038,0,1,0,,0,
caia,b0039,b0039,,0,0,,0,
cait,b0040,b0040,0,1,0,,0,
fixa,b0041,b0041,0,0,0,,0,
fixb,b0042,b0042,0,0,0,,0,
fixc,b0043,b0043,0,0,0,,0,
fixx,b0044,b0044,1,0,0,,0,
yaau,b0045,b0045,0,0,0,,0,
keff,,b0046,,0,0,,0,
kefc,b0047,b0047,0,1,0,,0,
fola,b0048,b0048,1,1,0,,0,
apah,b0049,b0049,0,1,0,,0,
apag,b0050,b0050,0,0,0,,0,
rsma,b0051,b0051,0,0,0,,0,
pdxa,b0052,b0052,0,1,0,,0,
sura,b0053,b0053,0,0,0,,0,
lptd,b0054,b0054,,0,0,,0,
djla,,b0055,,0,0,,0,
yabp,,b0056,,0,0,,0,
yabq,b0057,b0057,0,0,0,,0,
rlua,b0058,b0058,0,0,0,,0,
rapa,b0059,b0059,0,0,0,,0,
polb,b0060,b0060,0,0,0,,0,
arad,b0061,b0061,0,1,0,,0,
araa,b0062,b0062,1,1,0,,0,
arab,b0063,b0063,1,1,0,,0,
arac,b0064,b0064,0,0,1,specific,14,neg
yabi,b0065,b0065,0,0,0,,0,
thiq,b0066,b0066,0,1,0,,0,
thip,b0067,b0067,,1,0,,0,
thib,b0068,b0068,,1,0,,0,
sroa,b4762,b4762,,0,0,,0,
