tf,n_movers,n_bound,n_experiments,auc_own,auc_other_tfs,auc_single_other_tf,bound_rate_movers,bound_rate_matched,frac_bound_that_move
WDR5,13,2414,4,0.7307692307692308,0.7100591715976332,0.5384615384615384,0.8461538553237915,0.38461539149284363,0.004556752278376139
TAF7,11,2795,3,0.5909090909090908,0.5743801652892562,0.5454545454545454,0.5454545617103577,0.3636363744735718,0.002146690518783542
HINFP,6,619,2,0.5833333333333334,0.5555555555555556,0.5833333333333334,0.1666666716337204,0.0,0.0016155088852988692
CDC73,19,525,4,0.5789473684210525,0.7091412742382271,0.5263157894736842,0.2631579041481018,0.10526315867900848,0.009523809523809525
RBM14,8,290,2,0.5625,0.5078125,0.4375,0.25,0.125,0.006896551724137931
PAF1,43,1747,4,0.5581395348837209,0.6933477555435369,0.5697674418604651,0.44186046719551086,0.3255814015865326,0.010875787063537493
CDC5L,9,291,2,0.5555555555555556,0.7654320987654322,0.5555555555555556,0.1111111119389534,0.0,0.003436426116838488
U2AF1,31,2155,3,0.5483870967741936,0.7091571279916753,0.532258064516129,0.35483869910240173,0.25806450843811035,0.005104408352668214
MAX,24,7072,4,0.5416666666666667,0.5208333333333333,0.53125,0.9583333134651184,0.875,0.003252262443438914
TAF1,24,6649,1,0.5208333333333333,0.5321180555555556,0.4791666666666667,0.9166666865348816,0.875,0.003308768235824936
SMC3,29,1561,1,0.5172413793103448,0.34720570749108204,0.46551724137931033,0.2068965584039688,0.17241379618644714,0.003843689942344651
SUPT5H,101,6454,4,0.5099009900990099,0.4417704146652289,0.4900990099009901,0.9009901285171509,0.8811880946159363,0.014099783080260303
PHB2,40,247,2,0.5,0.503125,0.48750000000000004,0.07500000298023224,0.07500000298023224,0.012145748987854251
CHD4,6,4,2,0.5,0.4722222222222222,0.41666666666666674,0.0,0.0,0.0
SFPQ,16,66,3,0.5,0.3203125,0.4375,0.0,0.0,0.0
MED1,28,1,1,0.5,0.3705357142857143,0.4642857142857143,0.0,0.0,0.0
HNRNPC,8,265,1,0.5,0.6015625,0.5,0.0,0.0,0.0
SNRNP70,8,79,3,0.5,0.4453125,0.4375,0.0,0.0,0.0
XPO1,24,4,1,0.5,0.49739583333333337,0.5,0.0,0.0,0.0
GATA1,442,1308,4,0.498868778280543,0.4033701193669254,0.4779411764705882,0.18099547922611237,0.18325792253017426,0.06116207951070336
PHB,71,101,2,0.4647887323943662,0.5634794683594525,0.5140845070422536,0.028169013559818268,0.09859155118465424,0.019801980198019802
EP400,42,6669,2,0.4642857142857143,0.5272108843537415,0.5238095238095238,0.8809523582458496,0.9523809552192688,0.005548058179637127
RBM25,17,4662,3,0.4411764705882353,0.5121107266435986,0.5,0.529411792755127,0.6470588445663452,0.0019305019305019305
NRF1,5,6522,4,0.4,0.46,0.5,0.800000011920929,1.0,0.0006133088009812941
PRPF4,6,3064,3,0.3333333333333333,0.4722222222222222,0.4166666666666667,0.5,0.8333333134651184,0.0009791122715404699
