gene,routes,null_mean,null_sd,sd_used,z,is_TF,is_measured_source,layer
MYCN,8,2.6,1.34,1.61,3.35,True,False,REGULATORY
RUNX1,5,1.2,1.3,1.3,2.91,True,False,REGULATORY
ESR2,5,1.6,1.14,1.26,2.69,True,False,REGULATORY
CASP3,8,2.6,2.3,2.3,2.35,False,False,REGULATORY
HHEX,6,2.4,0.89,1.55,2.32,True,False,REGULATORY
IRF8,18,12.0,0.71,3.46,1.73,True,False,REGULATORY
PPARG,28,21.0,2.12,4.58,1.53,True,False,REGULATORY
CTNNB1,41,33.8,2.59,5.81,1.24,True,False,REGULATORY
PRKCD,8,4.8,2.59,2.59,1.24,False,False,REGULATORY
MYC,95,84.0,8.46,9.17,1.2,True,False,REGULATORY
ATF3,5,3.0,1.73,1.73,1.15,True,False,REGULATORY
SRC,7,4.4,2.41,2.41,1.08,False,False,REGULATORY
PRKCA,5,3.2,1.64,1.79,1.01,False,False,REGULATORY
BRCA1,28,23.8,2.39,4.88,0.86,True,False,REGULATORY
JUN,26,22.2,3.03,4.71,0.81,True,False,REGULATORY
CREBBP,5,3.6,1.95,1.95,0.72,True,False,REGULATORY
FOXP3,67,62.0,2.65,7.87,0.64,True,False,REGULATORY
CREB1,28,23.6,6.91,6.91,0.64,True,False,REGULATORY
ERBB2,6,4.8,1.92,2.19,0.55,False,False,REGULATORY
GATA3,12,9.4,5.03,5.03,0.52,True,False,REGULATORY
EGR1,5,4.0,1.58,2.0,0.5,True,False,REGULATORY
CSNK2A1,6,5.0,0.71,2.24,0.45,False,False,REGULATORY
HIF1A,14,12.4,3.91,3.91,0.41,True,False,REGULATORY
AURKA,5,4.0,2.45,2.45,0.41,False,False,REGULATORY
SREBF1,8,7.0,1.0,2.65,0.38,True,False,REGULATORY
ATM,40,37.8,5.81,6.15,0.36,True,False,REGULATORY
CEBPB,21,18.4,7.89,7.89,0.33,True,False,REGULATORY
ATF4,56,53.8,2.59,7.33,0.3,True,False,REGULATORY
SPI1,6,5.4,2.07,2.32,0.26,True,False,REGULATORY
SP1,29,27.8,6.3,6.3,0.19,True,False,REGULATORY
MYB,16,16.0,4.3,4.3,0.0,True,False,REGULATORY
AKT1,15,15.0,2.55,3.87,0.0,False,False,REGULATORY
ARNT,19,19.2,0.45,4.38,-0.05,True,False,REGULATORY
SMAD4,8,8.2,1.3,2.86,-0.07,True,False,REGULATORY
CDK2,11,11.4,2.97,3.38,-0.12,False,False,REGULATORY
ATF2,13,13.6,4.16,4.16,-0.14,True,False,REGULATORY
MXD1,14,14.6,0.55,3.82,-0.16,True,False,REGULATORY
NR1I2,5,5.4,1.14,2.32,-0.17,True,False,REGULATORY
CREM,5,5.6,1.52,2.37,-0.25,True,False,REGULATORY
ATF6,26,27.4,4.39,5.23,-0.27,True,False,REGULATORY
GTF2H5,9,0.6,0.55,1.0,8.4,False,False,COMBINED
PIK3C2A,9,1.2,1.3,1.3,5.98,False,False,COMBINED
RRP1,6,0.2,0.45,1.0,5.8,False,False,COMBINED
RAB1A,6,0.4,0.55,1.0,5.6,False,False,COMBINED
POLR2E,24,8.8,2.77,2.97,5.12,False,False,COMBINED
TPX2,8,1.6,0.89,1.26,5.06,False,False,COMBINED
CHMP4A,24,9.0,2.74,3.0,5.0,False,False,COMBINED
DIS3L,6,1.0,0.71,1.0,5.0,False,False,COMBINED
TBC1D15,6,1.0,1.0,1.0,5.0,False,False,COMBINED
EXOSC2,5,0.0,0.0,1.0,5.0,False,True,COMBINED
CERS4,5,0.2,0.45,1.0,4.8,False,False,COMBINED
AGO1,8,1.6,1.34,1.34,4.77,False,False,COMBINED
MTREX,7,1.4,0.55,1.18,4.73,False,False,COMBINED
POLR2K,5,0.4,0.55,1.0,4.6,False,False,COMBINED
ROCK1,5,0.6,0.55,1.0,4.4,False,False,COMBINED
FBXO28,6,1.2,1.1,1.1,4.38,False,False,COMBINED
EEF1A1,17,3.6,3.13,3.13,4.28,False,False,COMBINED
ASCC3,5,0.8,0.84,1.0,4.2,False,False,COMBINED
EFEMP1,5,0.8,0.45,1.0,4.2,False,False,COMBINED
CYC1,5,1.0,0.71,1.0,4.0,False,False,COMBINED
CDCA5,9,2.6,1.52,1.61,3.97,False,False,COMBINED
BRD7,6,1.4,1.14,1.18,3.89,True,False,COMBINED
MED29,13,4.8,1.48,2.19,3.74,False,True,COMBINED
BRCA2,7,1.4,1.52,1.52,3.69,True,False,COMBINED
COMT,7,1.4,1.52,1.52,3.69,False,False,COMBINED
PIP,6,1.2,1.3,1.3,3.68,False,False,COMBINED
CRNKL1,8,2.4,0.89,1.55,3.61,False,False,COMBINED
AKAP7,6,1.6,0.55,1.26,3.48,False,False,COMBINED
CD63,6,1.6,0.55,1.26,3.48,False,False,COMBINED
TMEM131,6,1.6,0.55,1.26,3.48,False,False,COMBINED
NR2F2,8,1.8,1.79,1.79,3.47,True,False,COMBINED
PPP1CB,5,1.2,0.84,1.1,3.47,False,False,COMBINED
TAF9,5,1.2,0.84,1.1,3.47,False,False,COMBINED
CHMP1B,13,5.2,1.92,2.28,3.42,False,False,COMBINED
ZC3H13,11,4.2,1.48,2.05,3.32,False,False,COMBINED
ST14,5,1.0,1.22,1.22,3.27,False,False,COMBINED
WT1,5,1.0,1.22,1.22,3.27,True,False,COMBINED
DIDO1,8,2.2,1.79,1.79,3.24,False,False,COMBINED
PRKAA2,7,2.2,0.84,1.48,3.24,False,False,COMBINED
BCL2,11,4.0,2.24,2.24,3.13,False,False,COMBINED
