source,n_members,set,best_single_ORACLE,random_single,graph_chosen_single,random_set,mean_single
AATF,67,0.7456465363502502,0.6493828296661377,0.4744905525818467,0.5503793358802795,0.0005013479385524988,0.4562499847318699
ABCE1,103,0.5649256706237793,0.5096626877784729,0.20850039299111814,0.3523397743701935,0.30556403622031214,0.2628708927184615
ACTL6A,38,0.3596300184726715,0.31294694542884827,0.059924548002891244,0.020885806530714035,-0.01982598229078576,0.08753038885218925
AQR,67,0.5827183723449707,0.6121707558631897,0.19323485628701748,0.3689175844192505,0.11978211612440645,0.24347707586112752
BCR,7,-0.06152886152267456,0.15641474723815918,-0.01615688744932413,-0.09937122464179993,-0.03773164686281234,-0.022622883452900817
BUD13,80,0.6399369835853577,0.6580607295036316,0.2882178849889897,0.14216774702072144,-0.10256349999690428,0.2236298451985931
BYSL,101,0.6648232936859131,0.5669151544570923,0.3391080987639725,0.4952126145362854,-0.08316226023162017,0.29947602259004397
CCT7,43,0.4024776220321655,0.5434383153915405,0.10733676934614778,0.5175158381462097,-0.05978749548085034,0.07980322366753637
CDC5L,84,0.5807702541351318,0.5003745555877686,0.1985909037757665,0.12603209912776947,0.07759899041120662,0.2320216949918263
CDC73,37,0.34455540776252747,0.5411046743392944,0.10217610271647573,0.5342050790786743,0.022189011704176663,0.10343787833935002
CHAF1A,5,0.32270684838294983,0.4893731474876404,0.14275037362240256,0.4893731474876404,-0.019576725747901945,0.15397281367331744
CHAF1B,7,0.29396626353263855,0.4893731474876404,0.03558093118481338,0.4893731474876404,-0.015115859638899564,0.11211319347577435
CHMP2A,17,0.43104252219200134,0.6125102639198303,0.24429683620110154,0.3528790771961212,0.027860921970568598,0.12801675701185183
CHMP3,14,0.5819153189659119,0.6721938252449036,0.14355221055448056,0.6125102639198303,0.028818802314344794,0.20720801183155604
CNOT1,5,0.4185948669910431,0.4671729803085327,0.2598755191080272,0.4671729803085327,0.06351856652181595,0.20749701038002968
CNOT3,6,0.39595434069633484,0.4671729803085327,0.17995170261710883,0.4671729803085327,0.06534371776506305,0.17794515006244183
CPSF3,22,0.46434515714645386,0.5322088599205017,0.16015536912309472,0.04779321327805519,0.01475574488285929,0.1511634118902624
CPSF4,21,0.37328585982322693,0.33388960361480713,0.11933941340539604,0.2541636526584625,0.009294369025155902,0.10319907502049491
CPSF6,128,-0.021995268762111664,0.5141783356666565,-0.0005766668589785695,0.015979407355189323,0.1272795457392931,-0.005027118307054934
CTR9,40,0.3612348437309265,0.6883791089057922,0.16536814495921134,0.6883791089057922,-0.04419378330057953,0.0998674371818197
CWC15,76,0.7129091024398804,0.6046722531318665,0.3097170689608902,0.5277064442634583,-0.10664641261100768,0.30130574236299207
CWC22,74,0.4164242446422577,0.3699136972427368,0.19005503379739822,-0.0015636729076504707,-0.026554095582105218,0.1852776441169349
DDX10,23,0.5219603776931763,0.493984192609787,0.2750939154997468,0.19349947571754456,0.07193449246697128,0.2827914828515571
DDX18,37,0.6301684975624084,0.6959888339042664,0.28098474580328914,0.0947391465306282,-0.0284823642577976,0.2784861497253784
DDX41,5,0.3663291931152344,0.5947752594947815,0.11265021301805973,0.5947752594947815,0.046133441803976896,0.1659140929579735
DDX47,20,0.8032987117767334,0.7304613590240479,0.4999757558107376,0.6868518590927124,0.06668414333835244,0.5043725302442909
DDX52,21,0.5563617944717407,0.49184662103652954,0.3339158374816179,0.4618821442127228,0.09131994938943536,0.3317245660083635
DDX6,89,0.13228058815002441,0.24334435164928436,0.05101638939231634,0.06225062534213066,0.22188107669353485,0.05252401028717921
DHX15,51,0.46762815117836,0.4484858512878418,0.22095929440110923,0.13572758436203003,0.06410091519355773,0.17641830305550613
DHX16,65,0.6906360387802124,0.6580607295036316,0.28318959502503277,-0.01803833432495594,-0.1361512506380677,0.3035199437684451
DIMT1,64,0.5973371267318726,0.5232105255126953,0.3547901321202517,0.4768628776073456,0.04992909845896065,0.33604142717376817
DIS3,17,0.537531316280365,0.5156101584434509,0.2550252849236131,0.40706542134284973,0.08584619676694275,0.24232731891029022
DMAP1,31,0.4249534606933594,0.4975680708885193,0.16195538616739213,0.25743964314460754,0.01135096864309162,0.11805678302170558
DNAJC17,9,0.5432350635528564,0.41225114464759827,0.259563734382391,0.41225114464759827,0.04288324058579747,0.30225278106000686
