target,confidence,machine,n_convergent_KOs,in_named_complex,coherence_p,converging_KOs
PPP1R10,0.823,nuclear exosome (RNase complex),11,10,2.1527223206987975e-31,EXOSC2|EXOSC4|EXOSC9|DIS3|EXOSC3|EXOSC8|EXOSC6|EXOSC5|MTREX|EXOSC7
HYOU1,0.788,oligosaccharyltransferase complex A,12,4,2.0202661706158596e-11,HSPA5|ARF4|DERL2|SLC35B1|TMEM258|DDOST|DAD1|FEN1|RPN1|ALG2
LETMD1,0.775,exon-exon junction complex,6,4,6.637983151682361e-12,UPF1|UPF2|RBM8A|SMG5|MAGOH|SMG7
HSPA1B,0.764,proteasome complex,7,6,5.819259098931967e-16,PSMC1|PSMB3|PSMA3|PSMC4|PSMB6|PSMB5|HSPA8
DNAJB11,0.758,oligosaccharyltransferase complex A,13,5,1.5933986308073742e-14,HSPA5|ARF4|RPN1|TMEM258|RPN2|DAD1|FEN1|DERL2|DDOST|SLC39A7
MTHFD2L,0.753,Nuclear RNA decay,17,12,1.650523730779279e-30,EXOSC9|TAF7|DIS3|EXOSC3|EXOSC8|ZFC3H1|EXOSC5|EXOSC7|EXOSC4|MTREX
ACTL6A,0.75,mRNA Splicing - Minor Pathway,3,3,7.49200923319638e-11,ZCRB1|PDCD7|ZRSR2
DHCR7,0.738,proton-transporting two-sector ATPase complex,4,3,2.140476702897173e-11,ATP6V1C1|ATP6V1E1|ATP6AP1|TBPL1
SCO2,0.738,RNA N6-methyladenosine methyltransferase complex,4,4,1.6065015510046554e-13,ZC3H13|METTL3|METTL14|RBM15
SNRNP40,0.73,Ino80 complex,5,4,5.353186390966992e-13,INO80|ACTR8|INO80B|NFRKB|KRT17
EPM2AIP1,0.717,Nuclear RNA decay,9,7,1.8378708720165156e-18,EXOSC2|EXOSC9|ZFC3H1|EXOSC6|DIS3|EXOSC7|ZC3H3|ZBTB4|MBNL1
BANP,0.7,Nuclear RNA decay,6,6,3.24569578932582e-17,EXOSC6|EXOSC4|EXOSC3|MTREX|ZC3H3|ZFC3H1
VMP1,0.7,Nuclear RNA decay,4,4,1.1670665812955036e-11,MTREX|EXOSC5|ZFC3H1|ZC3H3
MLLT11,0.7,proteasome complex,7,6,5.819259098931967e-16,PSMB5|PSMC1|PSMC2|PSMC5|PSMC6|PSMC3|FTSJ3
MPDU1,0.698,INTAC complex,3,3,4.869806001577647e-10,INTS10|INTS14|INTS13
