line,target,confidence,sign,machine,n_convergent_KOs,in_named_complex,coherence_p,converging_KOs
HCT116,MSH4,0.8,up,mRNA cleavage and polyadenylation specificity factor complex,6,4,8.849784893819619e-12,CPSF4|FIP1L1|SSU72|CDC42EP5|CPSF2|C17orf67
HCT116,JUN,0.415,up,nuclear pore,5,3,1.17630910790366e-06,RANGAP1|NUP155|NUP153|COPA|HSD17B11
HCT116,EBPL,0.325,up,microfibril,3,2,3.7698880717465877e-06,COL16A1|HSPA13|LTBP1
HCT116,CSTA,0.32,up,Processing of SMDT1,4,2,4.628002732591153e-06,PHB2|AARS1|PMPCB|APOD
HCT116,ATF7IP,0.294,up,Defective B3GALTL causes PpS,3,2,1.2360373022996635e-05,ADAMTSL3|ZFP90|ADAMTS17
HCT116,MSMO1,0.291,up,PI3K Cascade,3,2,1.3879509005188783e-05,GATD1|PIK3R4|PIK3C3
HCT116,TMEM33,0.279,up,lateral plasma membrane,3,2,2.2792819282862097e-05,SYPL2|MPP4|SLC22A1
HCT116,ACAT2,0.273,up,PI3K Cascade,4,2,2.7720866115393634e-05,PIK3R4|PIK3C3|DENND4C|PTPRE
HCT116,MVD,0.26,up,PI3K Cascade,5,2,4.613795247244608e-05,ATP2A2|GATD1|PIK3C3|PIK3R4|ALOX15
HCT116,INSIG1,0.26,up,PI3K Cascade,5,2,4.613795247244608e-05,CPSF6|ATP2A2|GATD1|PIK3R4|PIK3C3
HCT116,QARS1,0.248,down,actin filament,3,2,7.482872727936498e-05,AIF1L|ACTBL2|ZNF224
HCT116,KLF6,0.248,up,nuclear pore,3,2,7.30285874365763e-05,RANGAP1|NUP153|ENO1
HCT116,ARIH2,0.238,down,presynaptic membrane,3,2,0.00010877072926397416,TNFRSF1A|CHRNB4|ADORA2A
HCT116,HMGCS1,0.233,up,PI3K Cascade,8,2,0.00012865454129572232,ATP2A2|PIK3R4|PIK3C3|GATD1|DENND4C|NDP|CALN1|RAB5C
HCT116,MRGBP,0.232,up,voltage-gated potassium channel complex,4,2,0.00013509676867184565,LRRC52|DNAH12|ZNF521|KCNG4
HCT116,ARL2,0.213,down,lamellipodium,4,2,0.0002816263987195959,FHAD1|RAB40B|MMP17|ACTA2
HCT116,RAD50,0.195,up,cytoplasmic side of plasma membrane,6,2,0.0005700401182161569,COL4A5|SIMC1|G6PD|ALOX15|GNAI1|CDC37
Melanoma,STAT1,0.272,down,Interferon gamma signaling,4,2,2.9302543244995078e-05,IFNGR1|JAK2|JAK1|IFNGR2
Melanoma,SECTM1,0.272,down,Interferon gamma signaling,4,2,2.9302543244995078e-05,STAT1|JAK2|IFNGR1|IFNGR2
Melanoma,LAP3,0.259,down,Interferon gamma signaling,5,2,4.8768485164235316e-05,STAT1|IFNGR1|IFNGR2|JAK2|JAK1
Melanoma,GBP2,0.259,down,Interferon gamma signaling,5,2,4.8768485164235316e-05,STAT1|JAK2|IFNGR2|JAK1|IFNGR1
Melanoma,GBP4,0.259,down,Interferon gamma signaling,5,2,4.8768485164235316e-05,STAT1|JAK2|IFNGR2|IFNGR1|JAK1
Melanoma,PARP14,0.259,down,Interferon gamma signaling,5,2,4.8768485164235316e-05,STAT1|IFNGR2|IFNGR1|JAK1|JAK2
Melanoma,IDO1,0.259,down,Interferon gamma signaling,5,2,4.8768485164235316e-05,STAT1|JAK2|IFNGR1|IFNGR2|JAK1
RPE1,MTRNR2L8,1.0,up,mitochondrial large ribosomal subunit,13,9,1.0500557079851151e-20,CEBPG|SUPV3L1|ACSS2|PNPT1|MRPL21|MRPL51|MRPL43|MRPL44|MRPL42|MRPL22
RPE1,FDFT1,1.0,up,Ion channel transport,29,11,4.232310768919324e-27,ATP6V1A|VPS28|ATP6V1B2|ATP6V0C|ATP6V1E1|CHMP2A|ATP6V1G1|ATP6V1H|ATP6V1C1|ATP6V0B
RPE1,ACAT2,1.0,up,Ion channel transport,17,10,4.376720285122853e-27,ATP6V1B2|ATP6V1A|ATP6V0C|ATP6V1C1|ATP6V1G1|ATP6V1E1|ATP6V1H|ATP6V0B|TBPL1|ATP6AP1
RPE1,SCD,1.0,up,Ion channel transport,32,10,1.4410498823200396e-23,ATP6V1B2|ATP6V1A|ATP6V1H|ATP6V1G1|ATP6V1F|ATP6V0C|VPS28|ATP6V1E1|ATP6V1C1|NBAS
RPE1,INSIG1,1.0,up,Ion channel transport,28,11,2.6281219649302857e-27,CHMP2A|VPS28|CHMP6|TSG101|EXOC4|ATP6V1E1|ATP6V1A|ATP6V1B2|ATP6V1C1|ATP6V0C
RPE1,MSMO1,1.0,up,Ion channel transport,33,10,2.066565773363646e-23,VPS28|ATP6V1B2|ATP6V1A|ATP6V1E1|ATP6V0C|ATP6V1H|ATP6V0B|CHMP6|ATP6V1G1|ATP6V1C1
RPE1,SQLE,1.0,up,Ion channel transport,21,10,7.922022356569203e-26,VPS28|ATP6V1A|ATP6V1B2|ATP6V1C1|ATP6V1H|ATP6V1E1|ATP6V0C|ATP6V1G1|TBPL1|ATP6V0B
RPE1,CYP51A1,1.0,up,Ion channel transport,29,11,4.232310768919324e-27,VPS28|ATP6V1A|ATP6V1B2|ATP6V1E1|ATP6V1H|ATP6V0C|CHMP6|ATP6V1C1|DNM2|ATP6V1G1
