gene,mean_effect,frac_dep,essential
A1BG,-0.038,0.001,0
A1CF,-0.087,0.004,0
A2M,0.048,0.0,0
A2ML1,0.074,0.0,0
A3GALT2,-0.123,0.005,0
A4GALT,0.064,0.001,0
A4GNT,0.074,0.0,0
AAAS,-0.148,0.046,0
AACS,-0.021,0.003,0
AADAC,0.145,0.0,0
AADACL2,-0.013,0.0,0
AADACL3,0.066,0.0,0
AADACL4,-0.027,0.001,0
AADAT,-0.057,0.004,0
AAGAB,-0.015,0.003,0
AAK1,-0.15,0.005,0
AAMDC,-0.011,0.001,0
AAMP,-1.116,0.983,1
AANAT,-0.072,0.005,0
AAR2,-0.004,0.005,0
AARD,-0.135,0.01,0
AARS1,-2.059,1.0,1
AARS2,-0.363,0.292,0
AARSD1,-0.167,0.007,0
AASDH,-0.137,0.0,0
AASDHPPT,-0.325,0.192,0
AASS,-0.015,0.001,0
AATF,-0.861,0.963,1
AATK,-0.144,0.011,0
ABAT,-0.025,0.001,0
ABCA1,0.061,0.0,0
ABCA10,0.007,0.001,0
ABCA12,-0.016,0.003,0
ABCA13,0.087,0.0,0
ABCA2,0.076,0.002,0
ABCA3,-0.025,0.0,0
ABCA4,-0.208,0.018,0
ABCA5,0.004,0.001,0
ABCA6,-0.037,0.009,0
ABCA7,0.029,0.001,0
ABCA8,-0.07,0.001,0
ABCA9,-0.025,0.001,0
ABCB1,-0.133,0.005,0
ABCB10,-0.053,0.005,0
ABCB11,-0.084,0.0,0
ABCB4,-0.126,0.002,0
ABCB5,-0.053,0.004,0
ABCB6,0.034,0.0,0
ABCB7,-1.193,0.975,1
ABCB8,0.099,0.0,0
ABCB9,0.065,0.0,0
ABCC1,-0.024,0.002,0
ABCC10,-0.166,0.004,0
ABCC11,-0.032,0.0,0
ABCC12,0.25,0.001,0
ABCC2,-0.076,0.001,0
ABCC3,-0.069,0.0,0
ABCC4,0.127,0.001,0
ABCC5,0.051,0.0,0
ABCC6,-0.028,0.001,0
ABCC8,0.16,0.0,0
ABCC9,-0.129,0.001,0
ABCD1,-0.141,0.029,0
ABCD2,-0.087,0.003,0
ABCD3,-0.172,0.019,0
ABCD4,-0.114,0.005,0
ABCE1,-2.153,1.0,1
ABCF1,-1.043,0.988,1
ABCF3,0.039,0.0,0
ABCG1,0.039,0.0,0
ABCG2,0.018,0.001,0
ABCG4,0.013,0.001,0
ABCG5,0.047,0.0,0
ABCG8,-0.029,0.0,0
ABHD1,0.004,0.0,0
ABHD10,-0.008,0.001,0
ABHD11,-0.308,0.148,0
ABHD12,-0.012,0.002,0
ABHD12B,0.066,0.0,0
ABHD13,-0.107,0.009,0
ABHD14A,0.074,0.0,0
ABHD14B,-0.005,0.0,0
ABHD15,-0.244,0.043,0
ABHD16A,0.044,0.0,0
ABHD16B,0.037,0.0,0
ABHD17A,-0.277,0.118,0
ABHD17B,-0.003,0.003,0
ABHD17C,0.065,0.001,0
ABHD18,0.049,0.002,0
ABHD2,-0.057,0.005,0
ABHD3,-0.07,0.003,0
ABHD4,0.039,0.0,0
ABHD5,-0.01,0.0,0
ABHD6,0.066,0.0,0
ABHD8,-0.039,0.0,0
ABI1,-0.161,0.034,0
ABI2,-0.002,0.001,0
ABI3,0.031,0.001,0
ABI3BP,0.017,0.001,0
ABITRAM,0.014,0.001,0
ABL1,0.027,0.009,0
ABL2,0.045,0.0,0
ABLIM1,0.129,0.0,0
ABLIM2,0.017,0.001,0
ABLIM3,-0.002,0.0,0
ABR,-0.09,0.005,0
ABRA,0.185,0.0,0
ABRACL,0.114,0.0,0
ABRAXAS1,-0.297,0.079,0
ABRAXAS2,0.173,0.001,0
ABT1,-1.307,0.996,1
ABTB1,0.006,0.0,0
ABTB2,0.039,0.001,0
ABTB3,0.026,0.0,0
ACAA1,0.009,0.005,0
ACAA2,-0.01,0.003,0
ACACA,-0.374,0.276,0
ACACB,-0.165,0.003,0
ACAD10,-0.079,0.0,0
ACAD11,0.066,0.0,0
ACAD8,-0.012,0.001,0
ACAD9,-0.244,0.093,0
ACADL,0.018,0.002,0
