KO_gene,moved_gene,sign,n_lines,lines,median_abs_z,involves_dark_gene
CPSF6,VMA21,up,5,HCT116|HepG2|Jurkat|K562|RPE1,1.5,False
PTMA,SNX4,down,5,HCT116|HepG2|Jurkat|K562|RPE1,0.59,True
ORC3,RARS2,down,5,HCT116|HepG2|Jurkat|K562|RPE1,0.42,False
HSPA5,CRELD2,up,4,HepG2|Jurkat|K562|RPE1,2.58,True
HSPA5,HYOU1,up,4,HepG2|Jurkat|K562|RPE1,2.38,False
SMG5,DNAJC25,up,4,HepG2|Jurkat|K562|RPE1,1.91,True
ZFC3H1,MTHFD2L,up,4,HepG2|Jurkat|K562|RPE1,1.82,False
CSE1L,RASSF1,up,4,HepG2|Jurkat|K562|RPE1,1.81,True
WDR77,ATP5PB,down,4,HepG2|Jurkat|K562|RPE1,1.45,False
OGFOD1,VMA21,up,4,HepG2|Jurkat|K562|RPE1,1.36,False
UPF2,LETMD1,up,4,HepG2|Jurkat|K562|RPE1,1.24,True
NUP54,RASSF1,up,4,HepG2|Jurkat|K562|RPE1,1.23,True
OGFOD1,NDFIP1,up,4,HepG2|Jurkat|K562|RPE1,1.2,True
RRP1,LAMTOR1,down,4,HepG2|Jurkat|K562|RPE1,1.2,False
ORC6,ST13,down,4,HepG2|Jurkat|K562|RPE1,1.18,False
HJURP,LAMTOR1,down,4,HepG2|Jurkat|K562|RPE1,1.17,False
ZFC3H1,MIB2,up,4,HepG2|Jurkat|K562|RPE1,1.15,False
EARS2,TMED10,down,4,HepG2|Jurkat|K562|RPE1,1.09,False
SIGLEC14,FAAP20,down,4,HepG2|Jurkat|K562|RPE1,1.09,False
PPP4C,NDUFA8,down,4,HepG2|Jurkat|K562|RPE1,1.04,False
PXN,BLOC1S1,down,4,HepG2|Jurkat|K562|RPE1,1.04,False
DERL2,CRELD2,up,4,HCT116|HepG2|Jurkat|RPE1,1.02,True
ZFC3H1,ING5,up,4,HepG2|Jurkat|K562|RPE1,0.93,False
NUP35,BLOC1S1,down,4,HepG2|Jurkat|K562|RPE1,0.89,False
SRCAP,TXN2,down,4,HepG2|Jurkat|K562|RPE1,0.89,False
JAZF1,MYCBP2,down,4,HepG2|Jurkat|K562|RPE1,0.88,True
CENPW,XRN2,down,4,HepG2|Jurkat|K562|RPE1,0.85,False
NAPG,MRFAP1,down,4,HepG2|Jurkat|K562|RPE1,0.81,True
OSTC,BLOC1S1,down,4,HepG2|Jurkat|K562|RPE1,0.77,False
MVK,HEBP2,down,4,HepG2|Jurkat|K562|RPE1,0.75,False
RAD9A,PPP2R5E,down,4,HepG2|Jurkat|K562|RPE1,0.74,False
CENPN,CMC2,down,4,HepG2|Jurkat|K562|RPE1,0.67,False
ZBTB17,NDUFA5,down,4,HepG2|Jurkat|K562|RPE1,0.67,False
THAP11,UBXN8,up,4,HepG2|Jurkat|K562|RPE1,0.66,True
CBX1,GNPNAT1,down,4,HepG2|Jurkat|K562|RPE1,0.65,False
HNRNPH1,MSRB2,up,4,HepG2|Jurkat|K562|RPE1,0.65,False
THAP11,ALG14,up,4,HepG2|Jurkat|K562|RPE1,0.65,False
USP9X,MTHFD1L,down,4,HepG2|Jurkat|K562|RPE1,0.64,False
ZRANB2,COA5,up,4,HepG2|Jurkat|K562|RPE1,0.62,True
TMED10,SLC39A7,up,4,HepG2|Jurkat|Melanoma|RPE1,0.59,False
ANKRD49,MRE11,down,4,HepG2|Jurkat|K562|RPE1,0.55,True
RAD9A,ACBD3,down,4,HepG2|Jurkat|K562|RPE1,0.55,False
TARDBP,PKN1,down,4,HepG2|Jurkat|K562|RPE1,0.55,False
ELOVL1,GNPNAT1,down,4,HepG2|Jurkat|K562|RPE1,0.54,False
CS,KIF2A,down,4,HepG2|Jurkat|K562|RPE1,0.53,False
NISCH,IREB2,down,4,HepG2|Jurkat|K562|RPE1,0.53,False
GOLT1B,RECQL,down,4,HepG2|Jurkat|K562|RPE1,0.52,True
JAZF1,ARIH2,down,4,HepG2|Jurkat|K562|RPE1,0.52,False
ARL4D,CNPY3,down,4,HepG2|Jurkat|K562|RPE1,0.51,True
TBX1,PFKL,down,4,HCT116|HepG2|Jurkat|RPE1,0.51,False
UBTF,DENND10,down,4,HepG2|Jurkat|K562|RPE1,0.5,True
SMAGP,SNX4,down,4,HepG2|Jurkat|K562|RPE1,0.49,True
HUS1,KIF3B,down,4,HepG2|Jurkat|K562|RPE1,0.48,False
MAD2L2,DSG2,down,4,HepG2|Jurkat|K562|RPE1,0.48,False
UBTF,RALGAPA1,down,4,HepG2|Jurkat|K562|RPE1,0.46,False
TMEM127,CIAO1,down,4,HepG2|Jurkat|K562|RPE1,0.44,False
HUS1,CCDC47,down,4,HepG2|Jurkat|K562|RPE1,0.42,False
ZBTB17,SCP2,down,4,HepG2|Jurkat|K562|RPE1,0.38,False
RNF14,STX2,down,4,HepG2|Jurkat|K562|RPE1,0.36,True
CBX1,JMJD4,down,4,HepG2|Jurkat|K562|RPE1,0.35,False
EXOSC2,PPP1R10,up,3,HepG2|Jurkat|K562,2.47,False
PSMA3,HSPA1B,up,3,HepG2|K562|RPE1,2.41,False
EXOSC4,PPP1R10,up,3,HepG2|Jurkat|K562,2.23,False
PSMB5,HSPA1B,up,3,HepG2|K562|RPE1,2.23,False
EXOSC9,PPP1R10,up,3,HepG2|Jurkat|K562,2.16,False
DIS3,PPP1R10,up,3,HepG2|Jurkat|K562,2.09,False
EXOSC3,PPP1R10,up,3,HepG2|Jurkat|K562,2.07,False
EXOSC8,PPP1R10,up,3,HepG2|Jurkat|K562,2.06,False
EXOSC5,PPP1R10,up,3,HepG2|Jurkat|K562,1.89,False
NUDT21,VMA21,up,3,HepG2|Jurkat|K562,1.86,False
MTREX,PPP1R10,up,3,HepG2|Jurkat|RPE1,1.68,False
HSPA5,DNAJB11,up,3,HepG2|Jurkat|K562,1.64,False
NUDT21,VOPP1,up,3,HepG2|Jurkat|RPE1,1.63,True
THAP11,NAA38,up,3,HepG2|K562|RPE1,1.57,False
TAF7,NDUFV2,down,3,HepG2|K562|RPE1,1.56,False
LAMTOR3,RTRAF,down,3,HepG2|K562|RPE1,1.54,False
KPNB1,RASSF1,up,3,HepG2|K562|RPE1,1.53,True
CPSF6,DERL1,up,3,Jurkat|K562|RPE1,1.52,False
EXOSC7,MTHFD2L,up,3,HepG2|Jurkat|K562,1.45,False
TAMM41,STOML2,down,3,HepG2|K562|RPE1,1.4,False
UPF1,RASSF1,up,3,Jurkat|K562|RPE1,1.38,True
