gene,pred,prob
-,0,0.24
A1BG,0,0.051
A1BG-AS1,0,0.025
A1CF,0,0.021
A2M,1,0.813
A2M-AS1,0,0.298
A2ML1,0,0.064
A2MP1,0,0.008
A3GALT2,0,0.007
A4GALT,0,0.032
A4GNT,0,0.055
AA06,0,0.012
AAAS,1,0.997
AACS,1,0.623
AACSP1,0,0.017
AADAC,0,0.045
AADACL2,0,0.003
AADACL2-AS1,0,0.038
AADACL3,0,0.004
AADACL4,0,0.006
AADACP1,0,0.012
AADAT,1,0.568
AAED1,0,0.04
AAGAB,0,0.35
AAK1,1,0.988
AAMDC,0,0.009
AAMP,1,0.972
AANAT,0,0.011
AAR2,1,0.807
AARD,0,0.049
AARS1,1,0.589
AARS2,1,0.924
AARSD1,0,0.329
AASDH,1,0.655
AASDHPPT,0,0.355
AASS,0,0.167
AATBC,0,0.041
AATF,1,0.89
AATK,1,0.774
ABALON,0,0.041
ABAT,1,0.851
ABCA1,1,0.764
ABCA10,0,0.009
ABCA11P,0,0.097
ABCA12,0,0.038
ABCA13,0,0.012
ABCA17P,0,0.041
ABCA2,1,0.972
ABCA3,0,0.119
ABCA4,0,0.164
ABCA5,0,0.242
ABCA6,0,0.03
ABCA7,1,0.814
ABCA8,0,0.003
ABCA9,0,0.047
ABCA9-AS1,0,0.012
ABCB1,0,0.02
ABCB10,1,0.815
ABCB11,0,0.077
ABCB4,1,0.669
ABCB5,0,0.018
ABCB6,1,0.991
ABCB7,0,0.058
ABCB8,1,0.981
ABCB9,1,0.747
ABCC1,1,0.816
ABCC10,1,0.604
ABCC11,0,0.009
ABCC12,0,0.01
ABCC13,0,0.009
ABCC2,0,0.027
ABCC3,0,0.251
ABCC4,1,0.764
ABCC5,1,0.527
ABCC5-AS1,0,0.046
ABCC6,0,0.086
ABCC6P1,0,0.085
ABCC6P2,0,0.018
ABCC8,1,0.868
ABCC9,1,0.813
ABCD1,1,0.906
ABCD2,0,0.062
ABCD3,1,0.934
ABCD4,1,0.988
ABCF2,1,0.901
ABCF2-H2BE1,1,0.727
ABCF3,1,0.896
ABCG1,0,0.28
ABCG2,0,0.001
ABCG4,1,0.729
ABCG5,0,0.045
ABHD1,0,0.034
ABHD10,1,0.563
ABHD11,1,0.727
ABHD11-AS1,0,0.025
ABHD12,0,0.162
ABHD12B,0,0.292
ABHD13,0,0.169
ABHD14A,0,0.044
ABHD14A-ACY1,1,0.572
ABHD14B,0,0.019
ABHD15,0,0.273
ABHD16A,1,0.527
ABHD16B,0,0.265
ABHD17A,1,0.673
ABHD17B,1,0.754
ABHD17C,1,0.682
ABHD18,0,0.019
ABHD2,1,0.701
ABHD3,0,0.242
ABHD4,1,0.694
ABHD5,1,0.876
ABHD6,0,0.418
ABHD8,0,0.299
ABI1,1,0.992
ABI2,1,0.991
ABI3,0,0.185
ABI3BP,0,0.379
ABITRAM,1,0.532
ABL1,1,0.938
ABL2,1,0.917
ABLIM1,1,0.9
ABLIM2,1,0.863
ABLIM3,1,0.963
ABO,0,0.495
ABR,1,0.938
ABRA,0,0.005
ABRACL,0,0.238
ABRAXAS1,1,0.87
ABRAXAS2,0,0.191
ABT1,1,0.858
ABTB1,1,0.925
ABTB2,1,0.687
AC002310.13,0,0.049
AC002365.1,0,0.04
AC002472.13,0,0.04
AC002553.1,0,0.04
AC003002.4,0,0.04
AC003002.6,0,0.076
AC003006.7,0,0.04
AC003043.1,0,0.04
AC003101.1,0,0.04
AC004076.7,0,0.04
AC004076.9,0,0.046
AC004381.6,0,0.388
AC004466.1,0,0.051
AC005003.1,0,0.049
AC005008.2,0,0.04
AC005082.1,0,0.04
AC005358.1,1,0.893
AC005481.5,0,0.04
AC005493.1,0,0.051
AC005544.1,0,0.051
AC005549.3,0,0.04
AC005609.1,0,0.04
AC005841.1,0,0.051
AC006435.1,0,0.051
AC006486.1,0,0.04
AC006486.9,1,0.909
AC006538.4,0,0.04
AC006547.14,0,0.054
AC006946.15,0,0.044
AC007040.11,0,0.096
AC007204.1,0,0.04
AC007401.2,0,0.051
AC007557.1,0,0.046
AC007952.5,0,0.046
AC007956.1,0,0.04
AC008060.7,0,0.051
AC008271.1,0,0.123
AC008372.1,0,0.051
AC008394.1,0,0.051
AC008686.1,0,0.04
AC009041.2,0,0.04
AC009065.1,0,0.051
AC009365.3,0,0.04
AC009403.2,0,0.051
AC009802.1,0,0.04
AC009892.10,0,0.051
AC010336.1,0,0.04
AC010441.1,0,0.051
AC010646.3,0,0.051
AC011239.1,0,0.051
AC011294.3,0,0.051
AC011308.1,0,0.04
AC011366.3,0,0.04
AC011475.1,0,0.051
AC011500.1,0,0.04
AC011530.4,0,0.077
AC011897.1,0,0.049
AC011997.1,0,0.051
AC012123.1,0,0.049
AC012313.1,0,0.04
AC012360.1,0,0.051
AC013468.1,0,0.04
AC015987.2,0,0.04
AC015989.1,0,0.04
AC016251.1,0,0.049
AC016757.3,0,0.051
AC016885.1,0,0.051
AC017028.1,0,0.04
AC017104.2,0,0.04
AC018470.1,0,0.076
AC018755.1,0,0.046
AC018816.3,0,0.04
AC018867.1,0,0.051
AC018867.2,0,0.04
AC019171.1,0,0.04
AC019206.1,0,0.051
AC021218.2,0,0.049
AC022400.2,0,0.051
AC022431.2,0,0.046
AC022532.1,0,0.049
AC023469.1,0,0.04
AC023590.1,0,0.04
AC024580.1,0,0.096
AC024592.12,0,0.046
AC025287.1,0,0.04
AC026202.1,0,0.051
AC026369.1,0,0.051
AC026407.1,0,0.04
AC027763.2,0,0.04
AC037459.4,0,0.478
AC040160.1,0,0.046
AC040977.1,0,0.04
AC062017.1,0,0.051
AC064874.1,0,0.04
AC068533.7,0,0.046
AC068987.1,0,0.04
AC069368.3,1,0.91
AC073063.1,0,0.051
AC073343.1,0,0.049
AC073569.1,0,0.04
