gene,chains_unlocked,hub_knockouts_served,via_regulatory,already_perturbed_effectively,measurable_as_target,is_TF,essential
CAPZB,136,17,0,False,True,False,1.0
CCNC,78,7,0,False,True,False,0.0
CCNH,75,9,0,False,True,False,1.0
TP53,61,15,54,False,False,True,0.0
CDK7,57,10,40,False,True,False,1.0
REL,53,14,49,False,True,True,0.0
MYC,52,14,52,False,True,True,1.0
ESR1,51,11,50,False,False,True,0.0
CHMP1A,48,1,0,False,True,False,0.0
BCAS2,45,2,0,False,True,False,1.0
ATF4,42,2,35,False,True,True,1.0
DDOST,40,3,0,False,True,False,1.0
CSNK2A1,40,8,18,False,True,False,0.0
CD44,34,3,0,False,False,False,0.0
AR,32,15,32,False,False,True,0.0
FOXP3,31,1,20,False,False,True,0.0
CTNNB1,30,7,21,False,True,True,0.0
ATP6V1D,28,1,0,False,True,False,1.0
APOA1,27,1,0,False,False,False,0.0
BIRC5,27,4,2,False,True,False,1.0
BCL2L1,27,1,0,False,True,False,1.0
AGGF1,25,2,0,False,True,False,0.0
HDAC1,24,7,9,False,True,True,0.0
CCDC57,24,1,0,False,True,False,0.0
CDK9,24,5,10,False,True,False,1.0
GYPA,22,3,0,False,True,False,0.0
SP1,22,12,22,False,True,True,0.0
CDK8,21,7,14,False,True,False,0.0
ERCC3,21,6,0,False,True,False,1.0
CD80,20,3,0,False,False,False,0.0
HSPA1A,19,3,0,False,True,False,1.0
GTF2E2,19,8,0,False,True,False,1.0
BSG,19,2,0,False,True,False,0.0
FHL2,18,5,1,False,False,True,0.0
BACH1,18,1,2,False,True,True,0.0
PICK1,18,11,0,False,True,False,0.0
MEOX2,18,12,0,False,False,True,0.0
ALYREF,18,1,0,False,True,False,1.0
CEBPA,17,2,17,False,False,True,0.0
DDB1,17,1,3,False,True,True,1.0
CANX,17,6,0,False,True,False,0.0
POLR2A,17,8,0,False,True,False,1.0
POLR2E,16,11,0,False,True,False,1.0
DVL3,16,1,0,False,True,False,0.0
CDKN1A,15,2,1,False,False,False,0.0
CTCFL,15,1,13,False,True,True,0.0
CD70,15,2,0,False,False,False,0.0
TBP,15,8,14,False,True,True,1.0
AMOT,15,1,0,False,False,False,0.0
CXCR4,14,4,0,False,False,False,0.0
E2F1,14,9,13,False,True,True,0.0
LMO2,14,6,3,False,True,True,0.0
GPR17,14,6,0,False,False,False,0.0
HCST,14,6,0,False,False,False,0.0
DEF6,14,1,0,False,True,False,0.0
CDC6,13,1,0,False,True,False,1.0
