gene,b,subsystem,keio_essential,calib_ess,host_selectivity,pan_strain_ess,cond_breadth,in_host_conditional,druggability,target_class,target_score,rank
coad,b3634,,1,0.911,1.0,1.0,1.0,0,0.9,enzyme,0.8568,1
lpxa,b0181,,1,0.911,1.0,1.0,1.0,0,0.9,enzyme,0.8568,2
lpxd,b0179,,1,0.911,1.0,1.0,1.0,0,0.9,enzyme,0.8568,3
murj,b1069,,1,0.911,1.0,1.0,1.0,0,0.9,enzyme,0.8568,4
dapf,b3809,,1,0.911,1.0,0.9,1.0,0,0.9,enzyme,0.8139,5
muri,b3967,,1,0.855,1.0,1.0,1.0,0,0.9,enzyme,0.804,6
dapb,b0031,,1,0.911,1.0,0.8,1.0,0,0.9,enzyme,0.7711,7
fabz,b0180,,1,0.911,1.0,1.0,0.75,0,0.9,enzyme,0.7711,8
isph,b0029,,1,0.911,1.0,0.75,1.0,0,0.9,enzyme,0.7497,9
kdsa,b1215,,1,0.911,1.0,0.667,1.0,0,0.9,enzyme,0.7141,10
fabh,b1091,,1,0.911,1.0,0.571,1.0,0,0.9,enzyme,0.673,11
asd,b3433,,0,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,12
folp,b3177,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,13
glmu,b3730,,,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,14
hema,b1210,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,15
ispe,b1208,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,16
lpxb,b0182,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,17
lpxh,b0524,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,18
lpxk,b0915,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,19
mray,b0087,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,20
murc,b0091,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,21
mure,b0085,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,22
murf,b0086,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,23
murg,b0090,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,24
riba,b1277,,1,0.911,1.0,0.5,1.0,0,0.9,enzyme,0.6426,25
ribd,b0414,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,26
ribf,b0025,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,27
thil,b0417,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,28
waaa,b3633,,1,0.911,1.0,,1.0,0,0.9,enzyme,0.6426,29
ribe,b0415,,1,0.911,1.0,0.333,1.0,0,0.9,enzyme,0.571,30
ubix,b2311,,1,0.911,1.0,0.286,1.0,0,0.9,enzyme,0.5509,31
lpta,b3200,,1,0.772,1.0,,1.0,0,0.9,enzyme,0.5445,32
purb,b1131,,1,0.911,0.618,1.0,1.0,0,0.9,enzyme,0.5295,33
cmk,b0910,,1,0.858,1.0,0.714,,0,0.9,enzyme,0.4974,34
rpmd,b3302,,,0.806,1.0,1.0,,0,0.7,translation/replication,0.4758,35
kdsb,b0918,,1,0.911,0.55,1.0,1.0,0,0.9,enzyme,0.4712,36
rpoh,b3461,,1,0.905,1.0,0.75,,0,0.7,translation/replication,0.4674,37
ftsi,b0084,,1,0.687,1.0,1.0,,0,0.9,enzyme,0.4649,38
cyse,b3607,,0,0.846,1.0,0.167,1.0,0,0.9,enzyme,0.4642,39
rpod,b3067,,1,0.783,1.0,1.0,,0,0.7,translation/replication,0.4626,40
moba,b3857,,0,0.745,1.0,0.318,1.0,0,0.9,enzyme,0.4617,41
gpsa,b3608,,0,0.911,0.562,0.917,1.0,0,0.9,enzyme,0.4615,42
pyrh,b0171,,1,0.9,1.0,,,0,0.9,enzyme,0.4569,43
heml,b0154,,1,0.911,0.517,1.0,1.0,0,0.9,enzyme,0.443,44
