gene,ensg,fba_essential,hart_truth,subsystem,druggability
AARS1,ENSG00000090861,1,,Aminoacyl-tRNA biosynthesis,0.9
AHCTF1,ENSG00000153207,1,,Transport reactions,0.9
CARS1,ENSG00000110619,1,,Aminoacyl-tRNA biosynthesis,0.9
CYP1A2,ENSG00000140505,1,,Arachidonic acid metabolism,0.9
CYP24A1,ENSG00000019186,1,,Vitamin D metabolism,0.9
CYP26A1,ENSG00000095596,1,,Retinol metabolism,0.9
CYP26B1,ENSG00000003137,1,,Retinol metabolism,0.9
DARS1,ENSG00000115866,1,,Aminoacyl-tRNA biosynthesis,0.9
DDX19B,ENSG00000157349,1,,Transport reactions,0.9
DTYMK,ENSG00000168393,1,1,Pyrimidine metabolism,0.9
EPRS1,ENSG00000136628,1,,Aminoacyl-tRNA biosynthesis,0.9
FARSA,ENSG00000179115,1,1,Aminoacyl-tRNA biosynthesis,0.9
FARSB,ENSG00000116120,1,1,Aminoacyl-tRNA biosynthesis,0.9
GARS1,ENSG00000106105,1,,Aminoacyl-tRNA biosynthesis,0.9
GLE1,ENSG00000119392,1,,Transport reactions,0.9
HARS1,ENSG00000170445,1,,Aminoacyl-tRNA biosynthesis,0.9
IARS1,ENSG00000196305,1,,Aminoacyl-tRNA biosynthesis,0.9
KARS1,ENSG00000065427,1,,Aminoacyl-tRNA biosynthesis,0.9
LARS1,ENSG00000133706,1,,Aminoacyl-tRNA biosynthesis,0.9
MARS1,ENSG00000166986,1,,Aminoacyl-tRNA biosynthesis,0.9
MMAA,ENSG00000151611,1,,Transport reactions,0.9
MTPAP,ENSG00000107951,1,,Nucleotide metabolism,0.9
NADK,ENSG00000008130,1,,Nicotinate and nicotinamide metabolism,0.9
NARS1,ENSG00000134440,1,,Aminoacyl-tRNA biosynthesis,0.9
NDC1,ENSG00000058804,1,,Transport reactions,0.9
NUP107,ENSG00000111581,1,,Transport reactions,0.9
NUP133,ENSG00000069248,1,1,Transport reactions,0.9
NUP153,ENSG00000124789,1,,Transport reactions,0.9
NUP155,ENSG00000113569,1,1,Transport reactions,0.9
NUP160,ENSG00000030066,1,1,Transport reactions,0.9
NUP188,ENSG00000095319,1,,Transport reactions,0.9
NUP205,ENSG00000155561,1,,Transport reactions,0.9
NUP210,ENSG00000132182,1,,Transport reactions,0.9
NUP214,ENSG00000126883,1,1,Transport reactions,0.9
NUP35,ENSG00000163002,1,,Transport reactions,0.9
NUP37,ENSG00000075188,1,,Transport reactions,0.9
NUP42,ENSG00000136243,1,,Transport reactions,0.9
NUP43,ENSG00000120253,1,,Transport reactions,0.9
NUP50,ENSG00000093000,1,,Transport reactions,0.9
NUP54,ENSG00000138750,1,,Transport reactions,0.9
NUP58,ENSG00000139496,1,,Transport reactions,0.9
NUP62,ENSG00000213024,1,,Transport reactions,0.9
NUP85,ENSG00000125450,1,1,Transport reactions,0.9
NUP88,ENSG00000108559,1,1,Transport reactions,0.9
NUP93,ENSG00000102900,1,1,Transport reactions,0.9
NUP98,ENSG00000110713,1,,Transport reactions,0.9
POLR1A,ENSG00000068654,1,1,Nucleotide metabolism,0.9
POLR1B,ENSG00000125630,1,1,Nucleotide metabolism,0.9
POLR1C,ENSG00000171453,1,1,Nucleotide metabolism,0.9
POLR1D,ENSG00000186184,1,,Nucleotide metabolism,0.9
POLR1E,ENSG00000137054,1,,Nucleotide metabolism,0.9
POLR1H,ENSG00000066379,1,,Nucleotide metabolism,0.9
POLR2A,ENSG00000181222,1,1,Nucleotide metabolism,0.9
POLR2B,ENSG00000047315,1,1,Nucleotide metabolism,0.9
POLR2C,ENSG00000102978,1,1,Nucleotide metabolism,0.9
POLR2D,ENSG00000144231,1,1,Nucleotide metabolism,0.9
POLR2E,ENSG00000099817,1,1,Nucleotide metabolism,0.9
POLR2F,ENSG00000100142,1,,Nucleotide metabolism,0.9
POLR2G,ENSG00000168002,1,1,Nucleotide metabolism,0.9
POLR2H,ENSG00000163882,1,1,Nucleotide metabolism,0.9
POLR2I,ENSG00000105258,1,1,Nucleotide metabolism,0.9
POLR2J,ENSG00000005075,1,,Nucleotide metabolism,0.9
POLR2K,ENSG00000147669,1,,Nucleotide metabolism,0.9
POLR2L,ENSG00000177700,1,1,Nucleotide metabolism,0.9
POLR3A,ENSG00000148606,1,1,Nucleotide metabolism,0.9
POLR3B,ENSG00000013503,1,,Nucleotide metabolism,0.9
POLR3C,ENSG00000186141,1,1,Nucleotide metabolism,0.9
POLR3D,ENSG00000168495,1,,Nucleotide metabolism,0.9
POLR3E,ENSG00000058600,1,,Nucleotide metabolism,0.9
POLR3F,ENSG00000132664,1,,Nucleotide metabolism,0.9
POLR3H,ENSG00000100413,1,1,Nucleotide metabolism,0.9
POLR3K,ENSG00000161980,1,1,Nucleotide metabolism,0.9
POLRMT,ENSG00000099821,1,1,Nucleotide metabolism,0.9
POM121,ENSG00000196313,1,,Transport reactions,0.9
QARS1,ENSG00000172053,1,,Aminoacyl-tRNA biosynthesis,0.9
RAE1,ENSG00000101146,1,1,Transport reactions,0.9
RANBP2,ENSG00000153201,1,,Transport reactions,0.9
RARS1,ENSG00000113643,1,,Aminoacyl-tRNA biosynthesis,0.9
SARS1,ENSG00000031698,1,,Aminoacyl-tRNA biosynthesis,0.9
SEC13,ENSG00000157020,1,1,Transport reactions,0.9
SEH1L,ENSG00000085415,1,1,Transport reactions,0.9
SLC5A6,ENSG00000138074,1,,Transport reactions,0.9
TARS1,ENSG00000113407,1,,Aminoacyl-tRNA biosynthesis,0.9
TPK1,ENSG00000196511,1,,Thiamine metabolism,0.9
TPR,ENSG00000047410,1,,Transport reactions,0.9
VARS1,ENSG00000204394,1,,Aminoacyl-tRNA biosynthesis,0.9
WARS1,ENSG00000140105,1,,Aminoacyl-tRNA biosynthesis,0.9
YARS1,ENSG00000134684,1,,Aminoacyl-tRNA biosynthesis,0.9
81689,ENSG00000135070,0,,Lipoic acid metabolism,0.9
A4GALT,ENSG00000128274,0,,Glycosphingolipid biosynthesis-globo ser,0.9
A4GNT,ENSG00000118017,0,,Sphingolipid metabolism,0.9
AACS,ENSG00000081760,0,,Butanoate metabolism,0.9
AADAC,ENSG00000114771,0,,Acylglycerides metabolism,0.9
AADAT,ENSG00000109576,0,,Tryptophan metabolism,0.9
AANAT,ENSG00000129673,0,,Serotonin and melatonin biosynthesis,0.9
AASDH,ENSG00000157426,0,,Arachidonic acid metabolism,0.9
AASDHPPT,ENSG00000149313,0,,Pantothenate and CoA metabolism,0.9
AASS,ENSG00000008311,0,,Lysine metabolism,0.9
ABAT,ENSG00000183044,0,,"Valine, leucine, and isoleucine metaboli",0.9
ABCA1,ENSG00000165029,0,,Transport reactions,0.9
ABCA3,ENSG00000167972,0,,Transport reactions,0.9
ABCA4,ENSG00000198691,0,,Transport reactions,0.9
ABCA8,ENSG00000141338,0,,Transport reactions,0.9
ABCB1,ENSG00000085563,0,,Transport reactions,0.9
ABCB11,ENSG00000073734,0,,Bile acid recycling,0.9
ABCB4,ENSG00000005471,0,,Transport reactions,0.9
ABCB6,ENSG00000115657,0,,Transport reactions,0.9
ABCC1,ENSG00000103222,0,,Transport reactions,0.9
ABCC11,ENSG00000121270,0,,Bile acid recycling,0.9
ABCC2,ENSG00000023839,0,,Bile acid recycling,0.9
ABCC3,ENSG00000108846,0,,Bile acid recycling,0.9
ABCC4,ENSG00000125257,0,,Bile acid recycling,0.9
ABCC5,ENSG00000114770,0,,Transport reactions,0.9
ABCC8,ENSG00000006071,0,,Transport reactions,0.9
ABCC9,ENSG00000069431,0,,Transport reactions,0.9
ABCD1,ENSG00000101986,0,,Bile acid biosynthesis,0.9
ABCD2,ENSG00000173208,0,,Transport reactions,0.9
ABCD3,ENSG00000117528,0,,Transport reactions,0.9
ABCG1,ENSG00000160179,0,,Transport reactions,0.9
ABCG2,ENSG00000118777,0,,Transport reactions,0.9
ABCG5,ENSG00000138075,0,,Transport reactions,0.9
ABCG8,ENSG00000143921,0,0,Transport reactions,0.9
ABHD12,ENSG00000100997,0,,Acylglycerides metabolism,0.9
ABHD5,ENSG00000011198,0,,Glycerophospholipid metabolism,0.9
ABHD6,ENSG00000163686,0,,Acylglycerides metabolism,0.9
ABO,ENSG00000175164,0,,Glycosphingolipid biosynthesis-lacto and,0.9
ABTB2,ENSG00000166016,0,,Glyoxylate and dicarboxylate metabolism,0.9
ACAA1,ENSG00000060971,0,,Fatty acid oxidation,0.9
ACAA2,ENSG00000167315,0,,Arachidonic acid metabolism,0.9
ACACA,ENSG00000278540,0,,Fatty acid biosynthesis (even-chain),0.9
ACACB,ENSG00000076555,0,,Fatty acid biosynthesis (even-chain),0.9
ACAD11,ENSG00000240303,0,,Butanoate metabolism,0.9
ACAD8,ENSG00000151498,0,,Butanoate metabolism,0.9
ACAD9,ENSG00000177646,0,,Fatty acid oxidation,0.9
ACADL,ENSG00000115361,0,,Fatty acid oxidation,0.9
ACADM,ENSG00000117054,0,,Fatty acid oxidation,0.9
ACADS,ENSG00000122971,0,,Fatty acid oxidation,0.9
ACADSB,ENSG00000196177,0,,Beta oxidation of even-chain fatty acids,0.9
ACADVL,ENSG00000072778,0,,Beta oxidation of even-chain fatty acids,0.9
ACAT1,ENSG00000075239,0,,Tryptophan metabolism,0.9
ACAT2,ENSG00000120437,0,,Butanoate metabolism,0.9
ACE,ENSG00000159640,0,,Miscellaneous,0.9
ACE2,ENSG00000130234,0,,Miscellaneous,0.9
ACER1,ENSG00000167769,0,,Sphingolipid metabolism,0.9
ACER2,ENSG00000177076,0,,Sphingolipid metabolism,0.9
ACER3,ENSG00000078124,0,,Sphingolipid metabolism,0.9
ACHE,ENSG00000087085,0,,Glycerophospholipid metabolism,0.9
ACLY,ENSG00000131473,0,,Tricarboxylic acid cycle and glyoxylate/,0.9
ACMSD,ENSG00000153086,0,,"Phenylalanine, tyrosine and tryptophan b",0.9
ACO1,ENSG00000122729,0,,Tricarboxylic acid cycle and glyoxylate/,0.9
ACO2,ENSG00000100412,0,,Tricarboxylic acid cycle and glyoxylate/,0.9
ACOD1,ENSG00000102794,0,,C5-branched dibasic acid metabolism,0.9
ACOT1,ENSG00000184227,0,,Acyl-CoA hydrolysis,0.9
ACOT11,ENSG00000162390,0,,Fatty acid oxidation,0.9
ACOT12,ENSG00000172497,0,,Pyruvate metabolism,0.9
ACOT13,ENSG00000112304,0,,Acyl-CoA hydrolysis,0.9
ACOT2,ENSG00000119673,0,,Fatty acid activation (cytosolic),0.9
ACOT4,ENSG00000177465,0,,Fatty acid activation (cytosolic),0.9
ACOT6,ENSG00000205669,0,,Acyl-CoA hydrolysis,0.9
ACOT7,ENSG00000097021,0,,Acyl-CoA hydrolysis,0.9
ACOT8,ENSG00000101473,0,,Arachidonic acid metabolism,0.9
ACOT9,ENSG00000123130,0,,Bile acid biosynthesis,0.9
ACOX1,ENSG00000161533,0,,Fatty acid oxidation,0.9
ACOX2,ENSG00000168306,0,,Leukotriene metabolism,0.9
ACOX3,ENSG00000087008,0,,Arachidonic acid metabolism,0.9
ACP2,ENSG00000134575,0,,Purine metabolism,0.9
ACP3,ENSG00000014257,0,,Purine metabolism,0.9
ACP4,ENSG00000142513,0,,Nicotinate and nicotinamide metabolism,0.9
ACP5,ENSG00000102575,0,,Purine metabolism,0.9
ACP6,ENSG00000162836,0,,Nicotinate and nicotinamide metabolism,0.9
ACP7,ENSG00000183760,0,,Nicotinate and nicotinamide metabolism,0.9
ACSBG1,ENSG00000103740,0,,Fatty acid activation (cytosolic),0.9
ACSBG2,ENSG00000130377,0,,Fatty acid activation (cytosolic),0.9
ACSF2,ENSG00000167107,0,,Arachidonic acid metabolism,0.9
ACSF3,ENSG00000176715,0,,Arachidonic acid metabolism,0.9
ACSL1,ENSG00000151726,0,,Fatty acid activation (cytosolic),0.9
ACSL3,ENSG00000123983,0,,Fatty acid activation (cytosolic),0.9
ACSL4,ENSG00000068366,0,,Fatty acid activation (cytosolic),0.9
ACSL5,ENSG00000197142,0,,Fatty acid activation (cytosolic),0.9
ACSL6,ENSG00000164398,0,,Fatty acid activation (cytosolic),0.9
ACSM1,ENSG00000166743,0,,Fatty acid activation (cytosolic),0.9
ACSM2A,ENSG00000183747,0,,Fatty acid activation (cytosolic),0.9
ACSM2B,ENSG00000066813,0,,Fatty acid activation (cytosolic),0.9
ACSM3,ENSG00000005187,0,,Fatty acid activation (cytosolic),0.9
ACSM4,ENSG00000215009,0,,Fatty acid activation (cytosolic),0.9
ACSM5,ENSG00000183549,0,,Fatty acid activation (cytosolic),0.9
ACSS1,ENSG00000154930,0,,Propanoate metabolism,0.9
ACSS2,ENSG00000131069,0,,Propanoate metabolism,0.9
ACSS3,ENSG00000111058,0,,Propanoate metabolism,0.9
ACY1,ENSG00000243989,0,,Cysteine and methionine metabolism,0.9
ACY3,ENSG00000132744,0,,Histidine metabolism,0.9
ACYP1,ENSG00000119640,0,,Glycolysis / Gluconeogenesis,0.9
ACYP2,ENSG00000170634,0,,Glycolysis / Gluconeogenesis,0.9
ADA,ENSG00000196839,0,,Purine metabolism,0.9
ADA2,ENSG00000093072,0,,Purine metabolism,0.9
ADCY1,ENSG00000164742,0,,Purine metabolism,0.9
ADCY10,ENSG00000143199,0,,Purine metabolism,0.9
ADCY2,ENSG00000078295,0,,Purine metabolism,0.9
ADCY3,ENSG00000138031,0,,Purine metabolism,0.9
ADCY4,ENSG00000129467,0,,Purine metabolism,0.9
ADCY5,ENSG00000173175,0,,Purine metabolism,0.9
ADCY6,ENSG00000174233,0,,Purine metabolism,0.9
ADCY7,ENSG00000121281,0,,Purine metabolism,0.9
ADCY8,ENSG00000155897,0,,Purine metabolism,0.9
ADCY9,ENSG00000162104,0,,Purine metabolism,0.9
ADH1A,ENSG00000187758,0,,Glycerolipid metabolism,0.9
ADH1B,ENSG00000196616,0,,Glycerolipid metabolism,0.9
ADH1C,ENSG00000248144,0,,Glycerolipid metabolism,0.9
ADH4,ENSG00000198099,0,,Glycerolipid metabolism,0.9
ADH5,ENSG00000197894,0,,Glycerolipid metabolism,0.9
ADH6,ENSG00000172955,0,,Glycerolipid metabolism,0.9
ADH7,ENSG00000196344,0,0,Leukotriene metabolism,0.9
ADHFE1,ENSG00000147576,0,,Leukotriene metabolism,0.9
ADI1,ENSG00000182551,0,,Cysteine and methionine metabolism,0.9
ADK,ENSG00000156110,0,,Purine metabolism,0.9
ADO,ENSG00000181915,0,,Bile acid biosynthesis,0.9
ADPGK,ENSG00000159322,0,,Glycolysis / Gluconeogenesis,0.9
ADPRH,ENSG00000144843,0,,Protein modification,0.9
ADPRM,ENSG00000170222,0,,Glycerophospholipid metabolism,0.9
ADSL,ENSG00000239900,0,1,Purine metabolism,0.9
ADSS1,ENSG00000185100,0,,Purine metabolism,0.9
ADSS2,ENSG00000035687,0,,Purine metabolism,0.9
AFMID,ENSG00000183077,0,,"Phenylalanine, tyrosine and tryptophan b",0.9
AGA,ENSG00000038002,0,,Keratan sulfate degradation,0.9
AGK,ENSG00000006530,0,,Glycerolipid metabolism,0.9
AGL,ENSG00000162688,0,,Starch and sucrose metabolism,0.9
AGMAT,ENSG00000116771,0,,Arginine and proline metabolism,0.9
AGPAT1,ENSG00000204310,0,,Glycerophospholipid metabolism,0.9
AGPAT2,ENSG00000169692,0,,Glycerophospholipid metabolism,0.9
