organism,locus_tag,ppi_degree_high,ppi_degree_mid,ppi_max_score
styphimurium,thrL,653,1155,0.9909952
styphimurium,thrA,23,212,0.8054584
styphimurium,thrB,0,0,0.24805665
styphimurium,thrC,6,139,0.7396825
styphimurium,yaaA,0,0,0.3286701
styphimurium,yaaJ,0,0,0.2016231
styphimurium,talB,148,573,0.94076693
styphimurium,mog,0,0,0.20771752
styphimurium,yaaH,0,0,0.23788321
styphimurium,htgA,0,0,0.36790317
styphimurium,yaaI,38,270,0.8439893
styphimurium,dnaK,636,1133,0.9907659
styphimurium,dnaJ,0,0,0.28846696
styphimurium,bcfA,0,0,0.43069234
styphimurium,bcfB,0,0,0.27742815
styphimurium,bcfC,0,76,0.6802494
styphimurium,bcfD,37,266,0.8382887
styphimurium,bcfE,0,0,0.20104109
styphimurium,bcfF,0,0,0.24544552
styphimurium,bcfG,0,43,0.6158199
styphimurium,bcfH,41,288,0.84871256
styphimurium,nhaA,0,0,0.23791282
styphimurium,nhaR,0,0,0.20535325
styphimurium,rpsT,627,1119,0.99060374
styphimurium,yaaY,0,0,0.20098415
styphimurium,ribF,0,29,0.58346486
styphimurium,ileS,633,1138,0.9904552
styphimurium,lspA,0,0,0.38757288
styphimurium,lytB,100,477,0.92026407
styphimurium,citC2,0,0,0.29549593
styphimurium,citD2,33,234,0.8253573
styphimurium,citE2,233,689,0.96137804
styphimurium,citF2,0,0,0.4832713
styphimurium,citX2,355,826,0.97585255
styphimurium,citG2,0,0,0.24225135
styphimurium,dapB,160,583,0.9465962
styphimurium,carA,9,159,0.7656376
styphimurium,carB,73,409,0.89663553
styphimurium,caiF,0,22,0.57370925
styphimurium,caiE,0,0,0.21024324
styphimurium,caiD,238,686,0.96461505
styphimurium,caiC,0,3,0.5145583
styphimurium,caiB,0,30,0.5827831
styphimurium,caiA,189,618,0.95301425
styphimurium,caiT,0,0,0.33076283
styphimurium,fixA,0,0,0.33003923
styphimurium,fixB,0,0,0.29723436
styphimurium,fixC,381,855,0.97930074
styphimurium,fixX,0,0,0.26451775
styphimurium,yaaU,0,0,0.2344858
styphimurium,yabF,0,0,0.18526112
styphimurium,kefC,0,19,0.56971735
styphimurium,folA,0,3,0.51360184
styphimurium,apaH,603,1104,0.98980266
styphimurium,apaG,0,0,0.40317813
styphimurium,ksgA,210,662,0.95787823
styphimurium,pdxA,191,624,0.9519721
styphimurium,surA,763,1244,0.99282515
styphimurium,imp,308,786,0.9723246
styphimurium,djlA,0,0,0.18101011
styphimurium,rluA,327,783,0.9750949
styphimurium,hepA,357,820,0.9764757
styphimurium,polB,3,100,0.71439433
styphimurium,araD,70,405,0.8908837
styphimurium,araA,0,0,0.40482372
styphimurium,araB,45,294,0.85865676
styphimurium,araC,0,0,0.18793772
styphimurium,yabI,0,0,0.16910568
styphimurium,yabJ,0,0,0.20426619
styphimurium,yabK,0,0,0.21690899
styphimurium,tbpA,5,124,0.7357156
styphimurium,yabN,0,0,0.22726193
styphimurium,leuD,129,526,0.93546474
styphimurium,leuC,236,695,0.9623802
styphimurium,leuB,0,86,0.6914309
styphimurium,leuA,188,623,0.9502928
styphimurium,leuL,0,0,0.46875098
styphimurium,leuO,0,0,0.19479513
styphimurium,ilvI,0,24,0.57594645
styphimurium,ilvH,3,120,0.7258685
styphimurium,fruR,70,388,0.8893889
styphimurium,ftsL,381,865,0.97831285
styphimurium,ftsI,268,729,0.96816117
styphimurium,murE,117,518,0.92792076
styphimurium,murF,136,568,0.9333607
styphimurium,mraY,411,888,0.9804155
styphimurium,murD,339,799,0.9761125
