og_id,n_orgs_labeled,n_orgs_ess
OG00000,33,0
OG00001,27,9
OG00002,29,22
OG00003,44,26
OG00004,43,0
OG00005,34,0
OG00006,46,25
OG00007,13,1
OG00008,33,0
OG00009,38,8
OG00010,11,1
OG00011,2,0
OG00012,46,11
OG00013,44,1
OG00014,42,10
OG00015,4,0
OG00016,46,14
OG00017,34,1
OG00018,47,39
OG00019,48,29
OG00020,37,9
OG00021,44,1
OG00022,29,2
OG00023,2,0
OG00024,48,9
OG00025,42,0
OG00026,3,0
OG00027,46,39
OG00028,25,1
OG00029,10,8
OG00030,43,2
OG00031,44,10
OG00032,43,22
OG00033,9,0
OG00034,46,15
OG00035,19,1
OG00036,42,3
OG00037,11,2
OG00038,45,45
OG00039,46,46
OG00040,15,2
OG00041,41,11
OG00042,38,0
OG00043,5,0
OG00044,34,1
OG00045,47,7
OG00046,16,1
OG00047,37,13
OG00048,7,4
OG00049,26,5
OG00050,39,30
OG00051,24,7
OG00052,46,38
OG00053,40,24
OG00054,40,39
OG00055,48,5
OG00056,44,44
OG00057,28,4
OG00058,10,2
OG00059,44,17
OG00060,47,33
OG00061,48,8
OG00062,7,0
OG00063,3,0
OG00064,23,0
OG00065,6,2
OG00066,12,2
OG00067,35,7
OG00068,45,45
OG00069,42,42
OG00070,46,12
OG00071,46,10
OG00072,37,4
OG00073,2,0
OG00074,43,5
OG00075,48,23
OG00076,31,2
OG00077,12,2
OG00078,11,1
OG00079,48,11
OG00080,5,0
OG00081,5,0
OG00082,46,21
OG00083,15,0
OG00084,9,2
OG00085,37,6
OG00086,2,0
OG00087,11,6
OG00088,20,0
OG00089,37,14
OG00090,33,12
OG00091,37,4
OG00092,42,42
OG00093,36,2
OG00094,46,24
OG00095,35,0
OG00096,46,46
OG00097,2,0
OG00098,44,1
OG00099,48,7
OG00100,20,0
OG00101,45,14
OG00102,46,16
OG00103,11,0
OG00104,6,0
OG00105,18,0
OG00106,7,0
OG00107,17,4
OG00108,44,40
OG00109,27,0
OG00110,17,12
OG00111,40,23
OG00112,34,14
OG00113,5,1
OG00114,28,5
OG00115,39,0
OG00116,46,3
OG00117,16,0
OG00118,45,45
OG00119,31,3
OG00120,48,1
OG00121,46,45
OG00122,37,20
OG00123,13,0
OG00124,38,36
OG00125,36,0
OG00126,3,0
OG00127,21,0
OG00128,45,11
OG00129,42,1
OG00130,35,1
OG00131,37,20
OG00132,35,2
OG00133,7,0
OG00134,34,0
OG00135,45,21
OG00136,37,0
OG00137,21,0
OG00138,11,0
OG00139,2,0
OG00140,5,0
OG00141,12,0
OG00142,9,2
OG00143,46,46
OG00144,38,12
OG00145,2,0
OG00146,44,42
OG00147,28,1
OG00148,35,4
OG00149,32,0
OG00150,7,2
OG00151,48,45
OG00152,3,0
OG00153,22,1
OG00154,8,1
OG00155,29,4
OG00156,45,20
OG00157,5,0
OG00158,34,2
OG00159,10,8
OG00160,26,21
OG00161,33,4
OG00162,36,0
OG00163,35,19
OG00164,46,25
OG00165,44,5
OG00166,31,2
OG00167,45,36
OG00168,39,3
OG00169,2,0
OG00170,44,15
OG00171,37,2
OG00172,35,6
OG00173,32,4
OG00174,36,9
OG00175,6,0
OG00176,36,12
OG00177,16,0
OG00178,30,8
OG00179,7,1
OG00180,35,6
OG00181,35,3
OG00182,9,0
OG00183,48,45
OG00184,2,0
OG00185,38,17
OG00186,31,0
OG00187,5,0
OG00188,38,1
OG00189,44,14
OG00190,8,0
OG00191,17,0
OG00192,42,5
OG00193,44,7
OG00194,44,17
OG00195,46,19
OG00196,28,3
OG00197,36,0
OG00198,3,1
OG00199,29,0
OG00200,35,3
OG00201,42,16
OG00202,24,2
OG00203,22,2
OG00204,16,0
OG00205,34,27
OG00206,10,0
OG00207,4,0
OG00208,35,20
OG00209,40,11
OG00210,33,2
OG00211,9,7
OG00212,18,4
OG00213,9,0
OG00214,37,8
OG00215,37,3
OG00216,39,1
OG00217,18,0
OG00218,46,45
OG00219,29,6
OG00220,27,7
OG00221,37,0
OG00222,33,2
OG00223,9,1
OG00224,43,1
OG00225,21,0
OG00226,4,0
OG00227,10,0
OG00228,4,1
OG00229,2,1
OG00230,42,6
OG00231,44,2
OG00232,46,46
OG00233,2,1
OG00234,46,45
OG00235,45,2
OG00236,43,40
OG00237,11,0
OG00238,22,0
OG00239,25,1
OG00240,32,30
OG00241,3,0
OG00242,3,0
OG00243,40,37
OG00244,45,37
OG00245,46,35
OG00246,46,44
OG00247,44,0
OG00248,35,10
OG00249,29,0
OG00250,36,3
OG00251,2,0
OG00252,37,5
OG00253,15,1
OG00254,5,0
OG00255,37,4
OG00256,32,6
OG00257,40,0
OG00258,38,6
OG00259,30,5
OG00260,47,41
OG00261,44,13
OG00262,6,2
OG00263,2,0
OG00264,46,46
OG00265,46,24
OG00266,46,46
OG00267,40,6
OG00268,34,1
OG00269,12,0
OG00270,42,0
OG00271,4,0
OG00272,11,0
OG00273,11,2
OG00274,34,2
OG00275,28,1
OG00276,44,3
OG00277,39,0
OG00278,34,8
OG00279,46,46
OG00280,39,32
OG00281,45,45
OG00282,35,19
OG00283,13,3
OG00284,46,24
OG00285,8,0
OG00286,4,0
OG00287,42,35
OG00288,40,0
OG00289,2,0
OG00290,45,2
OG00291,3,0
OG00292,36,35
OG00293,39,2
OG00294,27,8
OG00295,22,9
OG00296,43,35
OG00297,33,1
OG00298,18,2
OG00299,43,2
OG00300,41,4
OG00301,35,30
OG00302,47,10
OG00303,22,2
OG00304,8,8
OG00305,46,21
OG00306,30,3
OG00307,13,0
OG00308,23,10
OG00309,15,3
OG00310,11,1
OG00311,3,1
OG00312,5,0
OG00313,38,0
OG00314,32,1
OG00315,25,0
OG00316,9,0
OG00317,8,1
OG00318,20,0
OG00319,34,34
OG00320,22,1
OG00321,12,5
OG00322,24,2
OG00323,3,1
OG00324,45,45
OG00325,2,0
OG00326,28,1
OG00327,7,0
OG00328,28,0
OG00329,34,2
OG00330,46,46
OG00331,33,3
OG00332,41,33
OG00333,25,4
OG00334,3,0
OG00335,10,5
OG00336,33,3
OG00337,46,5
OG00338,33,2
OG00339,32,7
OG00340,27,1
OG00341,24,4
OG00342,48,10
OG00343,30,1
OG00344,46,44
OG00345,46,9
OG00346,34,0
OG00347,43,3
OG00348,38,6
OG00349,36,1
OG00350,8,0
OG00351,3,0
OG00352,48,12
OG00353,39,1
OG00354,48,48
OG00355,40,3
OG00356,3,2
OG00357,12,1
OG00358,21,0
OG00359,8,0
OG00360,21,0
OG00361,48,11
OG00362,3,0
OG00363,47,39
OG00364,24,0
OG00365,31,7
OG00366,44,11
OG00367,25,2
OG00368,46,19
OG00369,23,0
OG00370,23,0
OG00371,11,2
OG00372,4,0
OG00373,37,11
OG00374,46,44
OG00375,13,0
OG00376,18,1
OG00377,15,0
OG00378,27,18
OG00379,36,6
OG00380,38,5
OG00381,40,23
OG00382,30,3
OG00383,8,0
OG00384,7,0
OG00385,18,17
OG00386,48,31
OG00387,43,4
OG00388,17,0
OG00389,47,0
OG00390,8,1
OG00391,48,10
OG00392,10,10
OG00393,48,29
OG00394,24,5
OG00395,31,1
OG00396,46,45
OG00397,40,13
OG00398,44,36
OG00399,46,44
OG00400,48,46
OG00401,29,2
OG00402,43,5
OG00403,39,8
OG00404,2,1
OG00405,46,9
OG00406,24,0
OG00407,31,6
OG00408,2,0
OG00409,4,0
OG00410,23,0
OG00411,26,3
OG00412,44,5
OG00413,48,39
OG00414,42,35
OG00415,38,28
OG00416,45,1
OG00417,40,9
OG00418,9,3
OG00419,24,0
OG00420,4,0
OG00421,20,0
OG00422,38,5
OG00423,27,17
OG00424,46,4
OG00425,46,9
OG00426,37,7
OG00427,45,1
OG00428,46,14
OG00429,9,0
OG00430,27,1
OG00431,42,4
OG00432,3,0
OG00433,10,7
OG00434,39,15
OG00435,41,3
OG00436,32,4
OG00437,10,1
OG00438,22,12
OG00439,8,2
OG00440,44,44
OG00441,37,29
OG00442,40,33
OG00443,17,0
OG00444,2,1
OG00445,43,0
OG00446,46,46
OG00447,35,8
OG00448,16,2
OG00449,17,2
OG00450,11,1
OG00451,45,30
OG00452,15,0
OG00453,40,4
OG00454,2,0
OG00455,39,13
OG00456,32,32
