organism,n_og_labeled,n_ess
beril_ANA3,3148,613
beril_BFirm,3801,1169
beril_Btheta,1814,480
beril_Burk376,3589,1014
beril_Caulo,2035,465
beril_Cola,2394,504
beril_Cup4G11,3314,726
beril_Dda3937,2958,530
beril_Ddia6719,2951,601
beril_DdiaME23,2962,507
beril_Dino,2326,725
beril_DvH,2183,516
beril_Dyella79,2320,530
beril_HerbieS,2552,677
beril_Kang,1664,437
beril_Keio,2703,428
beril_Korea,2116,551
beril_Koxy,3046,672
beril_MR1,2959,495
beril_Magneto,2059,863
beril_Marino,2382,586
beril_Methanococcus_JJ,1521,354
beril_Methanococcus_S2,1540,487
beril_Miya,2187,557
beril_PS,2069,709
beril_PV4,2827,772
beril_Pedo557,2417,495
beril_Phaeo,2282,646
beril_Ponti,2222,502
beril_Putida,3289,638
beril_RalstoniaBSBF1503,3510,919
beril_RalstoniaGMI1000,3360,896
beril_RalstoniaPSI07,3273,758
beril_RalstoniaUW163,3511,949
beril_SB2B,2758,507
beril_Smeli,2618,630
beril_SynE,1143,480
beril_SyringaeB728a,3877,758
beril_SyringaeB728a_mexBdelta,3877,794
beril_WCS417,3469,938
beril_acidovorax_3H11,2538,714
beril_azobra,2533,742
beril_psRCH2,2832,747
beril_pseudo13_GW456_L13,3259,663
beril_pseudo1_N1B4,3511,1135
beril_pseudo3_N2E3,3667,644
beril_pseudo5_N2C3_1,3840,723
beril_pseudo6_N2E2,3751,730
