locus,truth_DeJesus,conservation,n_orth,absent_from_feba,min_fit_sig
Rv0001,1,1.0,5,1,0.0
Rv0005,1,1.0,5,1,0.0
Rv0006,0,1.0,45,1,0.0
Rv0009,0,0.0,1,0,0.0
Rv0013,0,0.3111,45,1,0.0
Rv0021c,0,0.0,2,0,0.0
Rv0041,1,1.0,33,1,0.0
Rv0046c,0,0.0,3,1,0.0
Rv0053,0,1.0,4,1,0.0
Rv0055,0,1.0,9,1,0.0
Rv0056,0,0.6571,35,0,-1.964
Rv0060,1,0.3333,3,1,0.0
Rv0066c,0,0.5357,28,1,0.0
Rv0069c,0,0.0,37,0,0.0
Rv0070c,0,0.6047,43,0,0.0
Rv0075,0,0.0,9,0,0.0
Rv0084,0,0.6667,3,0,0.0
Rv0086,1,1.0,1,0,0.0
Rv0087,0,0.0,2,1,0.0
Rv0113,0,0.5333,15,0,0.0
Rv0115,0,0.0,1,0,0.0
Rv0117,0,1.0,4,0,0.0
Rv0118c,1,0.0,6,0,0.0
Rv0120c,0,0.0,3,0,0.0
Rv0126,0,0.0,1,1,0.0
Rv0130,0,0.1538,26,0,0.0
Rv0131c,0,0.0,2,0,0.0
Rv0137c,0,0.1,20,0,0.0
Rv0139,0,1.0,1,0,0.0
Rv0140,0,0.0,10,0,0.0
Rv0147,0,0.1333,30,0,0.0
Rv0148,0,0.0,14,0,0.0
Rv0154c,0,0.04,25,0,0.0
Rv0155,0,0.0417,24,0,-1.051
Rv0156,0,0.1905,21,1,0.0
Rv0157,0,0.0,36,0,1.219
Rv0161,0,0.4615,13,0,1.2
Rv0162c,0,1.0,2,0,0.0
Rv0163,0,0.3529,17,0,0.0
Rv0166,0,0.0,2,0,0.0
Rv0181c,0,0.0303,33,0,0.0
Rv0183,0,1.0,2,0,0.0
Rv0186,0,0.0,4,0,0.0
Rv0187,0,0.0,1,0,0.0
Rv0189c,1,0.2391,46,1,0.0
Rv0190,0,0.0,1,0,1.881
Rv0196,0,0.0,3,0,0.0
Rv0198c,0,0.0,10,0,0.0
Rv0208c,1,0.0417,24,0,1.695
Rv0211,0,0.0833,12,1,0.0
Rv0212c,0,0.0,1,0,0.0
Rv0214,0,0.2,5,0,0.0
Rv0215c,0,0.0,2,0,0.0
Rv0223c,0,0.2,30,0,0.0
Rv0234c,0,0.25,16,0,0.0
Rv0241c,0,0.0,1,0,4.422
Rv0242c,0,0.0625,16,0,1.92
Rv0243,0,0.087,23,0,1.577
Rv0244c,0,0.0,12,1,0.0
Rv0245,0,0.0,1,0,-1.974
Rv0252,0,0.0,25,0,0.0
Rv0253,0,0.3571,14,0,0.0
Rv0254c,0,0.1111,18,1,0.0
Rv0255c,0,0.1892,37,0,0.0
Rv0263c,0,0.0,6,0,0.0
Rv0264c,0,0.0,5,0,0.0
Rv0266c,0,0.0,6,0,0.0
Rv0267,0,0.0588,17,0,0.0
Rv0294,0,0.1111,18,0,0.0
Rv0306,0,0.2273,22,0,0.0
Rv0319,0,0.0,9,0,0.0
Rv0321,0,0.7692,13,0,0.0
Rv0322,0,0.4545,33,0,0.0
Rv0334,1,0.7561,41,1,0.0
Rv0337c,1,0.0968,31,1,0.0
Rv0346c,0,0.0,10,0,2.698
Rv0350,1,0.9111,45,1,0.0
Rv0352,1,0.6364,22,1,0.0
Rv0357c,1,0.8222,45,1,0.0
Rv0363c,0,0.8889,9,1,0.0
Rv0364,0,0.1304,23,1,0.0
Rv0366c,0,0.0,2,0,0.0
Rv0370c,0,0.0,11,0,0.0
Rv0373c,0,0.0,11,0,0.0
Rv0374c,0,0.3125,32,0,0.0
Rv0375c,0,0.0,1,0,0.0
Rv0376c,0,0.0,2,0,0.0
Rv0382c,0,0.75,4,1,0.0
Rv0384c,1,0.0,45,1,0.0
Rv0389,0,0.6364,33,0,0.0
Rv0390,0,0.25,12,0,1.066
Rv0391,0,0.125,24,0,1.51
Rv0392c,0,0.0,1,0,-2.632
Rv0400c,1,0.0,32,0,0.0
Rv0408,0,0.15,20,0,3.173
Rv0409,0,0.1724,29,0,2.068
