chromosome,gene,crispr_hit,log_dist,atac_enh,h3k27ac_enh,polr2a_enh,procap_enh,tf_count,promoter_atac,promoter_polii,gene_expr,abc_score
chr1,CEP104,1,4.9151359066220115,5.41983,6.49883,0.0,1.0,7,18.9205,68.58688,0.2528388500213623,0.0192541953
chr1,LRRC47,1,4.333245698961963,5.41983,6.49883,0.0,1.0,7,8.37122,90.24775,0.41264888644218445,0.0400592541
chr1,SMIM1,1,3.3432115901797474,5.41983,6.49883,0.0,1.0,7,13.3586,20.14594,0.11929475516080856,0.0
chr1,LRRC47,0,3.9141844334232463,0.684975,9.08815,0.0,1.0,1,8.37122,90.24775,0.41264888644218445,0.0
chr1,SMIM1,0,4.504090093259942,0.684975,9.08815,0.0,1.0,1,13.3586,20.14594,0.11929475516080856,0.0
chr1,SMIM1,0,5.549314762710945,0.0,0.0,0.0,0.0,0,13.3586,20.14594,0.11929475516080856,0.0
chr1,RPL22,0,5.956437859277778,0.337753,0.0,0.0,0.0,4,2.01389,38.64545,17.47304916381836,0.0
chr1,PARK7,0,5.386598832880463,7.15909,0.0,0.0,0.0,7,4.5928,91.68514,6.315622806549072,0.0
chr1,ENO1,1,4.320893709631824,0.934344,0.0,0.0,0.0,5,18.6679,145.2424,14.46187973022461,0.0176188209
chr1,PARK7,0,5.97580390147668,1.26263,0.0,0.0,0.0,0,4.5928,91.68514,6.315622806549072,0.0
chr1,ENO1,0,5.425139524439413,0.618687,0.0,0.0,0.0,0,18.6679,145.2424,14.46187973022461,0.0
chr1,DFFA,0,4.926933795802879,0.51452,0.0,0.0,0.0,1,5.21149,89.98366,0.6543015837669373,0.0
chr1,MAD2L2,0,5.279999836361079,0.801768,11.21716,0.0,1.0,1,0.0,0.0,0.9882623553276062,0.0
chr1,AGTRAP,0,5.16724346886112,9.22664,11.21716,39.47206,1.0,7,6.18056,33.49708,0.6894575357437134,0.0
chr1,MAD2L2,0,5.281964623259899,9.22664,11.21716,39.47206,1.0,7,0.0,0.0,0.9882623553276062,0.0
chr1,TARDBP,0,5.939876026211107,9.22664,11.21716,39.47206,1.0,7,10.4325,107.17418,1.0408238172531128,0.0
chr1,MAD2L2,0,5.509378624632057,1.06376,8.63177,0.0,0.0,1,0.0,0.0,0.9882623553276062,0.0
chr1,SRM,0,5.979892851177567,1.06376,8.63177,0.0,0.0,1,10.0631,65.84109,3.9143543243408203,0.0
chr1,SDHB,1,5.588150647896439,0.0,10.24764,0.0,0.0,2,12.6231,130.1047,0.7877858281135559,0.0
chr1,RP4-798A10.7,1,5.988267248469485,3.24179,6.34609,0.0,0.0,0,2.17803,146.34856,0.0,0.0
chr1,AKR7A2,0,5.890727767163915,1.03535,0.0,0.0,0.0,3,11.5183,148.68984,0.765275239944458,0.0
chr1,CAPZB,0,5.978154029189672,1.03535,0.0,0.0,0.0,3,10.5335,84.46477,1.4277695417404175,0.0
chr1,MRTO4,0,5.3735556066389325,0.915404,0.0,0.0,0.0,1,5.22412,117.16662,1.8304181098937988,0.0
chr1,CAPZB,0,5.585049929589579,2.22538,0.0,0.0,0.0,5,10.5335,84.46477,1.4277695417404175,0.0
chr1,AKR7A2,0,5.94721210654264,2.56945,0.0,19.95618,0.0,4,11.5183,148.68984,0.765275239944458,0.0
chr1,MRTO4,0,5.9759618297495445,2.56945,0.0,19.95618,0.0,4,5.22412,117.16662,1.8304181098937988,0.0
chr1,HP1BP3,0,5.756260216244486,0.64394,0.0,0.0,0.0,0,8.43435,103.48316,1.5123950242996216,0.0
chr1,MINOS1,0,5.792280299694236,0.64394,0.0,0.0,0.0,0,7.75568,117.36894,0.0,0.0
chr1,MRTO4,0,5.984652858056546,0.64394,0.0,0.0,0.0,0,5.22412,117.16662,1.8304181098937988,0.0
chr1,CDC42,0,5.578946201496125,0.637627,4.02775,0.0,1.0,1,8.44382,141.85971,2.4555976390838623,0.0
chr1,CDC42,0,5.416101048247853,0.571339,23.31268,23.62368,1.0,7,8.44382,141.85971,2.4555976390838623,0.0145150704
chr1,CDC42,0,4.9468156626129005,2.85038,0.0,0.0,0.0,1,8.44382,141.85971,2.4555976390838623,0.0
chr1,USP48,0,5.256597492762846,2.85038,0.0,0.0,0.0,1,7.01073,215.38891,0.9016100764274597,0.0
chr1,GALE,0,5.416424138189584,5.84912,0.0,0.0,1.0,6,8.35859,102.35482,0.25631099939346313,0.0
