organism,locus_tag,truth,og,w2,hole
beril_ANA3,7025326,0,OG00000,0.0,0
beril_ANA3,7022927,0,OG00001,0.375,0
beril_ANA3,7025873,0,OG00002,0.8462,0
beril_ANA3,7025883,1,OG00003,0.5332,0
beril_ANA3,7024261,1,OG00003,0.5332,0
beril_ANA3,7023534,1,OG00003,0.5332,0
beril_ANA3,7026004,1,OG00003,0.5332,0
beril_ANA3,7025305,1,OG00003,0.5332,0
beril_ANA3,7022782,0,OG00004,0.0,0
beril_ANA3,7026369,0,OG00005,0.0,0
beril_ANA3,7026587,0,OG00006,0.5909,0
beril_ANA3,7025400,0,OG00008,0.0,0
beril_ANA3,7023652,0,OG00009,0.2816,0
beril_ANA3,7026869,0,OG00012,0.2593,1
beril_ANA3,7026906,0,OG00012,0.2593,1
beril_ANA3,7026623,0,OG00013,0.0556,0
beril_ANA3,7024890,0,OG00013,0.0556,0
beril_ANA3,7025399,0,OG00014,0.3478,0
beril_ANA3,7025615,0,OG00014,0.3478,0
beril_ANA3,7023014,0,OG00016,0.381,0
beril_ANA3,7024545,0,OG00016,0.381,0
beril_ANA3,7023045,0,OG00016,0.381,0
beril_ANA3,7022650,0,OG00016,0.381,0
beril_ANA3,7023384,0,OG00016,0.381,0
beril_ANA3,7024708,0,OG00016,0.381,0
beril_ANA3,7026889,0,OG00016,0.381,0
beril_ANA3,7026043,0,OG00016,0.381,0
beril_ANA3,7026897,0,OG00016,0.381,0
beril_ANA3,7023705,0,OG00017,0.0259,0
beril_ANA3,7024209,0,OG00017,0.0259,0
beril_ANA3,7026591,0,OG00018,0.7692,1
beril_ANA3,7025231,0,OG00018,0.7692,1
beril_ANA3,7026801,1,OG00019,0.6982,0
beril_ANA3,7023010,1,OG00019,0.6982,0
beril_ANA3,7025459,1,OG00019,0.6982,0
beril_ANA3,7024070,1,OG00019,0.6982,0
beril_ANA3,7022744,1,OG00019,0.6982,0
beril_ANA3,7023116,1,OG00019,0.6982,0
beril_ANA3,7026543,1,OG00019,0.6982,0
beril_ANA3,7023606,1,OG00019,0.6982,0
beril_ANA3,7024505,1,OG00019,0.6982,0
beril_ANA3,7025242,1,OG00019,0.6982,0
beril_ANA3,7024513,1,OG00019,0.6982,0
beril_ANA3,7026293,1,OG00019,0.6982,0
beril_ANA3,7022759,1,OG00019,0.6982,0
beril_ANA3,7026297,1,OG00019,0.6982,0
beril_ANA3,7023871,1,OG00019,0.6982,0
beril_ANA3,7024766,1,OG00019,0.6982,0
beril_ANA3,7024696,1,OG00019,0.6982,0
beril_ANA3,7023173,1,OG00019,0.6982,0
beril_ANA3,7026456,1,OG00019,0.6982,0
beril_ANA3,7026328,1,OG00019,0.6982,0
beril_ANA3,7024659,1,OG00019,0.6982,0
beril_ANA3,7026428,1,OG00019,0.6982,0
beril_ANA3,7023287,1,OG00019,0.6982,0
beril_ANA3,7025887,1,OG00019,0.6982,0
