locus_tag,product,essential,conservation,n_paralogs,gene_len_aa,n_sisters_present,absent_in_a_sister,rogue
RS_RS25220,50S ribosomal protein L34,1,1.0,0.0,45,3,False,False
RS_RS00005,ribonuclease P protein component,1,1.0,0.0,144,3,False,False
RS_RS00010,membrane protein insertion efficiency factor YidD,0,0.2142857142857142,0.0,105,3,False,False
RS_RS00015,membrane protein insertase YidC,1,1.0,0.0,554,3,False,False
RS_RS00020,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,1,0.5641025641025641,0.0,475,3,False,False
RS_RS00025,low molecular weight protein tyrosine phosphatase family protein,0,0.0,0.0,108,2,True,False
RS_RS00035,30S ribosomal protein S21,1,1.0,0.0,71,3,False,False
RS_RS00040,efflux transporter outer membrane subunit,0,0.2631578947368421,19.0,515,3,False,False
RS_RS00045,efflux RND transporter permease subunit,0,0.0769230769230769,14.0,1050,3,False,False
RS_RS00050,efflux RND transporter periplasmic adaptor subunit,0,0.1794871794871795,13.0,399,3,False,False
RS_RS00055,TetR family transcriptional regulator,0,0.5365853658536586,15.0,220,3,False,False
RS_RS00060,patatin-like phospholipase family protein,0,0.0,0.0,298,3,False,False
RS_RS00065,dihydrolipoyl dehydrogenase family protein,1,0.902439024390244,3.0,471,3,False,False
RS_RS00070,DODA-type extradiol aromatic ring-opening family dioxygenase,0,0.0294117647058823,0.0,297,3,False,False
RS_RS00075,D-2-hydroxyacid dehydrogenase family protein,0,0.1951219512195122,4.0,343,3,False,False
RS_RS00080,phosphoenolpyruvate carboxykinase (GTP),0,0.125,0.0,623,3,False,False
RS_RS00085,winged helix-turn-helix domain-containing protein,0,0.0,0.0,280,3,False,False
RS_RS00090,DUF3617 domain-containing protein,1,0.0,0.0,155,3,False,True
RS_RS00095,2-oxo-tetronate isomerase,0,0.074074074074074,1.0,263,3,False,False
RS_RS00100,response regulator,1,0.4210526315789473,11.0,211,3,False,False
RS_RS00105,cache domain-containing protein,0,0.0,0.0,488,3,False,False
RS_RS00110,carbon starvation CstA family protein,0,0.04,0.0,687,3,False,False
RS_RS00115,YbdD/YjiX family protein,0,0.2352941176470588,0.0,65,3,False,False
RS_RS00120,tetratricopeptide repeat protein,0,0.0,0.0,253,3,False,False
RS_RS00125,phasin family protein,0,0.0,0.0,174,3,False,False
RS_RS00130,methionine biosynthesis protein MetW,0,0.05,0.0,216,3,False,False
RS_RS00135,homoserine O-succinyltransferase MetX,0,0.1071428571428571,0.0,404,3,False,False
RS_RS00140,NAD-dependent succinate-semialdehyde dehydrogenase,0,0.125,13.0,498,3,False,False
RS_RS00145,4-aminobutyrate--2-oxoglutarate transaminase,1,0.3658536585365853,6.0,427,3,False,False
RS_RS00150,PLP-dependent aminotransferase family protein,0,0.027027027027027,7.0,510,3,False,False
RS_RS00155,nucleoid occlusion factor SlmA,0,0.1428571428571428,0.0,219,3,False,False
RS_RS00160,pyrimidine 5'-nucleotidase,0,0.2307692307692307,0.0,288,3,False,False
RS_RS00165,acetylglutamate kinase,1,0.475,0.0,311,3,False,False
RS_RS00170,sigma-70 family RNA polymerase sigma factor,1,0.5526315789473685,6.0,198,3,False,False
RS_RS00175,zf-HC2 domain-containing protein,0,0.0,0.0,72,3,False,False
RS_RS00180,cysteine-rich CWC family protein,1,0.0,0.0,81,2,True,True
RS_RS00185,hypothetical protein,1,0.0,0.0,72,3,False,True
RS_RS00190,copper chaperone PCu(A)C,0,0.4166666666666667,0.0,168,3,False,False
RS_RS00195,ATP-binding protein,0,0.1481481481481481,0.0,449,3,False,False
RS_RS00200,response regulator transcription factor,0,0.4444444444444444,0.0,193,3,False,False
RS_RS00205,hypothetical protein,0,0.0,0.0,431,3,False,False
RS_RS00210,ATP-dependent protease ATPase subunit HslU,0,0.0833333333333333,0.0,444,3,False,False
RS_RS00215,ATP-dependent protease subunit HslV,0,0.1944444444444444,0.0,179,3,False,False
RS_RS00220,ABC transporter substrate-binding protein,0,0.088235294117647,5.0,531,3,False,False
RS_RS00225,zinc metallochaperone GTPase ZigA,0,0.2571428571428571,2.0,433,3,False,False
RS_RS00230,RNA polymerase-binding protein DksA,0,0.5,0.0,140,3,False,False
RS_RS00235,CobW family GTP-binding protein,0,0.2571428571428571,2.0,363,3,False,False
RS_RS00240,Fur family transcriptional regulator,1,0.8461538461538461,2.0,173,3,False,False
RS_RS00245,lactonase family protein,0,0.0434782608695652,1.0,419,3,False,False
RS_RS00250,FAD-dependent oxidoreductase,0,0.0,0.0,509,3,False,False
RS_RS00255,class I SAM-dependent rRNA methyltransferase,0,0.0,0.0,398,3,False,False
RS_RS00260,tyrosine recombinase XerC,1,0.3902439024390244,2.0,330,3,False,False
RS_RS00265,DUF484 family protein,1,0.064516129032258,0.0,238,3,False,True
RS_RS00270,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,1,0.9666666666666668,0.0,489,3,False,False
RS_RS00275,dienelactone hydrolase family protein,0,0.0,0.0,326,3,False,False
RS_RS00280,hypothetical protein,0,0.0,0.0,167,3,False,False
