organism,locus_tag,product,essential,sd_score,sd_spacing,minus10_score,minus35_score,up_gc,up_at_run,down_gc,polyT_run,has_hairpin,intergenic_prev,first_in_operon
beril_Dda3937,DDA3937_RS00005,FMN-binding protein MioC,0,0.8333333333333334,8,0.8333333333333334,0.6666666666666666,0.48333333333333334,7,0.25806451612903225,7,1,,1
beril_Dda3937,DDA3937_RS00010,transcriptional regulator AsnC,0,0.6666666666666666,6,0.6666666666666666,0.8333333333333334,0.52,7,0.56,6,1,91.0,0
beril_Dda3937,DDA3937_RS00015,ATPase RavA stimulator ViaA,0,0.6666666666666666,7,0.5,0.8333333333333334,0.49333333333333335,6,0.5233333333333333,2,0,146.0,1
beril_Dda3937,DDA3937_RS00020,ATPase RavA,0,0.6666666666666666,8,0.5,0.6666666666666666,0.4033333333333333,11,0.52,2,1,5.0,0
beril_Dda3937,DDA3937_RS00025,low affinity potassium transporter Kup,0,0.6666666666666666,8,0.6666666666666666,0.5,0.4266666666666667,11,0.49666666666666665,2,1,275.0,1
beril_Dda3937,DDA3937_RS00030,D-ribose pyranase,0,0.6666666666666666,10,0.6666666666666666,0.8333333333333334,0.44333333333333336,9,0.5266666666666666,3,1,396.0,1
beril_Dda3937,DDA3937_RS00035,ribose ABC transporter ATP-binding protein RbsA,0,0.6666666666666666,5,0.6666666666666666,0.6666666666666666,0.5,6,0.5466666666666666,2,1,7.0,0
beril_Dda3937,DDA3937_RS00040,ribose ABC transporter permease,0,0.8333333333333334,12,0.5,0.6666666666666666,0.5466666666666666,7,0.49666666666666665,4,1,7.0,0
beril_Dda3937,DDA3937_RS00045,ribose ABC transporter substrate-binding protein RbsB,0,0.6666666666666666,6,0.6666666666666666,0.6666666666666666,0.51,7,0.5633333333333334,1,1,26.0,0
beril_Dda3937,DDA3937_RS00050,ribokinase,0,0.5,9,0.6666666666666666,0.8333333333333334,0.5733333333333334,9,0.5433333333333333,2,1,85.0,0
beril_Dda3937,DDA3937_RS00055,ribose operon transcriptional repressor RbsR,0,0.8333333333333334,5,0.5,0.5,0.5666666666666667,7,0.4866666666666667,4,1,3.0,0
beril_Dda3937,DDA3937_RS00080,molybdopterin-guanine dinucleotide biosynthesis protein MobB,0,0.8333333333333334,6,0.5,0.6666666666666666,0.5166666666666667,8,0.5933333333333334,2,1,5724.0,1
beril_Dda3937,DDA3937_RS00085,molybdenum cofactor guanylyltransferase MobA,0,0.6666666666666666,8,0.6666666666666666,0.6666666666666666,0.42333333333333334,10,0.5133333333333333,2,1,-8.0,0
beril_Dda3937,DDA3937_RS00090,YihD family protein,0,0.6666666666666666,8,0.6666666666666666,0.5,0.4866666666666667,6,0.48333333333333334,2,0,110.0,1
beril_Dda3937,DDA3937_RS00095,serine/threonine protein kinase,0,0.5,10,0.6666666666666666,0.6666666666666666,0.4533333333333333,10,0.49666666666666665,2,1,41.0,0
beril_Dda3937,DDA3937_RS00100,thiol:disulfide interchange protein DsbA,0,0.6666666666666666,10,0.6666666666666666,0.8333333333333334,0.5033333333333333,8,0.36333333333333334,5,1,22.0,0
beril_Dda3937,DDA3937_RS00105,DNA polymerase I,1,0.5,13,0.5,0.6666666666666666,0.3433333333333333,15,0.3566666666666667,2,1,378.0,1
beril_Dda3937,DDA3937_RS00110,ribosome biogenesis GTP-binding protein YihA/YsxC,1,0.5,11,0.6666666666666666,0.5,0.45,11,0.43666666666666665,2,0,151.0,1
beril_Dda3937,DDA3937_RS00115,Der GTPase-activating protein YihI,0,0.5,8,0.8333333333333334,0.5,0.4633333333333333,11,0.54,6,1,223.0,1
beril_Dda3937,DDA3937_RS00120,oxygen-independent coproporphyrinogen III oxidase,0,0.8333333333333334,7,0.3333333333333333,0.6666666666666666,0.54,6,0.49333333333333335,2,1,181.0,1
beril_Dda3937,DDA3937_RS22930,YshB family small membrane protein,1,0.6666666666666666,8,0.8333333333333334,0.6666666666666666,0.55,9,0.53,1,1,74.0,1
beril_Dda3937,DDA3937_RS00125,nitrogen regulation protein NR(I),0,0.6666666666666666,6,0.5,0.8333333333333334,0.57,7,0.51,4,1,146.0,1
beril_Dda3937,DDA3937_RS00130,nitrogen regulation protein NR(II),0,0.6666666666666666,7,0.8333333333333334,0.6666666666666666,0.46,9,0.5766666666666667,2,0,8.0,0
beril_Dda3937,DDA3937_RS00135,glutamate--ammonia ligase,0,0.6666666666666666,7,0.6666666666666666,0.6666666666666666,0.45666666666666667,6,0.44666666666666666,2,1,204.0,1
beril_Dda3937,DDA3937_RS00140,ribosome-dependent GTPase TypA,0,0.6666666666666666,7,0.8333333333333334,0.6666666666666666,0.46,7,0.4666666666666667,4,1,377.0,1
beril_Dda3937,DDA3937_RS00145,glucose-1-phosphatase,0,0.8333333333333334,4,0.6666666666666666,0.5,0.5033333333333333,11,0.5866666666666667,2,0,222.0,1
beril_Dda3937,DDA3937_RS00150,D-aminoacyl-tRNA deacylase,0,0.8333333333333334,12,0.6666666666666666,0.8333333333333334,0.54,8,0.5566666666666666,2,0,7.0,0
beril_Dda3937,DDA3937_RS00155,fatty acid biosynthesis protein FabY,0,0.6666666666666666,7,0.6666666666666666,0.5,0.5866666666666667,6,0.64,4,1,33.0,0
beril_Dda3937,DDA3937_RS00160,AsmA family protein,0,0.5,11,0.5,0.8333333333333334,0.49666666666666665,9,0.5833333333333334,3,1,63.0,1
beril_Dda3937,DDA3937_RS00165,nucleobase:cation symporter-2 family protein,0,0.8333333333333334,11,0.8333333333333334,0.8333333333333334,0.5233333333333333,8,0.47,5,1,155.0,1
beril_Dda3937,DDA3937_RS00170,ATP-dependent DNA helicase RecG,0,0.6666666666666666,4,0.6666666666666666,0.6666666666666666,0.62,4,0.53,4,1,181.0,1
beril_Dda3937,DDA3937_RS00175,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,0,0.3333333333333333,12,0.6666666666666666,0.5,0.5166666666666667,7,0.6033333333333334,2,1,-1.0,0
beril_Dda3937,DDA3937_RS00180,bifunctional GTP diphosphokinase/guanosine-3'%2C5'-bis pyrophosphate 3'-pyrophosphohydrolase,1,0.5,13,0.6666666666666666,0.5,0.5633333333333334,8,0.6,2,1,6.0,0
beril_Dda3937,DDA3937_RS00185,DNA-directed RNA polymerase subunit omega,0,0.6666666666666666,7,0.6666666666666666,0.8333333333333334,0.5333333333333333,9,0.54,3,1,24.0,0
beril_Dda3937,DDA3937_RS00190,guanylate kinase,1,0.5,13,0.6666666666666666,0.5,0.5366666666666666,7,0.5466666666666666,4,1,54.0,0
beril_Dda3937,DDA3937_RS00195,NAD-dependent DNA ligase LigB,0,1.0,7,0.3333333333333333,0.6666666666666666,0.54,7,0.38,3,1,306.0,1
beril_Dda3937,DDA3937_RS00200,kdo(2)-lipid A phosphoethanolamine 7''-transferase,0,0.6666666666666666,10,0.6666666666666666,0.8333333333333334,0.39666666666666667,9,0.53,2,0,366.0,1
beril_Dda3937,DDA3937_RS00210,tetratricopeptide repeat protein,0,0.3333333333333333,14,0.6666666666666666,0.8333333333333334,0.5466666666666666,8,0.42,2,1,660.0,1
beril_Dda3937,DDA3937_RS00215,SDR family oxidoreductase,1,0.6666666666666666,9,0.6666666666666666,0.6666666666666666,0.5666666666666667,6,0.5366666666666666,2,0,101.0,1
beril_Dda3937,DDA3937_RS00220,iron-containing redox enzyme family protein,0,0.8333333333333334,5,0.5,0.8333333333333334,0.48,14,0.55,1,0,4.0,0
beril_Dda3937,DDA3937_RS00225,MFS transporter,0,0.6666666666666666,14,0.6666666666666666,0.5,0.46,14,0.6266666666666667,3,1,265.0,1
beril_Dda3937,DDA3937_RS00230,LysR family transcriptional regulator,1,0.8333333333333334,5,0.5,0.5,0.6433333333333333,6,0.56,2,1,42.0,0
beril_Dda3937,DDA3937_RS00235,MFS transporter,0,0.6666666666666666,6,0.3333333333333333,0.5,0.5933333333333334,12,0.6133333333333333,2,1,168.0,1
beril_Dda3937,DDA3937_RS00240,histidine-type phosphatase,0,0.6666666666666666,7,0.5,0.5,0.4166666666666667,10,0.6566666666666666,2,1,118.0,1
beril_Dda3937,DDA3937_RS00245,carbohydrate ABC transporter permease,0,0.6666666666666666,4,0.6666666666666666,0.8333333333333334,0.4166666666666667,10,0.58,2,1,299.0,1
beril_Dda3937,DDA3937_RS00250,carbohydrate ABC transporter permease,0,0.8333333333333334,6,0.6666666666666666,0.6666666666666666,0.5733333333333334,9,0.6,3,1,11.0,0
beril_Dda3937,DDA3937_RS00255,extracellular solute-binding protein,0,0.6666666666666666,9,0.8333333333333334,0.6666666666666666,0.4766666666666667,10,0.67,2,1,-1.0,0
beril_Dda3937,DDA3937_RS00260,CehA/McbA family metallohydrolase,0,0.5,12,0.5,0.6666666666666666,0.59,6,0.66,1,1,-8.0,0
beril_Dda3937,DDA3937_RS00265,bile acid:sodium symporter,0,0.6666666666666666,5,0.5,0.6666666666666666,0.65,6,0.6166666666666667,2,1,145.0,1
beril_Dda3937,DDA3937_RS00270,hypothetical protein,0,0.8333333333333334,5,0.6666666666666666,0.6666666666666666,0.6466666666666666,7,0.5866666666666667,2,1,12.0,0
beril_Dda3937,DDA3937_RS00280,D-serine ammonia-lyase,0,0.8333333333333334,8,0.5,0.6666666666666666,0.5333333333333333,12,0.61,4,1,-1.0,0
beril_Dda3937,DDA3937_RS00285,hypothetical protein,0,1.0,5,0.5,0.6666666666666666,0.5433333333333333,12,0.45,2,1,376.0,1
beril_Dda3937,DDA3937_RS00295,ROK family transcriptional regulator,0,0.6666666666666666,7,0.5,0.5,0.5333333333333333,11,0.61,2,1,444.0,1
beril_Dda3937,DDA3937_RS00300,ABC transporter substrate-binding protein,0,0.8333333333333334,6,0.6666666666666666,0.8333333333333334,0.6133333333333333,11,0.62,2,1,100.0,1
beril_Dda3937,DDA3937_RS00305,carbohydrate ABC transporter permease,0,0.8333333333333334,2,0.3333333333333333,0.6666666666666666,0.59,5,0.6566666666666666,1,1,53.0,0
beril_Dda3937,DDA3937_RS00310,carbohydrate ABC transporter permease,0,0.6666666666666666,7,0.6666666666666666,0.6666666666666666,0.61,7,0.6066666666666667,2,1,-4.0,0
beril_Dda3937,DDA3937_RS00315,ABC transporter ATP-binding protein,0,0.6666666666666666,5,0.6666666666666666,0.6666666666666666,0.58,7,0.5866666666666667,2,1,4.0,0
beril_Dda3937,DDA3937_RS00320,endonuclease/exonuclease/phosphatase family protein,0,0.6666666666666666,7,0.6666666666666666,0.5,0.6666666666666666,7,0.44666666666666666,3,0,27.0,0
beril_Dda3937,DDA3937_RS00325,YdgH/BhsA/McbA family protein,0,0.6666666666666666,9,0.5,0.6666666666666666,0.4866666666666667,9,0.4766666666666667,2,1,198.0,1
beril_Dda3937,DDA3937_RS00330,HNH endonuclease family protein,0,0.8333333333333334,6,0.6666666666666666,0.8333333333333334,0.5266666666666666,9,0.55,3,1,123.0,1
beril_Dda3937,DDA3937_RS00335,AAA family ATPase,0,0.6666666666666666,5,0.5,0.8333333333333334,0.5933333333333334,5,0.56,1,1,-17.0,0
beril_Dda3937,DDA3937_RS00340,BaiN/RdsA family NAD(P)/FAD-dependent oxidoreductase,0,0.6666666666666666,5,0.5,0.6666666666666666,0.5066666666666667,11,0.5266666666666666,2,1,97.0,0
beril_Dda3937,DDA3937_RS00345,inorganic phosphate transporter PitA,0,0.5,10,0.5,0.8333333333333334,0.51,11,0.5766666666666667,1,1,303.0,1
beril_Dda3937,DDA3937_RS00350,universal stress protein UspB,0,0.8333333333333334,8,0.8333333333333334,0.6666666666666666,0.5166666666666667,8,0.5833333333333334,1,0,131.0,1
beril_Dda3937,DDA3937_RS00355,universal stress protein UspA,0,0.8333333333333334,6,0.5,0.6666666666666666,0.47,11,0.59,1,1,34.0,0
beril_Dda3937,DDA3937_RS00360,methyl-accepting chemotaxis protein,0,0.6666666666666666,9,0.6666666666666666,0.6666666666666666,0.46,6,0.5533333333333333,1,1,102.0,1
beril_Dda3937,DDA3937_RS00365,sugar-phosphatase,0,0.5,7,0.6666666666666666,0.6666666666666666,0.47333333333333333,6,0.55,2,0,-26.0,0
beril_Dda3937,DDA3937_RS00370,mannonate dehydratase,0,0.8333333333333334,6,0.8333333333333334,0.6666666666666666,0.5133333333333333,10,0.5533333333333333,2,1,305.0,1
beril_Dda3937,DDA3937_RS00375,FadR/GntR family transcriptional regulator,0,0.8333333333333334,4,0.6666666666666666,0.6666666666666666,0.5266666666666666,10,0.49,5,1,258.0,1
beril_Dda3937,DDA3937_RS00385,multiple stress resistance protein BhsA,0,0.8333333333333334,8,0.5,0.6666666666666666,0.5,5,0.53,2,0,123.0,1
beril_Dda3937,DDA3937_RS00390,DUF3748 domain-containing protein,0,0.8333333333333334,10,0.6666666666666666,0.6666666666666666,0.41333333333333333,9,0.4666666666666667,5,1,429.0,1
beril_Dda3937,DDA3937_RS00395,FGGY-family carbohydrate kinase,0,0.6666666666666666,7,0.6666666666666666,0.8333333333333334,0.47333333333333333,8,0.6166666666666667,4,1,282.0,1
beril_Dda3937,DDA3937_RS00400,signal transduction protein,0,0.8333333333333334,5,0.3333333333333333,0.6666666666666666,0.6266666666666667,6,0.6233333333333333,4,1,50.0,0
