locus_tag,true_essential,lnn_prob,ortholog_prior,n_orthologs,v15_call,v15_conf,v15_syn3a_partner,cascade_call,cascade_strategy
Rv0001,1,0.7316529750823975,1.0,4,1.0,0.8,JCVISYN3A_0001,0,ortholog_prior_alone
Rv0002,1,0.7368910312652588,,0,,0.0,,0,ortholog_prior_alone
Rv0003,0,0.7410346269607544,0.0,1,,0.0,,0,ortholog_prior_alone
Rv0004,0,0.7176642417907715,,0,,0.0,,0,ortholog_prior_alone
Rv0005,1,0.7281317710876465,1.0,7,1.0,0.9,JCVISYN3A_0006,0,ortholog_prior_alone
Rv0006,1,0.6746469736099243,1.0,7,1.0,0.9,JCVISYN3A_0007,0,ortholog_prior_alone
Rv0007,0,0.6005367040634155,,0,,0.0,,0,ortholog_prior_alone
Rv0008c,0,0.6267061233520508,,0,,0.0,,0,ortholog_prior_alone
Rv0009,0,0.36733996868133545,0.0,3,,0.0,,0,ortholog_prior_alone
Rv0010c,0,0.4566120505332947,,0,,0.0,,0,ortholog_prior_alone
Rv0011c,0,0.5064226388931274,,0,,0.0,,0,ortholog_prior_alone
Rv0012,0,0.3722626268863678,,0,,0.0,,0,ortholog_prior_alone
Rv0013,1,0.6225141882896423,0.3333333333333333,3,,0.0,,0,ortholog_prior_alone
Rv0014c,1,0.6744949221611023,,0,,0.0,,0,ortholog_prior_alone
Rv0015c,1,0.6407890319824219,,0,,0.0,,0,ortholog_prior_alone
Rv0016c,0,0.5889729857444763,,0,,0.0,,0,ortholog_prior_alone
Rv0017c,0,0.5458973050117493,1.0,1,,0.0,,0,ortholog_prior_alone
Rv0018c,1,0.5597148537635803,,0,,0.0,,0,ortholog_prior_alone
Rv0019c,0,0.5326322317123413,,0,,0.0,,0,ortholog_prior_alone
Rv0020c,1,0.6816781163215637,,0,,0.0,,0,ortholog_prior_alone
Rv0021c,0,0.3584957420825958,,0,,0.0,,0,ortholog_prior_alone
Rv0022c,0,0.6941958069801331,,0,,0.0,,0,ortholog_prior_alone
Rv0024,0,0.24646398425102234,,0,,0.0,,0,ortholog_prior_alone
Rv0025,0,0.19244350492954254,,0,,0.0,,0,ortholog_prior_alone
Rv0026,0,0.32160866260528564,,0,,0.0,,0,ortholog_prior_alone
Rv0027,0,0.2890245318412781,,0,,0.0,,0,ortholog_prior_alone
Rv0028,0,0.2714865207672119,,0,,0.0,,0,ortholog_prior_alone
Rv0029,0,0.32469433546066284,,0,,0.0,,0,ortholog_prior_alone
Rv0030,0,0.3587537407875061,,0,,0.0,,0,ortholog_prior_alone
Rv0032,0,0.18479837477207184,,0,,0.0,,0,ortholog_prior_alone
Rv0033,0,0.2141822725534439,,0,,0.0,,0,ortholog_prior_alone
Rv0034,0,0.5372304320335388,,0,,0.0,,0,ortholog_prior_alone
Rv0035,0,0.5924996137619019,,0,,0.0,,0,ortholog_prior_alone
Rv0036c,0,0.3302597105503082,,0,,0.0,,0,ortholog_prior_alone
Rv0037c,0,0.43122416734695435,,0,,0.0,,0,ortholog_prior_alone
Rv0038,0,0.5506784319877625,,0,,0.0,,0,ortholog_prior_alone
Rv0039c,0,0.5091077089309692,,0,,0.0,,0,ortholog_prior_alone
Rv0040c,0,0.38814979791641235,,0,,0.0,,0,ortholog_prior_alone
Rv0041,1,0.6200418472290039,1.0,7,1.0,0.8,JCVISYN3A_0634,0,ortholog_prior_alone
Rv0042c,0,0.38367390632629395,,0,,0.0,,0,ortholog_prior_alone
Rv0043c,0,0.43943774700164795,,0,,0.0,,0,ortholog_prior_alone
Rv0044c,0,0.4577850103378296,,0,,0.0,,0,ortholog_prior_alone
Rv0045c,0,0.30743756890296936,0.0,1,,0.0,,0,ortholog_prior_alone
Rv0046c,1,0.7237343788146973,,0,,0.0,,0,ortholog_prior_alone
Rv0047c,0,0.6147440671920776,,0,,0.0,,0,ortholog_prior_alone
Rv0048c,0,0.554833173751831,,0,,0.0,,0,ortholog_prior_alone
Rv0049,0,0.3982313275337219,,0,,0.0,,0,ortholog_prior_alone
Rv0050,0,0.5202579498291016,,0,,0.0,,0,ortholog_prior_alone
Rv0051,0,0.30137598514556885,,0,,0.0,,0,ortholog_prior_alone
Rv0052,0,0.31837183237075806,0.0,1,,0.0,,0,ortholog_prior_alone
Rv0053,1,0.7787848711013794,1.0,3,,0.0,,0,ortholog_prior_alone
Rv0054,1,0.489086389541626,0.5,2,,0.0,,0,ortholog_prior_alone
Rv0055,1,0.5101433992385864,1.0,5,,0.0,,0,ortholog_prior_alone
Rv0056,0,0.6724069714546204,0.2,5,1.0,0.9,JCVISYN3A_0833,0,ortholog_prior_alone
Rv0057,0,0.5662875771522522,,0,,0.0,,0,ortholog_prior_alone
Rv0058,1,0.7106027007102966,,0,,0.0,,0,ortholog_prior_alone
Rv0060,1,0.5348324179649353,,0,,0.0,,0,ortholog_prior_alone
Rv0061c,0,0.48929524421691895,,0,,0.0,,0,ortholog_prior_alone
Rv0062,0,0.20922695100307465,,0,,0.0,,0,ortholog_prior_alone
Rv0063,0,0.4787521958351135,,0,,0.0,,0,ortholog_prior_alone
Rv0064,0,0.5498387813568115,,0,,0.0,,0,ortholog_prior_alone
Rv0064A,0,0.4818774163722992,,0,,0.0,,0,ortholog_prior_alone
Rv0065,0,0.30863213539123535,,0,,0.0,,0,ortholog_prior_alone
Rv0066c,0,0.6653111577033997,0.0,1,,0.0,,0,ortholog_prior_alone
Rv0067c,0,0.2553378641605377,,0,,0.0,,0,ortholog_prior_alone
