organism,locus_tag,ortholog_prior,n_orthologs
styphimurium,thrL,0.5,0
styphimurium,thrA,0.5,0
styphimurium,thrB,0.5,0
styphimurium,thrC,1.0,1
styphimurium,yaaA,0.0,2
styphimurium,yaaJ,0.0,1
styphimurium,talB,0.5,2
styphimurium,mog,0.0,1
styphimurium,yaaH,0.5,0
styphimurium,htgA,0.5,0
styphimurium,yaaI,0.5,0
styphimurium,dnaK,0.8571428571428571,7
styphimurium,dnaJ,0.5714285714285714,7
styphimurium,bcfA,0.5,0
styphimurium,bcfB,0.0,1
styphimurium,bcfC,0.5,0
styphimurium,bcfD,0.5,0
styphimurium,bcfE,0.5,0
styphimurium,bcfF,0.5,0
styphimurium,bcfG,0.5,0
styphimurium,bcfH,0.0,1
styphimurium,nhaA,0.5,0
styphimurium,nhaR,0.5,0
styphimurium,rpsT,1.0,2
styphimurium,yaaY,0.5,0
styphimurium,ribF,1.0,4
styphimurium,ileS,1.0,6
styphimurium,lspA,1.0,2
styphimurium,lytB,0.5,2
styphimurium,citB,0.0,1
styphimurium,citA,0.0,1
styphimurium,oadG,0.5,0
styphimurium,citC,0.5,0
styphimurium,citC2,0.5,0
styphimurium,citD2,0.5,0
styphimurium,citE2,0.5,0
styphimurium,citF2,0.5,0
styphimurium,citX2,0.5,0
styphimurium,citG2,0.5,0
styphimurium,dapB,0.75,4
styphimurium,zntA,0.0,2
styphimurium,carA,0.6666666666666666,3
styphimurium,carB,0.6666666666666666,3
styphimurium,caiF,0.5,0
styphimurium,caiE,0.0,1
styphimurium,caiD,0.0,3
styphimurium,caiC,0.5,0
styphimurium,caiB,0.5,0
styphimurium,caiA,0.0,1
styphimurium,caiT,0.5,0
styphimurium,fixA,0.5,0
styphimurium,fixB,0.5,0
styphimurium,fixC,0.5,0
styphimurium,fixX,0.5,0
styphimurium,yaaU,0.5,0
styphimurium,caiD,0.0,3
styphimurium,yabF,0.5,0
styphimurium,kefC,0.0,1
styphimurium,folA,1.0,3
styphimurium,apaH,0.0,1
styphimurium,apaG,0.0,1
styphimurium,ksgA,0.16666666666666666,6
styphimurium,pdxA,1.0,1
styphimurium,surA,0.5,0
styphimurium,imp,0.5,0
styphimurium,djlA,0.5,0
styphimurium,rluA,0.3333333333333333,3
styphimurium,hepA,0.0,1
styphimurium,polB,0.5,0
styphimurium,araD,0.5,0
styphimurium,araA,0.5,0
styphimurium,araB,0.5,0
styphimurium,araC,0.5,0
styphimurium,yabI,0.5,0
styphimurium,yabJ,0.5,0
styphimurium,yabK,0.5,0
styphimurium,tbpA,0.5,0
styphimurium,yabN,0.5,0
styphimurium,leuD,0.0,1
styphimurium,leuC,0.0,1
styphimurium,leuB,0.5,2
styphimurium,leuA,0.0,1
styphimurium,leuL,0.5,0
styphimurium,leuO,0.5,0
styphimurium,ilvI,0.3333333333333333,3
styphimurium,ilvH,0.0,2
styphimurium,fruR,0.5,0
styphimurium,ftsL,0.5,0
styphimurium,ftsI,1.0,2
styphimurium,murE,1.0,3
styphimurium,murF,1.0,3
styphimurium,mraY,1.0,4
styphimurium,murD,1.0,3
styphimurium,ftsW,1.0,2
styphimurium,murG,1.0,3
styphimurium,murC,1.0,3
styphimurium,ftsQ,0.5,0
styphimurium,ftsA,0.5,0
styphimurium,ftsZ,0.8333333333333334,6
styphimurium,lpxC,0.5,2
styphimurium,yacA,0.5,0
styphimurium,secA,1.0,7
styphimurium,mutT,0.5,0
styphimurium,yacG,0.0,2
styphimurium,yacF,0.5,0
styphimurium,guaC,0.5,0
styphimurium,hofC,0.5,0
styphimurium,hofB,0.5,2
styphimurium,ppdD,0.5,0
styphimurium,nadC,1.0,2
styphimurium,ampD,0.0,1
styphimurium,ampE,0.5,0
styphimurium,aroP,0.0,1
styphimurium,pdhR,0.5,0
styphimurium,aceE,0.0,2
styphimurium,aceF,0.5,2
styphimurium,lpdA,0.4,5
styphimurium,yacH,0.5,0
styphimurium,acnB,0.0,1
styphimurium,yacL,0.5,0
styphimurium,kdgT,0.5,0
styphimurium,pdxA,1.0,1
styphimurium,speD,0.5,0
styphimurium,speE,0.5,0
styphimurium,yacC,0.5,0
styphimurium,gcd,0.0,1
styphimurium,hpt,0.8,5
styphimurium,yadF,0.0,1
styphimurium,yadG,0.0,2
styphimurium,yadH,0.0,2
styphimurium,stiH,0.5,0
styphimurium,stiC,0.5,0
styphimurium,stiB,0.5,0
styphimurium,stiA,0.5,0
styphimurium,yadI,0.0,1
styphimurium,yadE,0.5,0
styphimurium,panD,0.5,2
styphimurium,panC,1.0,2
styphimurium,panB,1.0,2
styphimurium,folK,1.0,1
styphimurium,pcnB,0.0,1
styphimurium,yadB,0.0,1
styphimurium,dksA,0.0,2
styphimurium,sfsA,0.0,1
styphimurium,ligT,0.0,1
styphimurium,hrpB,0.0,1
styphimurium,mrcB,0.0,1
styphimurium,fhuA,0.5,0
styphimurium,fhuC,0.5,0
styphimurium,fhuD,0.5,0
styphimurium,fhuB,0.5,0
styphimurium,stfA,0.5,0
styphimurium,stfC,0.5,0
styphimurium,stfD,0.5,0
styphimurium,stfE,0.5,0
styphimurium,stfF,0.5,0
styphimurium,stfG,0.5,0
styphimurium,hemL,1.0,1
styphimurium,yadR,0.3333333333333333,3
styphimurium,yadS,0.5,0
styphimurium,btuF,0.5,0
styphimurium,dgt,0.0,1
styphimurium,htrA,0.0,2
styphimurium,cdaR,0.5,0
styphimurium,yaeH,0.5,0
styphimurium,dapD,1.0,1
styphimurium,glnD,0.0,1
styphimurium,map,0.6,5
styphimurium,rpsB,1.0,7
styphimurium,tsf,1.0,7
styphimurium,pyrH,1.0,7
styphimurium,frr,1.0,6
styphimurium,dxr,1.0,3
styphimurium,uppS,1.0,3
styphimurium,cdsA,1.0,1
styphimurium,yaeL,0.0,1
styphimurium,yaeT,1.0,1
styphimurium,lpxD,1.0,2
styphimurium,fabZ,1.0,3
styphimurium,lpxA,1.0,1
styphimurium,lpxB,1.0,2
styphimurium,rnhB,0.0,3
styphimurium,dnaE,1.0,5
styphimurium,accA,1.0,3
styphimurium,ldcC,0.5,0
styphimurium,yaeR,0.5,0
styphimurium,mesJ,1.0,1
styphimurium,rof,0.5,0
styphimurium,yaeP,0.5,0
styphimurium,yaeQ,0.0,1
styphimurium,yaeJ,0.0,1
styphimurium,proS,1.0,4
styphimurium,yaeB,0.0,1
styphimurium,rcsF,0.5,0
styphimurium,yaeC,0.0,2
