organism,locus_tag,gene_name,length_aa,has_structure,fail_reason,rmsd_post_eq_nm,bonds_preserved_frac,temp_stability_score,overall_stability_score
syn3a,JCVISYN3A_0001,dnaA,450,False,,,,,
syn3a,JCVISYN3A_0002,dnaN,375,False,,,,,
syn3a,JCVISYN3A_0003,rnmV,180,False,,,,,
syn3a,JCVISYN3A_0004,ksgA,266,False,,,,,
syn3a,JCVISYN3A_0005,Uncharacterized protein,363,False,,,,,
syn3a,JCVISYN3A_0006,gyrB,634,False,,,,,
syn3a,JCVISYN3A_0007,gyrA,834,False,,,,,
syn3a,JCVISYN3A_0008,rnsD; uptD,325,False,,,,,
syn3a,JCVISYN3A_0009,rnsC; uptD,855,False,,,,,
syn3a,JCVISYN3A_0010,rnsA; uptA,538,False,,,,,
syn3a,JCVISYN3A_0011,rnsB; uptB,548,False,,,,,
syn3a,JCVISYN3A_0012,metRS,509,False,,,,,
syn3a,JCVISYN3A_0918,Imidazoleglycerol-phosphate de,220,False,,,,,
syn3a,JCVISYN3A_0913,tetM,639,False,,,,,
syn3a,JCVISYN3A_0025,rpsR,75,False,,,,,
syn3a,JCVISYN3A_0026,priB,146,False,,,,,
syn3a,JCVISYN3A_0027,rpsF,137,False,,,,,
syn3a,JCVISYN3A_0029,Uncharacterized FMN-dependent ,199,False,,,,,
syn3a,JCVISYN3A_0030,Uncharacterized ABC transporte,344,False,,,,,
syn3a,JCVISYN3A_0033,Uncharacterized protein,1052,False,,,,,
syn3a,JCVISYN3A_0034,Uncharacterized efflux ABC tra,1795,False,,,,,
syn3a,JCVISYN3A_0039,ftsH,648,False,,,,,
syn3a,JCVISYN3A_0040,tilS,401,False,,,,,
syn3a,JCVISYN3A_0042,Uncharacterized transcriptiona,275,False,,,,,
syn3a,JCVISYN3A_0043,yabD,240,False,,,,,
syn3a,JCVISYN3A_0044,holA,246,False,,,,,
syn3a,JCVISYN3A_0045,tmk,213,False,,,,,
syn3a,JCVISYN3A_0046,recR,196,False,,,,,
syn3a,JCVISYN3A_0047,dnaX,668,False,,,,,
syn3a,JCVISYN3A_0054,ahpC,149,False,,,,,
syn3a,JCVISYN3A_0060,Uncharacterized protein,274,False,,,,,
syn3a,JCVISYN3A_0061,serRS,422,False,,,,,
syn3a,JCVISYN3A_0063,dusB,324,False,,,,,
syn3a,JCVISYN3A_0064,lysRS,500,False,,,,,
syn3a,JCVISYN3A_0065,trxA,102,False,,,,,
syn3a,JCVISYN3A_0066,Low specificity hydrolase,280,False,,,,,
syn3a,JCVISYN3A_0076,asnRS,454,False,,,,,
syn3a,JCVISYN3A_0077,Uncharacterized hydrolase,279,False,,,,,
syn3a,JCVISYN3A_0079,tsaD,318,False,,,,,
syn3a,JCVISYN3A_0080,Uncharacterized protein,73,False,,,,,
syn3a,JCVISYN3A_0081,mnmE; trmE,452,False,,,,,
syn3a,JCVISYN3A_0082,rpsT,81,False,,,,,
syn3a,JCVISYN3A_0094,Uncharacterized protein,238,False,,,,,
syn3a,JCVISYN3A_0095,secA,944,False,,,,,
syn3a,JCVISYN3A_0097,yycJ,303,False,,,,,
syn3a,JCVISYN3A_0105,xseB,71,False,,,,,
syn3a,JCVISYN3A_0106,xseA,469,False,,,,,
syn3a,JCVISYN3A_0107,nusB,132,False,,,,,
syn3a,JCVISYN3A_0108,Uncharacterized lipoprotein,370,False,,,,,
syn3a,JCVISYN3A_0109,Deoxyribonuclease IV,289,False,,,,,
syn3a,JCVISYN3A_0113,bcsA,449,False,,,,,
syn3a,JCVISYN3A_0114,bcsB; cps,306,False,,,,,
syn3a,JCVISYN3A_0115,galU; gtaB,290,False,,,,,
syn3a,JCVISYN3A_0116,Uncharacterized protein,146,False,,,,,
syn3a,JCVISYN3A_0117,plsY,253,False,,,,,
syn3a,JCVISYN3A_0126,gluRS,483,False,,,,,
syn3a,JCVISYN3A_0127,Uncharacterized phosphohydrola,404,False,,,,,
syn3a,JCVISYN3A_0128,rpoE,142,False,,,,,
syn3a,JCVISYN3A_0129,pyrG,532,False,,,,,
syn3a,JCVISYN3A_0131,fbaA,297,False,,,,,
syn3a,JCVISYN3A_0132,ietA,353,False,,,,,
syn3a,JCVISYN3A_0133,ietS,757,False,,,,,
syn3a,JCVISYN3A_0137,rpmE,92,False,,,,,
syn3a,JCVISYN3A_0138,Uncharacterized protein,632,False,,,,,
syn3a,JCVISYN3A_0139,ytqI; orn,316,False,,,,,
syn3a,JCVISYN3A_0140,tdk,209,False,,,,,
syn3a,JCVISYN3A_0141,prfA,364,False,,,,,
syn3a,JCVISYN3A_0142,prmC,282,False,,,,,
syn3a,JCVISYN3A_0143,Uncharacterized protein,490,False,,,,,
syn3a,JCVISYN3A_0144,tsaC,166,False,,,,,
syn3a,JCVISYN3A_0145,Uncharacterized acetyltransfer,304,False,,,,,
syn3a,JCVISYN3A_0146,Uncharacterized protein,235,False,,,,,
syn3a,JCVISYN3A_0147,clsA,509,False,,,,,
syn3a,JCVISYN3A_0148,rpsL,139,False,,,,,
syn3a,JCVISYN3A_0149,rpsG,155,False,,,,,
syn3a,JCVISYN3A_0150,Translation elongation factor ,689,False,,,,,
syn3a,JCVISYN3A_0151,Translation elongation factor ,395,False,,,,,
syn3a,JCVISYN3A_0163,alaRS,896,False,,,,,
syn3a,JCVISYN3A_0164,Uncharacterized protein,164,False,,,,,
syn3a,JCVISYN3A_0165,amiC,414,False,,,,,
syn3a,JCVISYN3A_0166,Oligopeptide ABC transporter p,336,False,,,,,
syn3a,JCVISYN3A_0167,amiE,566,False,,,,,
syn3a,JCVISYN3A_0168,amiF,622,False,,,,,
syn3a,JCVISYN3A_0169,amiA,1033,False,,,,,
syn3a,JCVISYN3A_0195,potC,1036,False,,,,,
syn3a,JCVISYN3A_0196,potB,330,False,,,,,
syn3a,JCVISYN3A_0197,potA,351,False,,,,,
syn3a,JCVISYN3A_0198,rplT,119,False,,,,,
syn3a,JCVISYN3A_0199,rpmI,63,False,,,,,
syn3a,JCVISYN3A_0200,infC,181,False,,,,,
syn3a,JCVISYN3A_0201,def,200,False,,,,,
syn3a,JCVISYN3A_0202,rsmD,185,False,,,,,
syn3a,JCVISYN3A_0203,gmk,297,False,,,,,
syn3a,JCVISYN3A_0213,eno,451,False,,,,,
syn3a,JCVISYN3A_0214,pgpA,273,False,,,,,
syn3a,JCVISYN3A_0215,yrrK; yqgF,143,False,,,,,
syn3a,JCVISYN3A_0216,hptA,190,False,,,,,
