organism,locus_tag,og_id,pident
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0559,OG02665,42.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0834,OG00038,41.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1126,OG04236,39.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1737,OG02287,31.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3411,OG01478,60.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0328,OG00136,47.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0597,OG00281,63.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0700,OG02214,37.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2686,OG00939,52.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3255,OG03120,36.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3415,OG00057,51.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0637,OG00468,31.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1136,OG00162,38.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0707,OG02490,40.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1427,OG05042,50.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2925,OG00634,44.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2959,OG01149,37.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3030,OG01737,54.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2281,OG01739,30.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3372,OG00675,30.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0527,OG13945,38.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0868,OG00833,32.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1480,OG02404,45.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1743,OG13549,62.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0046,OG01621,38.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0335,OG00942,44.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0568,OG02884,59.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2299,OG01910,54.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2725,OG02298,44.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0093,OG05795,47.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0415,OG03108,39.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3052,OG02317,31.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0906,OG00018,64.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1196,OG01597,38.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1486,OG00988,52.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1935,OG00397,35.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1967,OG02343,37.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2955,OG00807,55.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3386,OG03356,45.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0156,OG02473,51.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0190,OG03331,44.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0262,OG02656,52.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1945,OG04225,40.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2627,OG00050,52.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2792,OG02810,44.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1339,OG00107,43.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1467,OG01365,32.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1692,OG01390,53.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2108,OG01809,51.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0823,OG01208,52.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0957,OG10770,40.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0927,OG10770,36.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2280,OG01365,47.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2868,OG01006,41.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3202,OG02355,38.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0028,OG00935,67.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0758,OG00442,42.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1571,OG02010,44.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2667,OG01870,31.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2869,OG02294,55.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3135,OG14678,38.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2839,OG14828,30.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0103,OG00014,32.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1299,OG00962,37.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1652,OG13972,39.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3158,OG01523,48.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0510,OG02382,48.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0574,OG02581,31.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3001,OG02779,51.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1824,OG00186,64.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2376,OG05153,48.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1916,OG00215,49.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2172,OG00987,65.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2204,OG00894,36.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2501,OG00790,30.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1406,OG01258,83.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1695,OG00737,39.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2811,OG13572,31.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0358,OG03026,32.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2220,OG00328,50.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2646,OG04102,39.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2140,OG01686,59.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2304,OG00605,31.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0451,OG01756,47.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0986,OG14037,47.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2290,OG13890,43.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2781,OG02723,66.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1492,OG03075,30.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1685,OG00564,52.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1845,OG00920,55.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2133,OG01549,44.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2494,OG02751,58.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3005,OG01351,45.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3402,OG05071,44.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1512,OG00445,47.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2278,OG04810,33.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2572,OG00797,36.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2970,OG03134,36.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0423,OG01560,34.6
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3309,OG00055,55.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0247,OG02284,48.9
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0525,OG01338,59.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0245,OG02787,39.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0655,OG11777,48.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1024,OG01873,70.3
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1252,OG02795,45.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0898,OG00116,40.7
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1058,OG00984,49.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1446,OG01591,50.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1671,OG02860,46.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0466,OG01387,48.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1969,OG00118,35.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2854,OG02452,33.8
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3088,OG14888,37.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2580,OG02826,55.2
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3081,OG01944,75.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_2387,OG00735,30.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_3082,OG00436,40.1
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0610,OG00841,45.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0711,OG01105,67.4
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1011,OG00671,36.5
deg_Acinetobacter_baumannii_ATCC_17978,A1S_0612,OG01234,46.0
deg_Acinetobacter_baumannii_ATCC_17978,A1S_1045,OG04122,50.0
