locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,cross_validated
HSERO_RS00005,,UNRESOLVED,unknown,0,E_cons_core,1,0.9683122981272082,0.02945908654077794,1.0,0.0,466,1,215.23,3,3,False
HSERO_RS00010,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry,1,0.9724912589976829,0.026955898174064293,1.0,0.0,369,1,213.36,3,3,True
HSERO_RS00015,,UNRESOLVED,unknown,0,E_cons_core,1,0.9410029301255076,0.06606204400620454,1.0,0.0,833,1,211.42,3,3,False
HSERO_RS00025,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_pangenome_some,0,0.1122214011343005,0.9731421009586433,0.0,0.0,1023,1,206.21,1,3,False
HSERO_RS00035,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_pangenome_some|N_long_lagging,0,0.2792129681005127,0.8441208848686134,0.0,0.0,443,0,202.83,2,3,False
HSERO_RS00040,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3093502563871109,0.8070716235221514,0.0,1.0,334,1,201.44,3,3,True
HSERO_RS00045,,UNRESOLVED,unknown,0,E_geometry,0,0.4197090711970034,0.7203549386157857,0.12,1.0,354,1,200.35,3,3,True
HSERO_RS00050,,UNRESOLVED,unknown,0,N_redundancy,0,0.4370571273432845,0.7129925756868508,0.1481481481481481,15.0,438,1,198.96,3,3,True
HSERO_RS00055,,UNRESOLVED,unknown,0,E_cons_core|F_core_redundant,1,0.9437960433925304,0.06958532080273154,0.8823529411764706,6.0,483,1,197.53,3,3,False
HSERO_RS00060,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.3127321527593438,0.7986452416912084,0.0,0.0,312,1,195.98,2,3,False
HSERO_RS00075,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.938438881085468,0.05890942268363732,0.7428571428571429,16.0,236,1,192.23,3,3,True
HSERO_RS00080,,UNRESOLVED,unknown,0,N_redundancy,1,0.6108548425365447,0.4396136268661865,0.3142857142857143,15.0,468,1,191.18,3,3,False
HSERO_RS00085,,CONFIDENT_NONESSENTIAL,non-essential,1,N_pangenome_strong,0,0.3985581944993815,0.7636880176597202,0.0,0.0,90,0,190.29,0,3,False
HSERO_RS00090,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2756680655657373,0.7914802935235956,0.0,0.0,426,1,189.26,3,3,False
HSERO_RS00095,,CONDITIONAL_SUSPECT,unknown,0,N_redundancy|N_long_lagging|P_conditional,0,0.3849049546624587,0.7054779736097879,0.1351351351351351,9.0,541,0,187.79,3,3,True
HSERO_RS00100,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_redundancy,0,0.1418969581895642,0.9195019816346088,0.0,4.0,914,1,185.28,3,3,True
HSERO_RS00105,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_pangenome_some,0,0.2157999375193851,0.8863177830334994,0.0,1.0,577,1,183.04,1,3,False
HSERO_RS00125,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.2781828478971924,0.8544907235369553,0.0,0.0,353,1,177.72,1,3,False
HSERO_RS00140,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.290088239458236,0.8265856681284196,0.0,0.0,327,1,175.7,1,3,False
HSERO_RS00145,,UNRESOLVED,unknown,0,E_cons_core|E_geometry,1,0.9006671437390034,0.09347240352468686,0.6,3.0,89,1,175.03,3,3,False
HSERO_RS00150,,CONDITIONAL_SUSPECT,unknown,0,N_redundancy|N_long_lagging|P_conditional,0,0.5124938577696577,0.5874120680977679,0.25,18.0,535,0,174.05,3,3,True
HSERO_RS00155,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_pangenome_strong,0,0.3500416706116321,0.7302504674417698,0.0,0.0,213,0,172.7,0,3,False
HSERO_RS00165,,CONDITIONAL_SUSPECT,unknown,0,N_score|N_redundancy|N_long_lagging|P_conditional,0,0.2137467625192909,0.8565242155680719,0.0294117647058823,24.0,791,0,170.64,3,3,True
HSERO_RS00170,,UNRESOLVED,unknown,0,N_pangenome_some,0,0.7344489894425537,0.24010792102211123,0.4090909090909091,3.0,337,0,168.83,1,3,False
HSERO_RS00175,,UNRESOLVED,unknown,0,E_cons_core|F_core_redundant,1,0.9301690723322767,0.06258995557451057,0.696969696969697,11.0,165,0,168.06,3,3,False
HSERO_RS00180,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core|N_pangenome_strong,0,0.978260372111072,0.014836870344839468,1.0,0.0,192,0,167.42,0,3,False
HSERO_RS00185,,UNRESOLVED,unknown,0,N_redundancy,0,0.4311549619036331,0.6119832425337127,0.1351351351351351,12.0,413,0,166.31,3,3,True
HSERO_RS00190,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.2973061430530718,0.729701711978216,0.0,0.0,332,1,165.06,1,3,False
HSERO_RS00195,,ROGUE_SUSPECT,unknown,0,N_score|N_long_lagging|P_rogue|P_conditional,0,0.2425071059068836,0.8316728997907213,0.0,0.0,501,0,163.79,3,3,False
HSERO_RS00200,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.9242168066818288,0.07491376221682042,0.6216216216216216,89.0,302,1,162.41,3,3,True
HSERO_RS00205,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.1802082502309336,0.8479768823736408,0.0,0.0,712,1,160.7,3,3,False
HSERO_RS00210,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_pangenome_some,0,0.2717248820304945,0.7923573072547296,0.0,0.0,375,1,158.98,2,3,False
HSERO_RS00225,,UNRESOLVED,unknown,0,E_geometry|N_pangenome_some,0,0.4581891784191316,0.554824983348997,0.1304347826086956,2.0,250,1,156.67,2,3,True
HSERO_RS00235,,UNRESOLVED,unknown,0,N_redundancy,0,0.415134824742137,0.6369455257557268,0.1351351351351351,12.0,424,0,154.56,3,3,True
HSERO_RS00240,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.9213044494172484,0.08632980126895257,0.6216216216216216,89.0,297,1,153.29,3,3,True
HSERO_RS00250,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry|N_pangenome_some,0,0.980497008694246,0.010117693402461951,1.0,0.0,84,1,151.71,1,3,False
HSERO_RS00255,,UNRESOLVED,unknown,0,E_cons_core|N_pangenome_some,0,0.753029336704791,0.2345553723134253,0.5714285714285714,0.0,609,1,150.67,1,3,False
HSERO_RS00265,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_pangenome_some,0,0.3374585730082715,0.7207402001815038,0.074074074074074,1.0,402,0,148.85,2,3,False
HSERO_RS00275,,UNRESOLVED,unknown,0,E_geometry,0,0.5108212720498272,0.5458960010545132,0.1724137931034483,1.0,191,1,147.13,3,3,True
HSERO_RS00280,,UNRESOLVED,unknown,0,N_redundancy,0,0.6190946133729707,0.4430423507397295,0.2857142857142857,11.0,289,0,146.39,3,3,False
