org_a,locus_a,org_b,locus_b,identity
ccrescentus,CCNA_00063,styphimurium,mviN,0.322
abaylyi,ACIAD0064,ccrescentus,CCNA_00063,0.368
ccrescentus,CCNA_00255,mtuberculosis,Rv2463,0.374
abaylyi,ACIAD1974,ccrescentus,CCNA_00255,0.302
ccrescentus,CCNA_03053,styphimurium,ygiD,0.523
abaylyi,ACIAD1112,ccrescentus,CCNA_03053,0.39
ccrescentus,CCNA_03469,styphimurium,argS,0.368
ccrescentus,CCNA_00321,styphimurium,rplU,0.45
abaylyi,ACIAD2939,ccrescentus,CCNA_00321,0.436
ccrescentus,CCNA_00321,saureus,rplU,0.45
ccrescentus,CCNA_00321,mtuberculosis,Rv2442c,0.425
ccrescentus,CCNA_00321,syn3a,JCVISYN3A_0501,0.362
ccrescentus,CCNA_01609,mtuberculosis,Rv3762c,0.48
ccrescentus,CCNA_02196,mtuberculosis,Rv0870c,0.491
ccrescentus,CCNA_02196,styphimurium,yccF,0.403
ccrescentus,CCNA_02135,mtuberculosis,Rv1445c,0.331
ccrescentus,CCNA_01610,saureus,leuA,0.484
ccrescentus,CCNA_01610,styphimurium,leuA,0.47
ccrescentus,CCNA_02611,styphimurium,STM3175,0.448
abaylyi,ACIAD2012,ccrescentus,CCNA_02611,0.379
saureus,rpsP,syn3a,JCVISYN3A_0362,0.55
mpne,MPN660,saureus,rpsP,0.54
mgenitalium,MG_446,saureus,rpsP,0.494
mtuberculosis,Rv2909c,saureus,rpsP,0.511
abaylyi,ACIAD3313,saureus,rpsP,0.452
saureus,rpsP,styphimurium,rpsP,0.391
saureus,miaA,styphimurium,miaA,0.36
mtuberculosis,Rv2727c,saureus,miaA,0.323
abaylyi,ACIAD2374,saureus,miaA,0.352
ccrescentus,CCNA_02183,saureus,miaA,0.32
ccrescentus,CCNA_02003,styphimurium,dnaE,0.418
abaylyi,ACIAD2089,ccrescentus,CCNA_02003,0.418
ccrescentus,CCNA_02003,mtuberculosis,Rv1547,0.353
ccrescentus,CCNA_02003,saureus,dnaE,0.319
ccrescentus,CCNA_02454,mtuberculosis,Rv0266c,0.589
saureus,SA0455,styphimurium,yjgF,0.495
abaylyi,ACIAD0029,saureus,SA0455,0.404
ccrescentus,CCNA_02886,saureus,SA0455,0.366
mtuberculosis,Rv2335,saureus,cysE,0.547
abaylyi,ACIAD2091,saureus,cysE,0.49
ccrescentus,CCNA_02734,saureus,cysE,0.442
saureus,cysE,styphimurium,cysE,0.451
ccrescentus,CCNA_03209,mtuberculosis,Rv0914c,0.555
ccrescentus,CCNA_00515,mtuberculosis,Rv1133c,0.514
mtuberculosis,Rv1133c,styphimurium,metE,0.48
mtuberculosis,Rv1133c,saureus,metE,0.436
mtuberculosis,Rv2916c,saureus,ffh,0.492
mtuberculosis,Rv2916c,styphimurium,ffh,0.503
abaylyi,ACIAD0839,mtuberculosis,Rv2916c,0.47
ccrescentus,CCNA_03768,mtuberculosis,Rv2916c,0.434
mtuberculosis,Rv2916c,syn3a,JCVISYN3A_0360,0.383
mpne,MPN061,mtuberculosis,Rv2916c,0.374
mgenitalium,MG_048,mtuberculosis,Rv2916c,0.364
abaylyi,ACIAD3573,mtuberculosis,Rv2977c,0.327
mtuberculosis,Rv2977c,styphimurium,thiL,0.354
ccrescentus,CCNA_01423,mtuberculosis,Rv2977c,0.338
ccrescentus,CCNA_02407,mtuberculosis,Rv3040c,0.33
ccrescentus,CCNA_00833,styphimurium,wraB,0.575
abaylyi,ACIAD3167,styphimurium,wraB,0.367
abaylyi,ACIAD3327,styphimurium,STM1549,0.397
abaylyi,ACIAD3540,saureus,SA2099,0.306
abaylyi,ACIAD3060,saureus,panC,0.443
saureus,panC,styphimurium,panC,0.405
mtuberculosis,Rv3602c,saureus,panC,0.403
ccrescentus,CCNA_02247,saureus,panC,0.397
saureus,SA2486,styphimurium,STM3166,0.45
ccrescentus,CCNA_02422,mtuberculosis,Rv2509,0.407
mtuberculosis,Rv2207,styphimurium,cobT,0.355
saureus,thiD,styphimurium,thiD,0.44
ccrescentus,CCNA_03331,styphimurium,thiD,0.439
mtuberculosis,Rv0422c,styphimurium,thiD,0.403
abaylyi,ACIAD0875,styphimurium,thiD,0.332
abaylyi,ACIAD3125,styphimurium,dfp,0.523
ccrescentus,CCNA_03827,styphimurium,dfp,0.5
saureus,SA1054,styphimurium,dfp,0.418
mtuberculosis,Rv1391,styphimurium,dfp,0.394
abaylyi,ACIAD2997,mtuberculosis,Rv1200,0.414
mtuberculosis,Rv1200,styphimurium,yhjE,0.399
ccrescentus,CCNA_01031,mtuberculosis,Rv1200,0.35
mtuberculosis,Rv1326c,styphimurium,glgB,0.495
abaylyi,ACIAD1403,styphimurium,nifU,0.816
saureus,SA0777,styphimurium,nifU,0.328
saureus,SA1307,syn3a,JCVISYN3A_0348,0.494
mpne,MPN475,saureus,SA1307,0.444
mgenitalium,MG_329,saureus,SA1307,0.431
abaylyi,ACIAD0565,saureus,SA1307,0.442
saureus,SA1307,styphimurium,engA,0.422
ccrescentus,CCNA_01726,saureus,SA1307,0.403
mtuberculosis,Rv1713,saureus,SA1307,0.392
saureus,vraR,styphimurium,narP,0.359
mtuberculosis,Rv0668,saureus,rpoC,0.517
abaylyi,ACIAD0308,mtuberculosis,Rv0668,0.432
ccrescentus,CCNA_00537,mtuberculosis,Rv0668,0.432
mtuberculosis,Rv0668,styphimurium,rpoC,0.421
mtuberculosis,Rv0668,syn3a,JCVISYN3A_0803,0.425
mpne,MPN515,mtuberculosis,Rv0668,0.382
mgenitalium,MG_340,mtuberculosis,Rv0668,0.385
mtuberculosis,Rv1422,saureus,SA0721,0.382
mtuberculosis,Rv1422,styphimurium,ybhK,0.361
saureus,SA0181,styphimurium,yecD,0.382
saureus,SA0588,styphimurium,sitD,0.359
mtuberculosis,Rv2733c,saureus,SA1134,0.41
mtuberculosis,Rv2733c,styphimurium,miaB,0.404
ccrescentus,CCNA_00054,mtuberculosis,Rv2733c,0.395
abaylyi,ACIAD3158,mtuberculosis,Rv2733c,0.37
mtuberculosis,Rv2889c,saureus,SA1100,0.407
mtuberculosis,Rv2889c,styphimurium,tsf,0.4
ccrescentus,CCNA_01999,mtuberculosis,Rv2889c,0.392
abaylyi,ACIAD2268,mtuberculosis,Rv2889c,0.355
mtuberculosis,Rv2889c,syn3a,JCVISYN3A_0539,0.323
mgenitalium,MG_433,mtuberculosis,Rv2889c,0.314
ccrescentus,CCNA_00068,mtuberculosis,Rv2982c,0.477
mtuberculosis,Rv2982c,saureus,gpsA,0.416
mtuberculosis,Rv2982c,styphimurium,gpsA,0.416
abaylyi,ACIAD1317,mtuberculosis,Rv2982c,0.423
ccrescentus,CCNA_00105,styphimurium,ychE,0.316
abaylyi,ACIAD0260,styphimurium,uvrY,0.492
saureus,SA2179,styphimurium,uvrY,0.353
abaylyi,ACIAD2430,styphimurium,rpsF,0.646
ccrescentus,CCNA_01741,styphimurium,rpsF,0.358
mtuberculosis,Rv0053,styphimurium,rpsF,0.354
saureus,rpsF,styphimurium,rpsF,0.301
abaylyi,ACIAD0268,ccrescentus,CCNA_00749,0.553
abaylyi,ACIAD0268,saureus,feoB,0.338
abaylyi,ACIAD0268,styphimurium,feoB,0.331
