gene,chrom,tss,essential,loeuf,is_tf,regulon_out,regulators_in,ppi_degree,n_pathways,cpg_promoter,enhancers,n_diseases,lineage_master
-,,,,,0,0,0,0,0,,,9,
A1BG,chr19,58353492,,1.208,0,0,0,3,2,0,124,0,
A1BG-AS1,chr19,58351969,,,0,0,0,0,0,0,121,0,
A1CF,chr10,50885675,,0.88,0,0,0,4,2,0,30,0,
A2M,chr12,9116229,,0.544,0,0,27,23,4,0,64,0,
A2M-AS1,chr12,9065176,,,0,0,0,0,0,1,59,0,
A2ML1,chr12,8822620,,0.952,0,0,1,0,0,0,81,1,
A2MP1,chr12,9234207,,,0,0,0,0,0,0,25,0,
A3GALT2,chr1,33321098,,1.764,0,0,0,0,0,0,143,0,
A4GALT,chr22,42721301,,1.654,0,0,1,1,1,0,166,1,
A4GNT,chr3,138132390,,0.739,0,0,0,0,1,0,54,0,
AA06,chr17,33533760,,,0,0,0,0,0,0,49,0,
AAAS,chr12,53321610,,0.988,0,0,0,30,32,1,99,2,
AACS,chr12,125065434,,1.088,0,0,5,2,1,1,100,0,
AACSP1,chr5,178818435,,,0,0,0,0,0,0,59,0,
AADAC,chr3,151814115,,0.944,0,0,0,0,1,0,67,0,
AADACL2,chr3,151733926,,1.652,0,0,0,0,0,0,32,0,
AADACL2-AS1,chr3,151928175,,,0,0,0,0,0,0,95,0,
AADACL3,chr1,12716109,,1.701,0,0,0,0,0,0,49,0,
AADACL4,chr1,12644084,,1.679,0,0,0,0,0,0,105,0,
AADACP1,chr3,151770455,,,0,0,0,0,0,0,49,0,
AADAT,chr4,170090387,,0.508,0,0,0,2,2,1,48,0,
AAED1,,,,1.801,0,0,0,0,0,,,0,
AAGAB,chr15,67255198,,1.037,0,0,0,0,0,1,53,2,
AAK1,chr2,69643739,,0.129,0,0,0,8,2,1,115,0,
AAMDC,chr11,77821113,,1.838,0,0,0,0,0,1,48,0,
AAMP,chr2,218270137,,0.411,0,0,0,4,4,1,166,0,
AANAT,chr17,76453350,,1.227,0,0,22,1,1,0,188,0,
AAR2,chr20,36236416,,1.348,0,0,3,14,0,1,73,0,
AARD,chr8,116938206,,1.103,0,0,0,0,0,1,41,0,
AARS,,,1,0.617,0,0,0,0,0,,,0,
AARS1,chr16,70289506,,,0,0,0,1,1,1,55,6,
AARS2,chr6,44313347,,0.835,0,0,1,1,1,1,111,2,
AARSD1,chr17,42964454,,1.108,0,0,0,0,0,1,86,0,
AASDH,chr4,56387508,,0.828,0,0,0,3,0,1,52,0,
AASDHPPT,chr11,106077661,,0.717,0,0,0,1,1,1,40,0,
AASS,chr7,122144249,,0.809,0,0,0,0,1,1,40,3,
AATBC,chr21,43812567,,,0,0,0,0,0,0,154,0,
AATF,chr17,36948953,,1.065,1,5,5,66,1,1,98,0,
AATK,chr17,81166221,,0.403,0,0,0,0,0,1,176,0,
ABALON,chr20,31721506,,,0,0,0,0,0,0,148,0,
ABAT,chr16,8674616,,0.567,0,0,0,0,1,1,98,2,
ABCA1,chr9,104928155,,0.486,0,0,54,7,4,1,109,4,
ABCA10,chr17,69244848,,0.968,0,0,0,0,1,0,33,0,
ABCA11P,chr4,474209,,,0,0,0,0,0,1,40,0,
ABCA12,chr2,215138626,,0.478,0,0,5,0,2,0,33,5,
ABCA13,chr7,48171457,,1.035,0,0,0,0,1,0,51,0,
ABCA17P,chr16,2340921,,,0,0,0,0,0,0,63,0,
ABCA2,chr9,137028922,,0.169,0,0,5,16,1,0,187,1,
ABCA3,chr16,2340728,,0.501,0,0,10,0,4,0,63,4,
ABCA4,chr1,94121148,,0.91,0,0,4,0,4,0,116,7,
ABCA5,chr17,69327133,,0.838,0,0,0,0,1,1,47,2,
ABCA6,chr17,69141895,,0.864,0,0,0,0,2,0,56,0,
ABCA7,chr19,1040106,,1.067,0,0,1,1,1,1,207,1,
ABCA8,chr17,68955392,,1.186,0,0,0,0,1,0,46,0,
ABCA9,chr17,69060927,,1.07,0,0,0,0,1,0,63,0,
ABCA9-AS1,chr17,69004713,,,0,0,0,0,0,0,41,0,
ABCB1,chr7,87713323,,0.473,0,0,121,1,4,0,15,2,
ABCB10,chr1,229558707,,0.937,0,0,1,2,1,1,80,0,
ABCB11,chr2,169031324,,0.638,0,0,23,0,3,0,83,4,
ABCB4,chr7,87475680,,0.508,0,0,2,0,3,1,52,5,
ABCB5,chr7,20615666,,1.127,0,0,1,1,1,0,38,0,
