locus_tag,product,function_tier,conditional,essential,conservation,dnds,n_orgs,live_ghost,priority
RS_RS12165,DUF934 domain-containing protein,live_ghost,core,1,0.381,0.215,26,1,10
RS_RS12810,DUF3579 domain-containing protein,live_ghost,conditional,1,0.8,0.06,11,1,10
RS_RS23595,DUF1304 domain-containing protein,live_ghost,conditional,1,0.0,0.157,11,1,10
RS_RS04670,hypothetical protein,live_ghost,conditional,1,0.167,0.083,11,1,10
RS_RS04955,DUF1841 family protein,live_ghost,conditional,1,0.6,0.067,10,1,10
RS_RS12385,DUF4126 domain-containing protein,live_ghost,conditional,1,0.2,0.102,10,1,10
RS_RS01800,DUF2970 domain-containing protein,live_ghost,conditional,1,0.5,0.106,9,1,9
RS_RS05555,hypothetical protein,live_ghost,conditional,1,0.5,0.182,9,1,9
RS_RS01670,hypothetical protein,live_ghost,conditional,1,0.0,0.064,9,1,9
RS_RS06130,DUF2065 domain-containing protein,live_ghost,conditional,1,0.25,0.209,8,1,9
RS_RS12055,hypothetical protein,live_ghost,conditional,1,1.0,0.116,7,1,9
RS_RS08990,DUF4936 family protein,live_ghost,conditional,1,0.0,0.244,6,1,9
RS_RS04250,hypothetical protein,live_ghost,conditional,1,0.0,0.085,6,1,9
RS_RS19905,hypothetical protein,live_ghost,conditional,1,0.0,0.097,6,1,9
RS_RS18355,hypothetical protein,live_ghost,conditional,1,0.0,0.157,6,1,9
RS_RS00185,hypothetical protein,live_ghost,conditional,1,0.0,0.216,5,1,9
RS_RS04240,DUF3489 domain-containing protein,live_ghost,conditional,1,1.0,0.21,5,1,9
RS_RS04195,hypothetical protein,live_ghost,conditional,1,1.0,0.262,5,1,9
RS_RS16165,hypothetical protein,live_ghost,conditional,1,1.0,0.094,5,1,9
RS_RS17850,hypothetical protein,live_ghost,conditional,1,0.0,0.118,5,1,9
RS_RS11570,hypothetical protein,live_ghost,conditional,1,0.0,0.268,5,1,9
RS_RS11740,hypothetical protein,live_ghost,conditional,1,,0.269,5,1,9
RS_RS05060,DUF3565 domain-containing protein,live_ghost,conditional,1,,0.071,5,1,9
RS_RS02315,hypothetical protein,live_ghost,conditional,1,,0.158,5,1,9
RS_RS18350,hypothetical protein,live_ghost,conditional,1,,0.205,5,1,9
RS_RS15490,DUF1484 domain-containing protein,live_ghost,conditional,1,,0.211,5,1,9
RS_RS16025,hypothetical protein,live_ghost,conditional,1,1.0,0.076,5,1,9
RS_RS12390,hypothetical protein,live_ghost,conditional,1,,0.231,4,1,9
RS_RS18750,hypothetical protein,live_ghost,conditional,1,,0.033,4,1,9
RS_RS04300,hypothetical protein,live_ghost,conditional,1,,0.122,4,1,9
RS_RS00090,DUF3617 domain-containing protein,live_ghost,conditional,1,,0.283,4,1,9
RS_RS04630,hypothetical protein,live_ghost,conditional,1,,0.069,4,1,9
RS_RS04310,hypothetical protein,live_ghost,conditional,1,,0.186,4,1,9
RS_RS11440,hypothetical protein,live_ghost,conditional,1,,0.19,4,1,9
RS_RS14540,hypothetical protein,live_ghost,conditional,1,,0.248,4,1,9
RS_RS02100,hypothetical protein,live_ghost,conditional,1,,0.237,4,1,9
RS_RS13460,hypothetical protein,live_ghost,conditional,1,,0.146,4,1,9
RS_RS24720,hypothetical protein,live_ghost,conditional,1,,0.261,4,1,9
RS_RS04390,DUF6127 family protein,live_ghost,conditional,1,,0.011,4,1,9
RS_RS04820,hypothetical protein,live_ghost,conditional,1,,0.12,4,1,9
RS_RS18360,DUF6587 family protein,live_ghost,conditional,1,,0.296,4,1,9
RS_RS03780,hypothetical protein,live_ghost,conditional,1,,0.144,4,1,9
RS_RS26220,hypothetical protein,live_ghost,conditional,1,0.0,0.073,3,1,9
RS_RS19760,hypothetical protein,live_ghost,conditional,1,0.0,0.13,3,1,9
RS_RS26550,DUF1328 domain-containing protein,live_ghost,conditional,1,,0.253,3,1,9
RS_RS10935,hypothetical protein,live_ghost,conditional,1,,0.232,3,1,9
RS_RS17845,hypothetical protein,live_ghost,conditional,1,,0.2,3,1,9
RS_RS12395,hypothetical protein,live_ghost,conditional,1,,0.177,3,1,9
RS_RS07320,hypothetical protein,live_ghost,conditional,1,,0.265,2,1,9
RS_RS25595,hypothetical protein,live_ghost,conditional,1,,0.098,2,1,9
RS_RS19375,hypothetical protein,live_ghost,conditional,1,,0.252,2,1,9
RS_RS04625,hypothetical protein,live_ghost,conditional,1,,0.3,2,1,9
RS_RS00265,DUF484 family protein,live_ghost,core,1,0.065,1.414,37,1,8
RS_RS21195,DUF4880 domain-containing protein,live_ghost,core,1,0.292,5.325,29,1,8
RS_RS05260,DUF4845 domain-containing protein,live_ghost,conditional,1,0.0,,13,1,8
RS_RS01415,DUF1840 domain-containing protein,live_ghost,conditional,1,0.333,,11,1,8
RS_RS03855,DUF72 domain-containing protein,live_ghost,buffered,0,0.033,0.224,35,1,7
RS_RS16700,DUF3820 family protein,live_ghost,buffered,0,0.125,0.078,30,1,7
RS_RS03795,DUF883 family protein,live_ghost,buffered,0,0.316,0.031,24,1,7
RS_RS12840,DUF3313 domain-containing protein,live_ghost,accessory,0,0.0,0.286,21,1,7
RS_RS12505,DUF192 domain-containing protein,live_ghost,accessory,0,0.188,0.082,21,1,7
RS_RS05595,hypothetical protein,live_ghost,accessory,0,0.0,0.157,20,1,7
RS_RS07455,DUF1653 domain-containing protein,live_ghost,accessory,0,0.067,0.207,20,1,7
RS_RS24560,DUF1993 domain-containing protein,live_ghost,accessory,0,0.118,0.177,20,1,7
RS_RS19135,DUF1345 domain-containing protein,live_ghost,accessory,0,0.0,0.192,20,1,7
RS_RS05615,DUF1330 domain-containing protein,live_ghost,accessory,0,0.2,0.226,20,1,7
RS_RS15325,DUF2160 domain-containing protein,live_ghost,accessory,0,0.533,0.25,20,1,7
RS_RS19930,DUF2147 domain-containing protein,live_ghost,accessory,0,0.0,0.187,19,1,7
RS_RS13650,DUF1624 domain-containing protein,live_ghost,accessory,0,0.0,0.188,19,1,7
RS_RS06580,DUF47 domain-containing protein,live_ghost,accessory,0,0.25,0.04,18,1,7
RS_RS05530,DUF899 domain-containing protein,live_ghost,accessory,0,0.0,0.143,17,1,7
RS_RS08320,DUF1501 domain-containing protein,live_ghost,accessory,0,0.091,0.084,16,1,7
RS_RS22715,DUF1272 domain-containing protein,live_ghost,accessory,0,0.364,0.237,16,1,7
RS_RS10265,DUF1178 family protein,live_ghost,accessory,0,0.182,0.218,16,1,7
RS_RS20045,DUF2784 domain-containing protein,live_ghost,accessory,0,0.0,0.232,15,1,7
RS_RS23410,DUF350 domain-containing protein,live_ghost,accessory,0,0.0,0.155,15,1,7
RS_RS03995,DUF2214 family protein,live_ghost,accessory,0,0.0,0.295,15,1,7
RS_RS15190,DUF2138 domain-containing protein,live_ghost,accessory,0,0.0,0.174,13,1,7
RS_RS06595,hypothetical protein,live_ghost,accessory,0,0.125,0.231,13,1,7
RS_RS10875,DUF979 domain-containing protein,live_ghost,accessory,0,0.0,0.21,12,1,7
RS_RS08005,DUF1223 domain-containing protein,live_ghost,accessory,0,0.429,0.245,12,1,7
RS_RS22610,DUF1795 domain-containing protein,live_ghost,accessory,0,0.0,0.075,12,1,7
RS_RS03550,DUF4337 domain-containing protein,live_ghost,accessory,0,0.0,0.069,11,1,7
RS_RS02770,DUF2889 domain-containing protein,live_ghost,accessory,0,0.0,0.272,11,1,7
RS_RS20485,DUF2783 domain-containing protein,live_ghost,accessory,0,0.6,0.102,10,1,7
RS_RS07445,hypothetical protein,live_ghost,accessory,0,0.0,0.095,10,1,7
RS_RS03840,DUF3079 domain-containing protein,live_ghost,accessory,0,0.5,0.083,10,1,7
RS_RS10430,DUF3619 family protein,live_ghost,accessory,0,0.2,0.272,10,1,7
RS_RS13920,hypothetical protein,live_ghost,accessory,0,0.0,0.128,10,1,7
RS_RS24265,DUF802 domain-containing protein,live_ghost,accessory,0,0.0,0.3,10,1,7
RS_RS20320,Rossmann-like and DUF2520 domain-containing protein,live_ghost,accessory,0,0.5,0.251,10,1,7
RS_RS24405,DUF1059 domain-containing protein,live_ghost,accessory,0,0.8,0.164,10,1,7
RS_RS10275,DUF2818 family protein,live_ghost,conditional,1,1.0,0.748,9,1,7
RS_RS02425,DUF3025 domain-containing protein,live_ghost,conditional,1,0.0,,9,1,7
RS_RS02815,DUF2946 family protein,live_ghost,conditional,1,0.0,0.3,9,1,7
RS_RS08120,hypothetical protein,live_ghost,conditional,1,0.0,,7,1,7
RS_RS08215,hypothetical protein,live_ghost,conditional,1,0.0,,7,1,7
RS_RS14500,hypothetical protein,live_ghost,conditional,1,1.0,0.339,6,1,7
RS_RS16095,DUF3489 domain-containing protein,live_ghost,conditional,1,1.0,,5,1,7
RS_RS03290,hypothetical protein,live_ghost,conditional,1,0.0,0.474,5,1,7
RS_RS02720,hypothetical protein,live_ghost,conditional,1,,,5,1,7
RS_RS06980,hypothetical protein,live_ghost,conditional,1,,0.555,5,1,7
RS_RS01270,DUF1289 domain-containing protein,live_ghost,conditional,1,,0.423,5,1,7
RS_RS04385,hypothetical protein,live_ghost,conditional,1,1.0,0.373,5,1,7
RS_RS17705,hypothetical protein,live_ghost,conditional,1,0.0,,5,1,7
RS_RS21130,hypothetical protein,live_ghost,conditional,1,,,4,1,7
