locus_a,locus_b,category,biological_rationale
JCVISYN3A_0439,JCVISYN3A_0835,A2_paralog_tight,ESM-2 cosine 0.997 (v15-nonessential pool)
JCVISYN3A_0876,JCVISYN3A_0878,A2_paralog_tight,ESM-2 cosine 0.996 (v15-nonessential pool)
JCVISYN3A_0033,JCVISYN3A_0636,A2_paralog_tight,ESM-2 cosine 0.996 (v15-nonessential pool)
JCVISYN3A_0439,JCVISYN3A_0440,A2_paralog_tight,ESM-2 cosine 0.996 (v15-nonessential pool)
JCVISYN3A_0034,JCVISYN3A_0399,A2_paralog_tight,ESM-2 cosine 0.996 (v15-nonessential pool)
JCVISYN3A_0398,JCVISYN3A_0636,A2_paralog_tight,ESM-2 cosine 0.996 (v15-nonessential pool)
JCVISYN3A_0164,JCVISYN3A_0296,A2_paralog_tight,ESM-2 cosine 0.995 (v15-nonessential pool)
JCVISYN3A_0077,JCVISYN3A_0728,A2_paralog_tight,ESM-2 cosine 0.994 (v15-nonessential pool)
JCVISYN3A_0399,JCVISYN3A_0639,A2_paralog_tight,ESM-2 cosine 0.994 (v15-nonessential pool)
JCVISYN3A_0440,JCVISYN3A_0835,A2_paralog_tight,ESM-2 cosine 0.994 (v15-nonessential pool)
JCVISYN3A_0033,JCVISYN3A_0398,A2_paralog_tight,ESM-2 cosine 0.994 (v15-nonessential pool)
JCVISYN3A_0248,JCVISYN3A_0538,A2_paralog_tight,ESM-2 cosine 0.993 (v15-nonessential pool)
JCVISYN3A_0373,JCVISYN3A_0530,A2_paralog_tight,ESM-2 cosine 0.992 (v15-nonessential pool)
JCVISYN3A_0146,JCVISYN3A_0530,A2_paralog_tight,ESM-2 cosine 0.992 (v15-nonessential pool)
JCVISYN3A_0066,JCVISYN3A_0728,A2_paralog_tight,ESM-2 cosine 0.992 (v15-nonessential pool)
JCVISYN3A_0108,JCVISYN3A_0439,A2_paralog_tight,ESM-2 cosine 0.992 (v15-nonessential pool)
JCVISYN3A_0034,JCVISYN3A_0639,A2_paralog_tight,ESM-2 cosine 0.991 (v15-nonessential pool)
JCVISYN3A_0439,JCVISYN3A_0505,A2_paralog_tight,ESM-2 cosine 0.991 (v15-nonessential pool)
JCVISYN3A_0286,JCVISYN3A_0373,A2_paralog_tight,ESM-2 cosine 0.991 (v15-nonessential pool)
JCVISYN3A_0296,JCVISYN3A_0827,A2_paralog_tight,ESM-2 cosine 0.991 (v15-nonessential pool)
JCVISYN3A_0108,JCVISYN3A_0835,A2_paralog_tight,ESM-2 cosine 0.991 (v15-nonessential pool)
JCVISYN3A_0164,JCVISYN3A_0601,A2_paralog_tight,ESM-2 cosine 0.990 (v15-nonessential pool)
JCVISYN3A_0296,JCVISYN3A_0601,A2_paralog_tight,ESM-2 cosine 0.990 (v15-nonessential pool)
JCVISYN3A_0066,JCVISYN3A_0077,A2_paralog_tight,ESM-2 cosine 0.990 (v15-nonessential pool)
JCVISYN3A_0728,JCVISYN3A_0907,A2_paralog_loose,ESM-2 cosine 0.990 (v15-nonessential pool)
JCVISYN3A_0346,JCVISYN3A_0530,A2_paralog_loose,ESM-2 cosine 0.990 (v15-nonessential pool)
JCVISYN3A_0505,JCVISYN3A_0835,A2_paralog_loose,ESM-2 cosine 0.989 (v15-nonessential pool)
JCVISYN3A_0326,JCVISYN3A_0530,A2_paralog_loose,ESM-2 cosine 0.989 (v15-nonessential pool)
JCVISYN3A_0440,JCVISYN3A_0505,A2_paralog_loose,ESM-2 cosine 0.989 (v15-nonessential pool)
JCVISYN3A_0108,JCVISYN3A_0440,A2_paralog_loose,ESM-2 cosine 0.989 (v15-nonessential pool)
JCVISYN3A_0296,JCVISYN3A_0538,A2_paralog_loose,ESM-2 cosine 0.989 (v15-nonessential pool)
JCVISYN3A_0077,JCVISYN3A_0710,A2_paralog_loose,ESM-2 cosine 0.988 (v15-nonessential pool)
JCVISYN3A_0033,JCVISYN3A_0439,A2_paralog_loose,ESM-2 cosine 0.988 (v15-nonessential pool)
JCVISYN3A_0146,JCVISYN3A_0373,A2_paralog_loose,ESM-2 cosine 0.988 (v15-nonessential pool)
