organism,locus_tag,product,cog,func_class,source
mtub,Rv0001,chromosomal replication initiator protein DnaA,,,gff_direct
mtub,Rv0002,DNA polymerase III subunit beta,,,gff_direct
mtub,Rv0003,DNA replication/repair protein RecF,,,gff_direct
mtub,Rv0004,hypothetical protein,,,gff_direct
mtub,Rv0005,DNA gyrase subunit B,,,gff_direct
mtub,Rv0006,DNA gyrase subunit A,,,gff_direct
mtub,Rv0007,membrane protein,,,gff_direct
mtub,Rv0008c,cell wall synthesis protein CwsA,,,gff_direct
mtub,Rv0009,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA,,,gff_direct
mtub,Rv0010c,membrane protein,,,gff_direct
mtub,Rv0011c,cell division protein CrgA,,,gff_direct
mtub,Rv0012,membrane protein,,,gff_direct
mtub,Rv0013,anthranilate synthase component II,,,gff_direct
mtub,Rv0014c,serine/threonine-protein kinase PknB,,,gff_direct
mtub,Rv0015c,serine/threonine-protein kinase PknA,,,gff_direct
mtub,Rv0016c,penicillin-binding protein PbpA,,,gff_direct
mtub,Rv0017c,cell division protein RodA,,,gff_direct
mtub,Rv0018c,phosphoserine/threonine phosphatase PstP,,,gff_direct
mtub,Rv0019c,FHA domain-containing protein FhaB,,,gff_direct
mtub,Rv0020c,FHA domain-containing protein FhaA,,,gff_direct
mtub,Rv0021c,hypothetical protein,,,gff_direct
mtub,Rv0022c,transcriptional regulator WhiB5,,,gff_direct
mtub,Rv0023,transcriptional regulator,,,gff_direct
mtub,Rv0024,NLP/P60 family protein,,,gff_direct
mtub,Rv0025,hypothetical protein,,,gff_direct
mtub,Rv0026,hypothetical protein,,,gff_direct
mtub,Rv0027,hypothetical protein,,,gff_direct
mtub,Rv0028,hypothetical protein,,,gff_direct
mtub,Rv0029,hypothetical protein,,,gff_direct
mtub,Rv0030,hypothetical protein,,,gff_direct
mtub,Rv0032,8-amino-7-oxononanoate synthase,,,gff_direct
mtub,Rv0033,acyl carrier protein AcpA,,,gff_direct
mtub,Rv0034,hypothetical protein,,,gff_direct
mtub,Rv0035,fatty-acid--CoA ligase FadD34,,,gff_direct
mtub,Rv0036c,hypothetical protein,,,gff_direct
mtub,Rv0037c,MFS-type transporter,,,gff_direct
mtub,Rv0038,hypothetical protein,,,gff_direct
mtub,Rv0039c,transmembrane protein,,,gff_direct
mtub,Rv0040c,hypothetical protein,,,gff_direct
mtub,Rv0041,leucine--tRNA ligase,,,gff_direct
mtub,Rv0042c,transcriptional regulator,,,gff_direct
mtub,Rv0043c,HTH-type transcriptional regulator,,,gff_direct
mtub,Rv0044c,oxidoreductase,,,gff_direct
mtub,Rv0045c,hydrolase,,,gff_direct
mtub,Rv0046c,inositol-3-phosphate synthase,,,gff_direct
mtub,Rv0047c,hypothetical protein,,,gff_direct
mtub,Rv0048c,membrane protein,,,gff_direct
mtub,Rv0049,hypothetical protein,,,gff_direct
