locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,ovote_ess,ovote_non,cross_validated
RPSI07_RS07890,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_ortho,1,0.9311417665525368,0.045799685079057274,1.0,0.0,526,1,8.54,3,3,43,0,True
RPSI07_RS07895,,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_geometry,1,0.9403557728316044,0.04474002881161054,0.9743589743589745,0.0,372,1,10.16,3,3,44,1,True
RPSI07_RS07900,,CONFIDENT_ESSENTIAL,essential,2,E_cons_core|E_ortho,1,0.8890375539300335,0.09165351883137458,1.0,0.0,839,1,12.12,3,3,40,0,True
RPSI07_RS07915,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_pangenome_strong|N_ortho,0,0.161762391890964,0.8962815073098485,0.0,0.0,477,1,18.69,0,3,0,2,False
RPSI07_RS07920,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_pangenome_strong|N_ortho,0,0.0793458499813359,0.9696380075313237,0.0,0.0,956,1,20.87,0,3,0,3,False
RPSI07_RS07925,,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_pangenome_strong|N_ortho,0,0.1984092835016053,0.8755041121430555,0.0,0.0,335,1,22.79,0,3,0,2,False
RPSI07_RS07930,,CONFIDENT_NONESSENTIAL,non-essential,3,N_score|N_pangenome_strong|N_ortho,0,0.1384903198162448,0.9387261264332132,0.0,0.0,592,1,24.18,0,3,0,2,False
RPSI07_RS24830,,UNRESOLVED,unknown,0,E_geometry|N_pangenome_some,0,0.4819408225198466,0.6426992405925808,0.2307692307692307,0.0,150,1,25.31,1,3,3,12,False
RPSI07_RS07935,,UNRESOLVED,unknown,0,E_cons_core|N_pangenome_some,1,0.6422959528341081,0.5025199907948985,0.5238095238095238,0.0,541,0,26.35,1,3,17,13,False
RPSI07_RS07940,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2755490249570743,0.7931986749048535,0.0,0.0,87,1,28.03,3,3,0,3,True
