organism,locus_tag,gene_name,product,essential,log_length_bp,gc,upstream_gc,upstream_at_skew,position_norm,operon_run_length,is_hypothetical,is_uncharacterized,is_putative,kw_replication,kw_transcription,kw_translation,kw_atp,kw_membrane,kw_synthase,kw_kinase,kw_dehydrogenase,kw_protease,kw_rrna,kw_chaperone,n_orthologs_total,n_orthologs_within_mollicutes,paralog_count_internal,mean_identity_to_orthologs,has_ortholog_in_abaumannii,has_ortholog_in_abaylyi,has_ortholog_in_bsubtilis,has_ortholog_in_ccrescentus,has_ortholog_in_ecoli,has_ortholog_in_ftularensis,has_ortholog_in_hinfluenzae,has_ortholog_in_hpylori,has_ortholog_in_kpneumoniae,has_ortholog_in_mgenitalium,has_ortholog_in_mpne,has_ortholog_in_mtuberculosis,has_ortholog_in_paeruginosa,has_ortholog_in_saureus,has_ortholog_in_spneumoniae,has_ortholog_in_styphimurium,has_ortholog_in_syn3a,has_ortholog_in_vcholerae
ccrescentus,CCNA_00001,,"pyruvate, phosphate dikinase regulatory protein",0,6.810142450115136,0.6479028697571744,0.69,0.0967741935483871,0.0001617639092845,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.32080000000000003,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ccrescentus,CCNA_00002,,Maf-family nucleoside triphosphate pyrophosphatase,0,6.398594934535208,0.6616666666666666,0.68,0.0,0.000347025634138,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00003,,shikimate 5-dehydrogenase,1,6.755768921984255,0.6864801864801865,0.59,-0.3170731707317073,0.0005263510687424,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.3485714285714286,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ccrescentus,CCNA_00004,,dephospho-CoA kinase,1,6.398594934535208,0.67,0.64,-0.0555555555555555,0.0007069132304821,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.34171428571428564,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ccrescentus,CCNA_00005,dnaQ,"DNA polymerase III, epsilon chain",1,6.572282542694008,0.6414565826330533,0.68,0.0625,0.0008770868842861,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.4162857142857143,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
ccrescentus,CCNA_00006,,enoyl-CoA hydratase/isomerase,0,6.672032945461067,0.6742712294043093,0.61,0.1794871794871795,0.0010921537330979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.44675000000000004,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ccrescentus,CCNA_00007,,SSU ribosomal protein S20P,1,5.6240175061873385,0.6557971014492754,0.67,-0.2121212121212121,0.0012607196416261,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.40788888888888886,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
ccrescentus,CCNA_00008,dnaA,chromosome replication initiator protein DnaA,1,7.295735072749282,0.6734555329260014,0.62,0.0,0.0015759613883894,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.3518461538461539,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ccrescentus,CCNA_00009,alkB,alkylated DNA repair protein AlkB,0,6.432940092739179,0.6747181964573269,0.67,-0.0909090909090909,0.0018500201215504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4243333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ccrescentus,CCNA_00010,dnaK,chaperone protein DnaK,1,7.5480289699350145,0.6476793248945147,0.62,0.4210526315789473,0.0022538115311943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,0.0,0.6154117647058823,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ccrescentus,CCNA_00011,dnaJ,chaperone protein DnaJ,0,7.055312843339752,0.6804835924006909,0.63,-0.2972972972972973,0.0026715779574659,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,1.0,0.4464705882352941,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ccrescentus,CCNA_00012,mutS,DNA mismatch repair protein MutS,0,7.905810312658931,0.7075958702064897,0.61,-0.3333333333333333,0.0031714630655151,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.36999999999999994,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
ccrescentus,CCNA_00014,moaC,Cyclic pyranopterin monophosphate synthase MoaC,0,6.169610732491456,0.6792452830188679,0.62,0.2105263157894736,0.0042680690162998,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.5645,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
ccrescentus,CCNA_00015,moaB,molybdenum cofactor biosynthesis protein B,0,6.315358001522335,0.6539855072463768,0.68,0.3125,0.004394338856804,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.4237777777777778,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
ccrescentus,CCNA_00016,moaE,"molybdopterin converting factor, large subunit",0,6.118097198041348,0.6821192052980133,0.72,-0.1428571428571428,0.0045186299338919,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.3989999999999999,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
