organism,locus_tag,og_id,prev_og_id,next_og_id,prev_locus_tag,next_locus_tag
beril_ANA3,7022495,OG09134,,OG03133,,7022497
beril_ANA3,7022497,OG03133,OG09134,OG02200,7022495,7022498
beril_ANA3,7022498,OG02200,OG03133,OG02704,7022497,7022499
beril_ANA3,7022499,OG02704,OG02200,OG00342,7022498,7022500
beril_ANA3,7022500,OG00342,OG02704,OG00032,7022499,7022501
beril_ANA3,7022501,OG00032,OG00342,OG09290,7022500,7022502
beril_ANA3,7022502,OG09290,OG00032,OG00424,7022501,7022509
beril_ANA3,7022509,OG00424,OG09290,OG00128,7022502,7022511
beril_ANA3,7022511,OG00128,OG00424,OG02692,7022509,7022512
beril_ANA3,7022512,OG02692,OG00128,OG00666,7022511,7022513
beril_ANA3,7022513,OG00666,OG02692,OG11878,7022512,7022515
beril_ANA3,7022515,OG11878,OG00666,OG11871,7022513,7022516
beril_ANA3,7022516,OG11871,OG11878,OG10702,7022515,7022517
beril_ANA3,7022517,OG10702,OG11871,OG01697,7022516,7022518
beril_ANA3,7022518,OG01697,OG10702,OG11838,7022517,7022519
beril_ANA3,7022519,OG11838,OG01697,OG03599,7022518,7022522
beril_ANA3,7022522,OG03599,OG11838,OG11472,7022519,7022532
beril_ANA3,7022532,OG11472,OG03599,OG03998,7022522,7022539
beril_ANA3,7022539,OG03998,OG11472,OG06659,7022532,7022542
beril_ANA3,7022542,OG06659,OG03998,OG11796,7022539,7022549
beril_ANA3,7022549,OG11796,OG06659,OG07114,7022542,7022554
beril_ANA3,7022554,OG07114,OG11796,OG04708,7022549,7022556
beril_ANA3,7022556,OG04708,OG07114,OG11883,7022554,7022559
beril_ANA3,7022559,OG11883,OG04708,OG11812,7022556,7022562
beril_ANA3,7022562,OG11812,OG11883,OG01689,7022559,7022566
beril_ANA3,7022566,OG01689,OG11812,OG11847,7022562,7022567
beril_ANA3,7022567,OG11847,OG01689,OG11823,7022566,7022573
beril_ANA3,7022573,OG11823,OG11847,OG05259,7022567,7022581
beril_ANA3,7022581,OG05259,OG11823,OG11811,7022573,7022591
beril_ANA3,7022591,OG11811,OG05259,OG08784,7022581,7022593
beril_ANA3,7022593,OG08784,OG11811,OG02725,7022591,7022595
beril_ANA3,7022595,OG02725,OG08784,OG02499,7022593,7022596
beril_ANA3,7022596,OG02499,OG02725,OG02105,7022595,7022599
beril_ANA3,7022599,OG02105,OG02499,OG11789,7022596,7022602
beril_ANA3,7022602,OG11789,OG02105,OG11845,7022599,7022603
beril_ANA3,7022603,OG11845,OG11789,OG09204,7022602,7022619
beril_ANA3,7022619,OG09204,OG11845,OG11853,7022603,7022623
beril_ANA3,7022623,OG11853,OG09204,OG11814,7022619,7022625
beril_ANA3,7022625,OG11814,OG11853,OG02191,7022623,7022641
beril_ANA3,7022641,OG02191,OG11814,OG02490,7022625,7022642
beril_ANA3,7022642,OG02490,OG02191,OG06741,7022641,7022643
beril_ANA3,7022643,OG06741,OG02490,OG04070,7022642,7022644
beril_ANA3,7022644,OG04070,OG06741,OG00016,7022643,7022650
beril_ANA3,7022650,OG00016,OG04070,OG00245,7022644,7022651
beril_ANA3,7022651,OG00245,OG00016,OG00128,7022650,7022652
beril_ANA3,7022652,OG00128,OG00245,OG03801,7022651,7022653
beril_ANA3,7022653,OG03801,OG00128,OG00605,7022652,7022654
beril_ANA3,7022654,OG00605,OG03801,OG00424,7022653,7022655
beril_ANA3,7022655,OG00424,OG00605,OG02191,7022654,7022656
beril_ANA3,7022656,OG02191,OG00424,OG00342,7022655,7022657
beril_ANA3,7022657,OG00342,OG02191,OG02237,7022656,7022662
beril_ANA3,7022662,OG02237,OG00342,OG01331,7022657,7022666
beril_ANA3,7022666,OG01331,OG02237,OG02341,7022662,7022668
beril_ANA3,7022668,OG02341,OG01331,OG02104,7022666,7022669
beril_ANA3,7022669,OG02104,OG02341,OG00666,7022668,7022670
beril_ANA3,7022670,OG00666,OG02104,OG11835,7022669,7022671
beril_ANA3,7022671,OG11835,OG00666,OG02101,7022670,7022672
beril_ANA3,7022672,OG02101,OG11835,OG02237,7022671,7022673
beril_ANA3,7022673,OG02237,OG02101,OG02747,7022672,7022674
beril_ANA3,7022674,OG02747,OG02237,OG00666,7022673,7022677
beril_ANA3,7022677,OG00666,OG02747,OG11852,7022674,7022678
beril_ANA3,7022678,OG11852,OG00666,OG02184,7022677,7022679
beril_ANA3,7022679,OG02184,OG11852,OG03819,7022678,7022680
beril_ANA3,7022680,OG03819,OG02184,OG03687,7022679,7022681
beril_ANA3,7022681,OG03687,OG03819,OG00322,7022680,7022682
beril_ANA3,7022682,OG00322,OG03687,OG01532,7022681,7022684
beril_ANA3,7022684,OG01532,OG00322,OG03819,7022682,7022687
beril_ANA3,7022687,OG03819,OG01532,OG01785,7022684,7022688
beril_ANA3,7022688,OG01785,OG03819,OG02184,7022687,7022689
beril_ANA3,7022689,OG02184,OG01785,OG00638,7022688,7022690
beril_ANA3,7022690,OG00638,OG02184,OG02906,7022689,7022693
beril_ANA3,7022693,OG02906,OG00638,OG10544,7022690,7022694
