organism,locus_tag,gene_name,product,essential,log_length_bp,gc,upstream_gc,upstream_at_skew,position_norm,operon_run_length,is_hypothetical,is_uncharacterized,is_putative,kw_replication,kw_transcription,kw_translation,kw_atp,kw_membrane,kw_synthase,kw_kinase,kw_dehydrogenase,kw_protease,kw_rrna,kw_chaperone
ccrescentus,CCNA_00001,,"pyruvate, phosphate dikinase regulatory protein",0,6.810142450115136,0.6479028697571744,0.69,0.0967741935483871,0.00016176390928458056,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00002,,Maf-family nucleoside triphosphate pyrophosphatase,0,6.398594934535208,0.6616666666666666,0.68,0.0,0.0003470256341380222,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00003,,shikimate 5-dehydrogenase,1,6.755768921984255,0.6864801864801865,0.59,-0.3170731707317073,0.0005263510687424885,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ccrescentus,CCNA_00004,,dephospho-CoA kinase,1,6.398594934535208,0.67,0.64,-0.05555555555555555,0.0007069132304821579,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00005,dnaQ,"DNA polymerase III, epsilon chain",1,6.5722825426940075,0.6414565826330533,0.68,0.0625,0.0008770868842861203,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00006,,enoyl-CoA hydratase/isomerase,0,6.672032945461067,0.6742712294043093,0.61,0.1794871794871795,0.0010921537330979595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00007,,SSU ribosomal protein S20P,1,5.6240175061873385,0.6557971014492754,0.67,-0.21212121212121213,0.0012607196416261576,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00008,dnaA,chromosome replication initiator protein DnaA,1,7.295735072749282,0.6734555329260014,0.62,0.0,0.0015759613883894572,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00009,alkB,alkylated DNA repair protein AlkB,0,6.432940092739179,0.6747181964573269,0.67,-0.09090909090909091,0.0018500201215504897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00010,dnaK,chaperone protein DnaK,1,7.5480289699350145,0.6476793248945147,0.62,0.42105263157894735,0.0022538115311943395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ccrescentus,CCNA_00011,dnaJ,chaperone protein DnaJ,0,7.055312843339752,0.6804835924006909,0.63,-0.2972972972972973,0.0026715779574659855,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ccrescentus,CCNA_00012,mutS,DNA mismatch repair protein MutS,0,7.905810312658931,0.7075958702064897,0.61,-0.3333333333333333,0.0031714630655151252,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00014,moaC,Cyclic pyranopterin monophosphate synthase MoaC,0,6.169610732491456,0.6792452830188679,0.62,0.21052631578947367,0.004268069016299816,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00015,moaB,molybdenum cofactor biosynthesis protein B,0,6.315358001522335,0.6539855072463768,0.68,0.3125,0.004394338856804065,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00016,moaE,"molybdopterin converting factor, large subunit",0,6.118097198041348,0.6821192052980133,0.72,-0.14285714285714285,0.004518629933891988,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00017,moaD,"molybdopterin converting factor, small subunit",0,5.484796933490655,0.7125,0.73,0.18518518518518517,0.004603345742653408,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00018,moaA,molybdenum cofactor biosynthesis protein A,0,6.957497370876951,0.6733333333333333,0.66,0.0,0.004763625579375745,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00019,,molybdopterin-guanine dinucleotide biosynthesis protein A,0,6.452048954437226,0.69826224328594,0.63,-0.08108108108108109,0.004979187119041665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccrescentus,CCNA_00020,,hypothetical protein,0,5.420534999272286,0.6577777777777778,0.67,-0.09090909090909091,0.005084308925533939,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
