locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,cross_validated
DDA3937_RS00005,,UNRESOLVED,unknown,0,,0,0.3585044666954672,0.7435371942259537,0.0555555555555555,1.0,148,0,89.04,2,2,False
DDA3937_RS00010,,UNRESOLVED,unknown,0,E_cons_core|F_core_redundant,0,0.8457011292427078,0.2025846141424341,0.5428571428571428,7.0,155,0,88.5,2,2,False
DDA3937_RS00015,,ROGUE_SUSPECT,unknown,0,N_score|N_long_lagging|P_rogue|P_conditional,0,0.1952724462991382,0.8843188544394796,0.0,0.0,492,0,87.38,2,2,False
DDA3937_RS00020,,ROGUE_SUSPECT,unknown,0,N_score|N_long_lagging|P_rogue|P_conditional,0,0.1938577499934136,0.886702441068958,0.0,0.0,499,0,85.89,2,2,False
DDA3937_RS00025,,UNRESOLVED,unknown,0,,0,0.3544584663903575,0.7380338630629073,0.24,0.0,623,1,83.93,2,2,True
DDA3937_RS00030,,UNRESOLVED,unknown,0,E_cons_core|E_geometry,0,0.8590644470075194,0.17952619605178227,0.5833333333333334,0.0,140,1,82.39,2,2,False
DDA3937_RS00035,,UNRESOLVED,unknown,0,N_redundancy,0,0.413642809817584,0.6923378266289328,0.2162162162162162,13.0,502,1,81.42,2,2,True
DDA3937_RS00040,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.5173072519048254,0.5679382512176554,0.2608695652173913,7.0,323,1,80.17,2,2,True
DDA3937_RS00045,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.491549967596297,0.5945606726705777,0.2307692307692307,6.0,296,1,79.22,2,2,True
DDA3937_RS00050,,UNRESOLVED,unknown,0,E_geometry,0,0.6286068689183799,0.432956385129693,0.3714285714285714,2.0,309,1,78.23,2,2,False
DDA3937_RS00055,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,0,0.6509470393824245,0.4349480590834682,0.3666666666666666,14.0,335,1,77.26,2,2,False
DDA3937_RS00080,,ROGUE_SUSPECT,unknown,0,P_rogue,0,0.3738476671609204,0.7390454920779203,0.0833333333333333,0.0,176,0,70.77,2,2,True
DDA3937_RS00085,,ROGUE_SUSPECT,unknown,0,P_rogue,0,0.3795316044464026,0.7446661301710612,0.0909090909090909,0.0,192,0,70.22,2,2,False
DDA3937_RS00090,,ROGUE_SUSPECT,unknown,0,E_geometry|P_rogue,0,0.3303365935946136,0.805285889638414,0.0,0.0,90,1,69.69,2,2,False
DDA3937_RS00095,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.2387648661888307,0.8511089346938062,0.0,1.0,329,1,69.02,2,2,True
DDA3937_RS00100,,UNRESOLVED,unknown,0,E_geometry,0,0.6990728921520298,0.383618354256423,0.4,0.0,208,1,68.19,2,2,False
DDA3937_RS00105,,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,1,0.2137025604166932,0.865697239877743,0.2058823529411764,0.0,945,1,66.09,2,2,True
DDA3937_RS00110,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core,1,0.9717262158751144,0.029250523133256223,1.0,0.0,215,0,63.88,2,2,True
DDA3937_RS00115,,UNRESOLVED,unknown,0,E_geometry,0,0.4847975646950503,0.5939347661503408,0.2,0.0,178,1,63.07,2,2,False
DDA3937_RS00120,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2176033930585285,0.8561149105514626,0.032258064516129,0.0,458,1,61.94,2,2,False
DDA3937_RS22930,,ROGUE_SUSPECT,unknown,0,P_rogue,1,0.3399735460266734,0.773879590668692,0.0,0.0,41,0,61.11,2,2,False
DDA3937_RS00125,,UNRESOLVED,unknown,0,,0,0.5620410550116176,0.5117048315687275,0.3714285714285714,2.0,471,0,60.2,2,2,True
DDA3937_RS00130,,UNRESOLVED,unknown,0,,0,0.3490466408485118,0.7457672904121837,0.1333333333333333,0.0,350,0,58.96,2,2,False
DDA3937_RS00135,,UNRESOLVED,unknown,0,E_cons_core,0,0.889346557660694,0.12772946064488006,0.7777777777777778,0.0,470,0,57.52,2,2,False
DDA3937_RS00140,,UNRESOLVED,unknown,0,E_cons_core,0,0.6668748024233595,0.3916616847220928,0.5294117647058824,0.0,608,1,55.53,2,2,False
DDA3937_RS00145,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2712059844031367,0.817400450493813,0.0,0.0,204,1,54.09,2,2,False
DDA3937_RS00150,,UNRESOLVED,unknown,0,E_geometry,0,0.4077487971690687,0.6604944190645848,0.125,0.0,146,1,53.56,2,2,False
DDA3937_RS00155,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.2286888914593695,0.8357864139044154,0.0,0.0,314,1,52.84,2,2,False
DDA3937_RS00160,,ROGUE_SUSPECT,unknown,0,N_score|N_long_lagging|P_rogue|P_conditional,0,0.1629998285620306,0.8971140647542949,0.0,0.0,581,0,51.43,2,2,False
DDA3937_RS00165,,CONDITIONAL_SUSPECT,unknown,0,N_score|N_long_lagging|P_conditional,0,0.1916986761096146,0.8706641336784327,0.0,1.0,463,0,49.71,2,2,False
DDA3937_RS00170,,CONDITIONAL_SUSPECT,unknown,0,N_score|N_long_lagging|P_conditional,0,0.2136561999416849,0.8501937563055413,0.1212121212121212,0.0,694,0,47.79,2,2,True
DDA3937_RS00175,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2547924075729076,0.8104580408622457,0.0,0.0,231,0,46.41,2,2,False
DDA3937_RS00180,,UNRESOLVED,unknown,0,,1,0.5596927830583719,0.529477040669392,0.4571428571428571,1.0,701,0,45.0,2,2,False
DDA3937_RS00185,,UNRESOLVED,unknown,0,E_cons_core,0,0.8859104190230084,0.12765632049970788,0.6333333333333333,0.0,92,0,43.79,2,2,False
DDA3937_RS00190,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core,1,0.9711785386269522,0.028736886999196947,1.0,0.0,208,0,43.28,2,2,True
DDA3937_RS00195,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.1584467875724435,0.8864774138054672,0.0,0.0,561,1,41.83,2,2,False
DDA3937_RS00200,,CONFIDENT_NONESSENTIAL,non-essential,1,N_score,0,0.1687918823237484,0.8987818628138883,0.0,1.0,561,1,39.78,2,2,True
DDA3937_RS00210,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2657866430932327,0.8140999798365061,0.0,0.0,209,0,37.96,2,2,False
DDA3937_RS00215,,CONFIDENT_ESSENTIAL,essential,2,E_score|E_cons_core|F_core_redundant,1,0.9734830552690006,0.026004925465634755,1.0,18.0,265,0,37.15,2,2,True
DDA3937_RS00220,,ROGUE_SUSPECT,unknown,0,N_score|P_rogue,0,0.2664544956114326,0.8190617142165142,0.0,0.0,213,0,36.43,2,2,False
DDA3937_RS00225,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.1980326781865096,0.8402761446881737,0.0,2.0,393,1,35.25,2,2,True
DDA3937_RS00230,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.8970221577115266,0.10045428506743874,0.6216216216216216,55.0,297,1,34.18,2,2,True
