og_id,organism,locus_tag
OG00000,beril_RalstoniaGMI1000,RS_RS11785
OG00001,beril_RalstoniaGMI1000,RS_RS12300
OG00002,beril_RalstoniaGMI1000,RS_RS05285
OG00003,beril_RalstoniaBSBF1503,RALBFv3_RS04270
OG00004,beril_RalstoniaBSBF1503,RALBFv3_RS09755
OG00005,beril_RalstoniaBSBF1503,RALBFv3_RS20590
OG00006,beril_Magneto,AMB_RS12685
OG00007,beril_Dda3937,DDA3937_RS13565
OG00008,beril_RalstoniaGMI1000,RS_RS18125
OG00009,beril_HerbieS,HSERO_RS23035
OG00010,beril_HerbieS,HSERO_RS07205
OG00011,beril_HerbieS,HSERO_RS12860
OG00012,beril_RalstoniaBSBF1503,RALBFv3_RS10990
OG00013,beril_Dda3937,DDA3937_RS10590
OG00014,beril_RalstoniaGMI1000,RS_RS16450
OG00015,beril_HerbieS,HSERO_RS18730
OG00016,beril_RalstoniaBSBF1503,RALBFv3_RS09010
OG00017,beril_Magneto,AMB_RS13005
OG00018,beril_Dda3937,DDA3937_RS20295
OG00019,beril_RalstoniaPSI07,RPSI07_RS01020
OG00020,beril_Magneto,AMB_RS02760
OG00021,beril_Dda3937,DDA3937_RS02410
OG00022,beril_Dda3937,DDA3937_RS16720
OG00023,beril_HerbieS,HSERO_RS19305
OG00024,beril_Magneto,AMB_RS00900
OG00025,beril_RalstoniaBSBF1503,RALBFv3_RS03120
OG00026,beril_HerbieS,HSERO_RS16720
OG00027,beril_Magneto,AMB_RS16230
OG00028,beril_RalstoniaGMI1000,RS_RS05165
OG00029,beril_RalstoniaBSBF1503,RALBFv3_RS13740
OG00030,beril_Dda3937,DDA3937_RS02920
OG00031,beril_Magneto,AMB_RS17225
OG00032,beril_Dda3937,DDA3937_RS02815
OG00033,beril_HerbieS,HSERO_RS04560
OG00034,beril_Magneto,AMB_RS01565
OG00035,beril_RalstoniaBSBF1503,RALBFv3_RS18925
OG00036,beril_RalstoniaGMI1000,RS_RS17800
OG00037,beril_Dda3937,DDA3937_RS16685
OG00038,beril_Dda3937,DDA3937_RS11005
OG00039,beril_HerbieS,HSERO_RS04280
OG00040,beril_Magneto,AMB_RS12715
OG00041,beril_RalstoniaGMI1000,RS_RS11025
OG00042,beril_Magneto,AMB_RS07025
OG00043,beril_Magneto,AMB_RS23675
OG00044,beril_HerbieS,HSERO_RS15850
OG00045,beril_RalstoniaGMI1000,RS_RS20230
OG00046,beril_HerbieS,HSERO_RS15715
OG00047,beril_RalstoniaPSI07,RPSI07_RS03885
OG00048,beril_RalstoniaPSI07,RPSI07_RS15885
OG00049,beril_RalstoniaPSI07,RPSI07_RS14475
OG00050,beril_HerbieS,HSERO_RS14225
OG00051,beril_HerbieS,HSERO_RS08215
OG00052,beril_Dda3937,DDA3937_RS20960
OG00053,beril_Dda3937,DDA3937_RS07505
OG00054,beril_Dda3937,DDA3937_RS05880
OG00055,beril_RalstoniaGMI1000,RS_RS09815
OG00056,beril_RalstoniaPSI07,RPSI07_RS11340
OG00057,beril_RalstoniaBSBF1503,RALBFv3_RS11050
OG00058,beril_RalstoniaPSI07,RPSI07_RS23020
OG00059,beril_HerbieS,HSERO_RS06370
OG00060,beril_Dda3937,DDA3937_RS16640
OG00061,beril_RalstoniaGMI1000,RS_RS00075
OG00062,beril_HerbieS,HSERO_RS16255
OG00063,beril_HerbieS,HSERO_RS06450
OG00064,beril_HerbieS,HSERO_RS12580
OG00065,beril_HerbieS,HSERO_RS15275
OG00066,beril_HerbieS,HSERO_RS21335
OG00067,beril_Magneto,AMB_RS01120
OG00068,beril_HerbieS,HSERO_RS10940
OG00069,beril_HerbieS,HSERO_RS03580
OG00070,beril_Dda3937,DDA3937_RS18595
OG00071,beril_HerbieS,HSERO_RS16590
OG00072,beril_RalstoniaGMI1000,RS_RS14720
OG00073,beril_HerbieS,HSERO_RS07695
OG00074,beril_HerbieS,HSERO_RS19255
OG00075,beril_RalstoniaGMI1000,RS_RS03510
OG00076,beril_RalstoniaPSI07,RPSI07_RS03980
OG00077,beril_RalstoniaGMI1000,RS_RS09190
OG00078,beril_RalstoniaGMI1000,RS_RS04950
OG00079,beril_RalstoniaPSI07,RPSI07_RS10760
OG00080,beril_Dda3937,DDA3937_RS15990
OG00081,beril_HerbieS,HSERO_RS20020
OG00082,beril_RalstoniaPSI07,RPSI07_RS13870
OG00083,beril_HerbieS,HSERO_RS16890
OG00084,beril_RalstoniaPSI07,RPSI07_RS19465
OG00085,beril_RalstoniaBSBF1503,RALBFv3_RS05915
