locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,ovote_ess,ovote_non,cross_validated
RALBFv3_RS00010,,UNRESOLVED,unknown,0,E_cons_core|E_geometry,1,0.8301644404089877,0.11460437574943477,0.53125,0.0,86,1,258.51,3,3,24,15,False
RALBFv3_RS00015,,UNRESOLVED,unknown,0,E_geometry,1,0.5071599923641468,0.5111551633357193,0.2051282051282051,0.0,172,1,258.91,3,3,11,35,False
RALBFv3_RS00020,,UNRESOLVED,unknown,0,E_geometry,1,0.5044715733266011,0.479338690128523,0.1891891891891892,0.0,127,1,259.37,3,3,9,34,False
RALBFv3_RS00025,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.151547485439551,0.8795632960025526,0.0,0.0,725,1,260.81,3,3,0,9,True
RALBFv3_RS00030,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1284202013918347,0.9169580416815893,0.0,0.0,863,1,263.35,3,3,0,46,True
RALBFv3_RS00035,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2462940137549169,0.8062676696604387,0.0,0.0,338,1,265.38,3,3,0,52,True
RALBFv3_RS00040,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.3690267463467539,0.6057013133517337,0.0952380952380952,0.0,220,1,266.25,3,3,5,26,False
RALBFv3_RS00045,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3203773556594677,0.6761963235881692,0.0769230769230769,3.0,338,1,267.22,3,3,10,107,True
RALBFv3_RS00050,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3188936982256061,0.6793133589889016,0.0769230769230769,3.0,344,1,268.28,3,3,10,107,True
RALBFv3_RS00055,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2294681523532425,0.7745058176133972,0.0,0.0,391,1,269.41,3,3,0,28,True
RALBFv3_RS00060,,UNRESOLVED,unknown,0,E_geometry,0,0.5681939688560548,0.4246358872342902,0.28125,3.0,269,1,270.41,3,3,52,130,False
RALBFv3_RS00065,,UNRESOLVED,unknown,0,E_geometry,1,0.5587139473850655,0.3772600172508122,0.28125,3.0,285,1,271.26,3,3,84,99,False
RALBFv3_RS00070,,UNRESOLVED,unknown,0,E_geometry,1,0.6707876228505629,0.38346283909743395,0.3157894736842105,0.0,72,1,271.86,3,3,7,19,False
RALBFv3_RS00075,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2541060544841406,0.7509742628001457,0.0,0.0,307,1,272.47,3,3,0,7,True
RALBFv3_RS00080,,UNRESOLVED,unknown,0,E_geometry,0,0.5374475310365963,0.3802655110274915,0.25,0.0,223,1,273.29,3,3,12,27,False
RALBFv3_RS00085,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3602570039879037,0.6501799669771746,0.1052631578947368,2.0,307,1,274.2,3,3,13,109,True
RALBFv3_RS00090,,CONFIDENT_NONESSENTIAL,non-essential,1,E_geometry|N_score,0,0.3563835123195342,0.6844958519989758,0.1052631578947368,2.0,325,1,275.15,3,3,13,109,True
RALBFv3_RS00095,,UNRESOLVED,unknown,0,E_geometry|N_redundancy,1,0.4293744618084303,0.5776055766838176,0.1794871794871795,6.0,371,1,276.19,3,3,96,300,True
RALBFv3_RS00100,,UNRESOLVED,unknown,0,E_cons_core|E_geometry|F_core_redundant,1,0.911963316593144,0.06709551256673071,0.6097560975609756,55.0,328,1,277.27,3,3,1597,667,True
RALBFv3_RS00105,,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_ortho|P_rogue,0,0.1666510956026339,0.8817368989367029,0.0,0.0,678,1,278.92,3,3,0,3,True
RALBFv3_RS00110,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,1,0.315036749450013,0.6640902362046993,0.0,0.0,115,1,280.31,3,3,3,1,False
RALBFv3_RS00115,,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.2277129651314192,0.792054926287385,0.0,0.0,415,1,281.06,3,3,0,8,True
RALBFv3_RS00120,,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|P_rogue,0,0.3567596188981939,0.6368102053631962,0.09375,0.0,272,1,282.09,3,3,4,68,False
